R(  2)	Z(  2)	R(  4)	Z(  4)	R(  6)	Z(  6)	R(  9)	Z(  9)	R( 13)	Z( 13)	R( 18)	Z( 18)	R( 24)	Z( 24)	R( 30)	Z( 30)	R( 37)	Z( 37)	R( 45)	Z( 45)	R( 54)	Z( 54)	R( 64)	Z( 64)	R( 74)	Z( 74)	R( 85)	Z( 85)	R( 97)	Z( 97)
 1.901360E+00	 6.549034E-31	 1.941356E+00	-2.142858E-30	 1.964105E+00	 7.670730E-31	 1.988547E+00	 4.113111E-30	 2.013208E+00	-2.000277E-30	 2.038022E+00	-4.445318E-31	 2.063081E+00	 2.958648E-30	 2.085013E+00	 1.302359E-30	 2.107982E+00	-7.838059E-30	 2.131772E+00	 2.622223E-30	 2.155961E+00	-3.512880E-30	 2.179326E+00	 1.506445E-29	 2.198582E+00	 5.772740E-30	 2.215084E+00	-2.538791E-30	 2.029349E+00	-4.316516E-29
 1.901269E+00	 3.549634E-03	 1.941076E+00	 8.909761E-03	 1.963652E+00	 1.282668E-02	 1.987842E+00	 1.768471E-02	 2.012209E+00	 2.280959E-02	 2.036720E+00	 2.782867E-02	 2.061468E+00	 3.278040E-02	 2.083132E+00	 3.697193E-02	 2.105814E+00	 4.132451E-02	 2.129296E+00	 4.585240E-02	 2.153010E+00	 5.188019E-02	 2.175388E+00	 6.191963E-02	 2.192772E+00	 7.716284E-02	 2.204931E+00	 1.037876E-01	 2.075698E+00	 1.768858E-01
 1.900995E+00	 7.081020E-03	 1.940242E+00	 1.775532E-02	 1.962299E+00	 2.553960E-02	 1.985741E+00	 3.517733E-02	 2.009238E+00	 4.533168E-02	 2.032855E+00	 5.527161E-02	 2.056687E+00	 6.507491E-02	 2.077557E+00	 7.337256E-02	 2.099390E+00	 8.198463E-02	 2.121958E+00	 9.093460E-02	 2.144247E+00	 1.027873E-01	 2.163670E+00	 1.223534E-01	 2.175455E+00	 1.517208E-01	 2.175049E+00	 2.020002E-01	 2.135693E+00	 4.120772E-01
 1.900542E+00	 1.057612E-02	 1.938862E+00	 2.647330E-02	 1.960069E+00	 3.802732E-02	 1.982292E+00	 5.229188E-02	 2.004380E+00	 6.729112E-02	 2.026553E+00	 8.196361E-02	 2.048908E+00	 9.642869E-02	 2.068497E+00	 1.086731E-01	 2.088959E+00	 1.213758E-01	 2.110043E+00	 1.345656E-01	 2.130031E+00	 1.519114E-01	 2.144771E+00	 1.802098E-01	 2.148028E+00	 2.220193E-01	 2.129886E+00	 2.914173E-01	 2.036366E+00	 6.502540E-01
 1.899912E+00	 1.401716E-02	 1.936953E+00	 3.500201E-02	 1.957000E+00	 5.018344E-02	 1.977574E+00	 6.885444E-02	 1.997770E+00	 8.843661E-02	 2.018013E+00	 1.075778E-01	 2.038401E+00	 1.264419E-01	 2.056289E+00	 1.424157E-01	 2.074928E+00	 1.589836E-01	 2.094043E+00	 1.761780E-01	 2.111032E+00	 1.985941E-01	 2.119864E+00	 2.345937E-01	 2.112861E+00	 2.866009E-01	 2.075333E+00	 3.694990E-01	 1.746628E+00	 7.546421E-01
 1.899110E+00	 1.738660E-02	 1.934539E+00	 4.328254E-02	 1.953142E+00	 6.190885E-02	 1.971689E+00	 8.470772E-02	 1.989582E+00	 1.085489E-01	 2.007491E+00	 1.318376E-01	 2.025511E+00	 1.547842E-01	 2.041355E+00	 1.742280E-01	 2.057814E+00	 1.943939E-01	 2.074584E+00	 2.153142E-01	 2.088080E+00	 2.422966E-01	 2.090276E+00	 2.847782E-01	 2.072425E+00	 3.445612E-01	 2.017342E+00	 4.351574E-01	 1.470700E+00	 6.852448E-01
 1.898139E+00	 2.066731E-02	 1.931649E+00	 5.126030E-02	 1.948559E+00	 7.311353E-02	 1.964760E+00	 9.971534E-02	 1.980019E+00	 1.274469E-01	 1.995278E+00	 1.545229E-01	 2.010624E+00	 1.812008E-01	 2.024169E+00	 2.038285E-01	 2.038187E+00	 2.272989E-01	 2.052347E+00	 2.516392E-01	 2.062049E+00	 2.826454E-01	 2.057379E+00	 3.303670E-01	 2.029331E+00	 3.954470E-01	 1.959081E+00	 4.880784E-01	 1.443778E+00	 5.908820E-01
 1.897005E+00	 2.384295E-02	 1.928318E+00	 5.888593E-02	 1.943321E+00	 8.371899E-02	 1.956925E+00	 1.137663E-01	 1.969300E+00	 1.449910E-01	 1.981680E+00	 1.754721E-01	 1.994141E+00	 2.055128E-01	 2.005215E+00	 2.310257E-01	 2.016622E+00	 2.574956E-01	 2.028009E+00	 2.849411E-01	 2.033811E+00	 3.194258E-01	 2.022523E+00	 3.711205E-01	 1.985327E+00	 4.388974E-01	 1.903048E+00	 5.304919E-01	 1.647066E+00	 6.367377E-01
 1.895718E+00	 2.689850E-02	 1.924583E+00	 6.611544E-02	 1.937508E+00	 9.366045E-02	 1.948328E+00	 1.267759E-01	 1.957648E+00	 1.610821E-01	 1.967001E+00	 1.945784E-01	 1.976450E+00	 2.276100E-01	 1.984955E+00	 2.557078E-01	 1.993664E+00	 2.848709E-01	 2.002206E+00	 3.151032E-01	 2.004158E+00	 3.525112E-01	 1.986713E+00	 4.068826E-01	 1.941462E+00	 4.753787E-01	 1.851561E+00	 5.641842E-01	 1.789511E+00	 7.940019E-01
 1.894287E+00	 2.982046E-02	 1.920486E+00	 7.291039E-02	 1.931202E+00	 1.028872E-01	 1.939113E+00	 1.386832E-01	 1.945278E+00	 1.756568E-01	 1.951530E+00	 2.117833E-01	 1.957912E+00	 2.474415E-01	 1.963809E+00	 2.778296E-01	 1.969793E+00	 3.093825E-01	 1.975485E+00	 3.420800E-01	 1.973715E+00	 3.818567E-01	 1.950632E+00	 4.377823E-01	 1.898876E+00	 5.058053E-01	 1.805536E+00	 5.901243E-01	 1.648804E+00	 8.649834E-01
 1.892721E+00	 3.259669E-02	 1.916071E+00	 7.923899E-02	 1.924487E+00	 1.113612E-01	 1.929417E+00	 1.494478E-01	 1.932393E+00	 1.886839E-01	 1.935529E+00	 2.270698E-01	 1.938845E+00	 2.650052E-01	 1.942140E+00	 2.973993E-01	 1.945417E+00	 3.310479E-01	 1.948288E+00	 3.658971E-01	 1.942963E+00	 4.075397E-01	 1.914894E+00	 4.641879E-01	 1.858549E+00	 5.307774E-01	 1.764843E+00	 6.098816E-01	 1.338715E+00	 7.439623E-01
 1.891032E+00	 3.521600E-02	 1.911384E+00	 8.507713E-02	 1.917441E+00	 1.190556E-01	 1.919372E+00	 1.590495E-01	 1.919178E+00	 2.001611E-01	 1.919230E+00	 2.404553E-01	 1.919523E+00	 2.803373E-01	 1.920256E+00	 3.144678E-01	 1.920871E+00	 3.499344E-01	 1.920978E+00	 3.866458E-01	 1.912313E+00	 4.297340E-01	 1.880078E+00	 4.864601E-01	 1.820942E+00	 5.507752E-01	 1.729016E+00	 6.248140E-01	 1.203368E+00	 5.791425E-01
 1.889229E+00	 3.766784E-02	 1.906470E+00	 9.040791E-02	 1.910140E+00	 1.259538E-01	 1.909099E+00	 1.674876E-01	 1.905797E+00	 2.101097E-01	 1.902832E+00	 2.519820E-01	 1.900175E+00	 2.935011E-01	 1.898408E+00	 3.291162E-01	 1.896433E+00	 3.661438E-01	 1.893857E+00	 4.044566E-01	 1.882122E+00	 4.486363E-01	 1.846610E+00	 5.048793E-01	 1.786163E+00	 5.664231E-01	 1.697440E+00	 6.357175E-01	 1.431025E+00	 6.073333E-01
 1.887324E+00	 3.994244E-02	 1.901373E+00	 9.521981E-02	 1.902657E+00	 1.320499E-01	 1.898708E+00	 1.747775E-01	 1.892392E+00	 2.185679E-01	 1.886503E+00	 2.617099E-01	 1.880992E+00	 3.045789E-01	 1.876804E+00	 3.414445E-01	 1.872327E+00	 3.797955E-01	 1.867178E+00	 4.194711E-01	 1.852679E+00	 4.644268E-01	 1.814729E+00	 5.197254E-01	 1.754187E+00	 5.783402E-01	 1.669420E+00	 6.432372E-01	 1.804674E+00	 8.417111E-01
 1.885328E+00	 4.203107E-02	 1.896132E+00	 9.950533E-02	 1.895057E+00	 1.373481E-01	 1.888293E+00	 1.809468E-01	 1.879080E+00	 2.255869E-01	 1.870380E+00	 2.697121E-01	 1.862126E+00	 3.136656E-01	 1.855608E+00	 3.515638E-01	 1.848732E+00	 3.910170E-01	 1.841136E+00	 4.318306E-01	 1.824189E+00	 4.772773E-01	 1.784548E+00	 5.313055E-01	 1.724887E+00	 5.870128E-01	 1.644322E+00	 6.480558E-01	 1.883326E+00	 1.006147E+00
