r	   0/   0	   0/   1	   1/  -1	   1/   0	   1/   1	   2/  -1	   2/   0	   2/   1	   3/  -1	   3/   0	   3/   1	   4/  -1	   4/   0	   4/   1	   5/  -1	   5/   0	   5/   1	   6/  -1	   6/   0	   6/   1	   7/  -1	   7/   0	   7/   1	   8/  -1	   8/   0	   8/   1	   9/  -1	   9/   0	   9/   1	  10/  -1	  10/   0	  10/   1	  11/  -1	  11/   0	  11/   1	  12/  -1	  12/   0	  12/   1	  13/  -1	  13/   0	  13/   1	  14/  -1	  14/   0	  14/   1	  15/  -1	  15/   0	  15/   1	  16/  -1	  16/   0	  16/   1	  17/  -1	  17/   0	  17/   1	  18/  -1	  18/   0	  18/   1	  19/  -1	  19/   0	  19/   1
0.07217	-9.002321E-01	 2.179926E-14	 1.760978E-14	 4.740401E-02	 1.257333E-13	 2.667606E-14	 3.250756E-03	-5.264185E-14	 3.658868E-14	 2.633433E-04	-4.364758E-14	 2.099289E-14	 1.789796E-05	 2.137755E-15	 1.319691E-14	 1.710050E-05	-7.390461E-14	 5.036547E-14	-8.778453E-06	 5.502867E-14	 6.010334E-14	 8.497309E-07	-6.987123E-14	 1.001678E-13	-4.961637E-06	 3.157406E-14	 5.400974E-14	 2.658528E-06	 2.783255E-14	 2.129920E-14	 1.129488E-06	-7.123486E-14	-1.437627E-14	-2.955379E-06	 4.176585E-14	 4.186021E-14	 1.771648E-06	-2.488439E-14	 1.537824E-14	-1.006364E-06	-6.132788E-14	 4.453357E-14	 1.989761E-07	-6.762767E-14	-5.677198E-14	-3.182562E-08	 3.049401E-14	 1.061434E-14	 2.095595E-07	 8.789150E-15	 3.339407E-14	-1.238441E-07	-1.669212E-14	 7.634165E-15	 6.784136E-08	 8.673099E-15	-7.659080E-16	 2.677544E-07	 1.363659E-14
0.12500	-9.092550E-01	 2.873071E-14	-9.116908E-14	 6.891652E-02	 9.739255E-14	 1.327853E-15	 6.427930E-03	-4.239190E-14	 6.013512E-14	 5.886770E-04	-5.300060E-14	 3.716667E-14	 8.600576E-05	-1.613106E-14	-4.715338E-14	 4.708636E-05	-7.340152E-14	 3.346178E-15	-1.464047E-05	 3.280805E-14	 4.629354E-14	-5.514069E-06	-1.186088E-13	 1.362761E-13	 1.106971E-07	 5.544589E-15	-3.943680E-14	 4.941720E-06	 7.292645E-14	 1.639122E-14	-4.681046E-06	-4.412231E-14	 3.054088E-14	-2.623495E-06	 7.447984E-14	 8.208333E-14	 3.604816E-06	-4.951088E-15	 3.748438E-14	-1.452370E-06	-3.795143E-14	 5.405312E-15	 7.031643E-07	-8.803796E-14	-9.721147E-14	 2.796241E-07	 7.422052E-14	-1.661043E-14	 2.816371E-08	 4.849951E-14	 6.652393E-15	-8.259881E-07	 3.994004E-14	 1.207429E-14	 1.239797E-06	 9.879027E-15	 2.131148E-14	-1.011561E-06	-1.323933E-14
0.16137	-9.182813E-01	-3.712433E-14	-1.270332E-13	 8.489736E-02	-2.919940E-15	-8.414773E-14	 9.572172E-03	 3.238438E-14	 1.825430E-14	 1.042902E-03	 6.845542E-14	 3.992684E-14	 1.768318E-04	-5.681474E-14	-1.081304E-13	 7.959807E-05	-5.296904E-14	-7.261434E-14	-1.556920E-05	-4.589670E-14	 2.334516E-14	-1.259716E-05	-5.209825E-14	 9.960505E-14	 1.350954E-05	 9.654487E-15	-1.354812E-13	 8.242965E-07	 1.141304E-13	-2.740830E-14	-1.289154E-05	 4.291327E-14	 1.028548E-13	 4.265662E-06	 7.803524E-14	 1.082446E-13	 2.587127E-06	-5.535160E-14	-1.287291E-14	-2.933790E-06	 8.400918E-15	-6.655349E-14	 1.067084E-06	-4.574994E-14	-5.002499E-14	 9.652096E-07	 3.437476E-14	 1.502410E-14	-2.067186E-07	 6.271777E-14	 1.777931E-15	-4.007082E-07	 1.437889E-14	 8.229202E-15	 9.384191E-07	-2.610295E-14	 2.274917E-14	-1.566152E-06	-3.225079E-14
0.19094	-9.272342E-01	 8.952421E-16	-2.252647E-14	 9.833154E-02	-4.867322E-14	-3.082274E-14	 1.262555E-02	-2.335922E-15	-2.928962E-14	 1.587430E-03	 1.321873E-13	 4.007859E-16	 2.925863E-04	-2.632872E-14	-5.267663E-14	 1.136227E-04	-4.539783E-15	-9.170473E-16	-1.087547E-05	 3.163360E-14	-9.842442E-15	-1.652403E-05	 4.530370E-14	 8.719719E-14	 2.137562E-05	 7.554676E-14	-1.631888E-13	 2.874234E-07	 1.162033E-13	 3.958721E-15	-1.685610E-05	 7.354990E-14	 8.901010E-14	 5.819407E-06	-3.447296E-14	 7.215797E-14	 2.468320E-06	-7.046653E-14	-1.229870E-13	-2.942183E-06	-1.878250E-14	-6.222170E-14	 1.930390E-07	 8.067290E-14	 5.542447E-14	 1.101645E-06	 2.933607E-14	 1.478109E-14	 1.132521E-07	 1.995277E-14	-3.285584E-14	-1.491758E-07	-3.832957E-14	-2.200622E-14	 8.115338E-07	-2.556615E-14	-1.636312E-15	-1.604315E-06	 4.701940E-16
0.21651	-9.360462E-01	 2.492090E-15	 1.205721E-14	 1.102196E-01	-5.219461E-14	 1.327251E-13	 1.554802E-02	-1.565215E-15	 4.158653E-14	 2.175887E-03	 2.651775E-14	-3.417352E-14	 4.322570E-04	 1.753185E-14	-4.340573E-14	 1.517753E-04	 8.147532E-14	 8.113151E-14	-1.904549E-06	 1.324085E-13	-1.041033E-13	-1.893894E-05	 5.604630E-14	 1.569622E-14	 2.521289E-05	 1.082569E-13	-1.349333E-13	 2.994356E-06	 5.414541E-14	-2.459843E-15	-1.883285E-05	 3.385259E-14	 8.706421E-15	 4.540531E-06	-7.087968E-14	 9.723972E-15	 3.347737E-06	 3.939426E-14	-8.953880E-14	-2.172551E-06	-6.008326E-14	 1.988251E-14	-9.069666E-07	 1.124609E-13	 8.265065E-14	 9.047064E-07	 3.901374E-14	-1.016845E-14	 2.965116E-07	-2.351700E-14	-6.004402E-14	-5.084983E-07	-3.151160E-15	-3.719800E-14	 1.697896E-06	 2.936010E-14	-7.705838E-15	-1.856139E-06	 1.609378E-14
0.23936	-9.446586E-01	-9.607575E-15	 1.532499E-14	 1.210628E-01	 2.111904E-14	 1.073381E-13	 1.830431E-02	 2.005857E-14	 2.026157E-14	 2.771561E-03	-3.111304E-14	 4.715308E-14	 5.859304E-04	-1.002486E-13	-3.906465E-14	 1.934056E-04	 4.239417E-14	 1.370687E-13	 1.050905E-05	 2.267696E-14	-2.528944E-15	-1.875440E-05	-1.151598E-13	 2.492566E-14	 2.671327E-05	-1.174049E-14	-1.135092E-13	 6.030567E-06	 2.128795E-14	 3.986637E-14	-1.908508E-05	-1.207533E-13	 1.264011E-14	 2.707417E-06	 2.313118E-15	 4.930780E-14	 3.878608E-06	 4.117776E-14	-1.972304E-14	-1.145444E-06	-2.320719E-14	 6.994635E-15	-1.460527E-06	 5.256407E-14	 4.417091E-15	 5.652338E-07	-6.102004E-14	-1.888930E-14	 2.353067E-07	-2.796841E-14	-5.144379E-14	-8.237366E-07	 4.740100E-14	-3.678040E-14	 2.225744E-06	 4.805507E-14	 3.401843E-15	-1.613881E-06	 2.380991E-15
0.26021	-9.530242E-01	 8.014643E-15	 9.895511E-14	 1.311561E-01	 8.706529E-14	 2.510908E-14	 2.087164E-02	 3.297455E-14	-4.408146E-14	 3.347251E-03	-1.646723E-14	 4.930619E-14	 7.444296E-04	-7.200864E-14	 5.767033E-14	 2.369419E-04	-5.574625E-14	-2.183139E-14	 2.509288E-05	 3.644687E-14	 1.213576E-13	-1.577747E-05	-1.953701E-13	 3.335514E-14	 2.716009E-05	 3.140088E-14	-1.236465E-13	 8.449445E-06	 6.733311E-14	 5.703260E-14	-1.814200E-05	-1.409047E-13	 9.083237E-14	 9.840403E-07	 3.834093E-14	 1.074084E-13	 3.926278E-06	-4.493908E-14	 2.056776E-14	-1.225020E-07	 3.744738E-15	-6.951831E-14	-1.560953E-06	 8.370859E-14	-5.227392E-14	 2.457688E-07	 1.109210E-14	-1.431996E-14	 1.591980E-07	 3.658346E-14	-3.129508E-14	-1.247673E-06	 5.346346E-14	-4.005379E-14	 2.508989E-06	 4.646429E-14	-2.548899E-14	-1.048765E-06	 3.069651E-14
0.27951	-9.611160E-01	-1.930575E-14	 1.229405E-13	 1.406858E-01	 8.636598E-14	 8.430470E-14	 2.324162E-02	 1.891561E-13	 4.310736E-14	 3.885341E-03	-5.928990E-14	 2.127912E-14	 9.004557E-04	 9.525207E-14	 8.423721E-15	 2.809649E-04	 4.745090E-15	-1.196367E-13	 4.108646E-05	 5.872658E-14	-2.479989E-14	-1.029823E-05	-5.812808E-14	-4.374279E-14	 2.719352E-05	 1.098686E-13	-7.218108E-14	 9.980786E-06	 1.357162E-13	-5.656701E-14	-1.641000E-05	 5.258895E-14	 3.774712E-14	-2.995827E-07	 4.553358E-14	 7.925296E-14	 3.589028E-06	-4.679068E-14	 2.897905E-14	 6.399827E-07	-4.891055E-14	-1.495523E-14	-1.411990E-06	 1.810677E-14	 2.858717E-14	 9.663830E-08	 7.659556E-14	 5.213656E-14	 7.271765E-08	 8.768919E-15	-4.605660E-15	-1.602741E-06	-8.222560E-15	-4.294720E-14	 2.536776E-06	 4.480664E-15	-9.547764E-15	-4.565367E-07	 6.114672E-15
0.29756	-9.689297E-01	 4.568468E-14	-1.768418E-14	 1.497742E-01	 7.348333E-14	 2.724738E-14	 2.541730E-02	 1.646578E-13	-1.038811E-14	 4.376780E-03	-2.199401E-14	-2.244639E-14	 1.049345E-03	 4.460663E-14	-1.641310E-14	 3.245701E-04	-1.736670E-14	 2.502294E-14	 5.807409E-05	-9.845390E-14	-7.670589E-14	-2.820889E-06	-3.538502E-14	-1.469326E-13	 2.718298E-05	 2.380615E-14	-3.695914E-14	 1.068977E-05	 6.866207E-14	-3.767626E-14	-1.427827E-05	 4.800455E-14	 1.108112E-14	-1.067939E-06	 5.110919E-14	 3.472802E-14	 3.070090E-06	 4.405267E-14	 7.252513E-14	 1.082839E-06	-1.077244E-13	-4.881703E-14	-1.210095E-06	-1.160598E-14	 1.810117E-14	 9.370661E-08	 8.673560E-15	-2.081645E-14	 1.154121E-08	-9.237885E-15	-1.043664E-13	-1.842708E-06	 3.493924E-14	-7.862767E-14	 2.417256E-06	 4.032636E-14	 1.640251E-14	 3.068193E-08	 2.767035E-15
0.31458	-9.764658E-01	 4.343490E-14	-4.805554E-14	 1.585053E-01	 7.183696E-14	 1.208999E-14	 2.740819E-02	 1.656313E-14	-1.930548E-13	 4.818331E-03	 1.348844E-14	-4.224153E-14	 1.188651E-03	-7.196357E-14	 3.714034E-14	 3.673331E-04	-8.137681E-14	 2.712392E-14	 7.581431E-05	-6.243907E-14	 5.040113E-14	 6.062355E-06	 3.091771E-14	-1.307433E-13	 2.734416E-05	-5.959218E-14	-3.845618E-14	 1.082077E-05	-1.044519E-13	 1.075739E-13	-1.206013E-05	-1.364132E-13	 1.386028E-14	-1.418398E-06	 4.124440E-14	-2.715133E-15	 2.528406E-06	 2.541390E-14	 1.146696E-13	 1.276513E-06	 3.028060E-14	-3.548399E-14	-1.055684E-06	 1.068194E-14	-1.007800E-14	 1.752543E-07	-4.388805E-14	-7.496923E-14	-3.654318E-08	 3.167990E-14	-1.234824E-13	-1.968602E-06	 8.620820E-14	-9.179794E-14	 2.242116E-06	 6.187328E-14	-4.513847E-14	 3.808521E-07	 8.993728E-15
0.33072	-9.837260E-01	 2.074098E-14	-8.056403E-14	 1.669389E-01	 1.242413E-13	-3.750074E-14	 2.922681E-02	 1.432710E-14	-2.391974E-13	 5.210260E-03	 1.934744E-14	 1.215356E-14	 1.317390E-03	-7.611915E-14	-7.560580E-14	 4.090376E-04	 5.091463E-14	-6.566509E-14	 9.415070E-05	 4.833662E-14	-1.117540E-14	 1.584082E-05	 2.628825E-14	-9.158326E-14	 2.772097E-05	-1.894850E-13	-8.660031E-14	 1.060195E-05	-1.460353E-13	 1.372647E-13	-9.902305E-06	-2.145141E-14	-3.290030E-14	-1.469332E-06	-1.473634E-13	-6.236167E-14	 2.022995E-06	 4.435525E-14	 5.984194E-14	 1.292821E-06	 5.462128E-14	-2.937715E-15	-9.732901E-07	-8.210214E-14	 2.909736E-14	 3.017369E-07	-9.306233E-14	-5.407078E-15	-9.356938E-08	-2.582551E-14	-2.639037E-14	-2.000004E-06	-3.071310E-15	-1.974469E-14	 2.061180E-06	-9.109357E-15	-1.551126E-14	 6.017048E-07	-6.563445E-15
