r	   0/   0	   0/   1	   1/  -1	   1/   0	   1/   1	   2/  -1	   2/   0	   2/   1	   3/  -1	   3/   0	   3/   1	   4/  -1	   4/   0	   4/   1	   5/  -1	   5/   0	   5/   1	   6/  -1	   6/   0	   6/   1	   7/  -1	   7/   0	   7/   1	   8/  -1	   8/   0	   8/   1	   9/  -1	   9/   0	   9/   1	  10/  -1	  10/   0	  10/   1	  11/  -1	  11/   0	  11/   1	  12/  -1	  12/   0	  12/   1	  13/  -1	  13/   0	  13/   1	  14/  -1	  14/   0	  14/   1	  15/  -1	  15/   0	  15/   1	  16/  -1	  16/   0	  16/   1	  17/  -1	  17/   0	  17/   1	  18/  -1	  18/   0	  18/   1	  19/  -1	  19/   0	  19/   1
0.07217	-1.117068E+00	 2.822761E-14	-3.749959E-14	-4.349013E-02	-8.986902E-14	-1.873766E-14	-2.787421E-03	 3.796487E-15	-4.969776E-14	-2.233186E-04	 1.915757E-14	-9.317505E-15	 8.304391E-06	-2.954452E-15	-1.153611E-14	-3.411937E-06	 5.962381E-14	-3.335905E-14	 6.472408E-06	-2.729851E-14	-4.988172E-14	-2.763232E-06	 5.240276E-14	-6.676940E-14	 2.623390E-06	-3.230780E-14	-5.657961E-14	 2.384659E-06	-9.285564E-15	-4.877611E-15	-1.628471E-06	 5.138068E-14	-8.804929E-15	-1.736580E-06	-3.133125E-14	-4.019491E-14	 3.905763E-07	 2.746758E-14	-2.932417E-14	 2.151406E-06	 6.880227E-14	-2.278330E-14	-1.796789E-07	 2.843307E-14	 4.391838E-14	-1.757697E-07	-1.522986E-14	-3.644296E-14	-1.267794E-07	-6.490659E-15	-4.657754E-14	-5.738866E-07	 4.265022E-14	-1.531947E-14	 8.305605E-07	-5.738609E-15	 3.720092E-15	-9.574216E-07	-1.192768E-14
0.12500	-1.107699E+00	-9.997766E-14	-1.475215E-14	-7.417121E-02	-2.173178E-13	-5.523114E-14	-8.392275E-03	 1.155675E-13	-4.782313E-14	-9.386468E-04	 9.484906E-14	-5.055246E-14	-1.228464E-04	 1.296420E-14	-3.209397E-14	-4.570141E-05	 1.176650E-13	-1.030086E-13	 1.230078E-05	-9.049446E-14	-1.199393E-13	 2.117642E-06	 1.101505E-13	-1.976080E-13	 9.292904E-06	-4.018401E-14	-9.406461E-14	-8.432416E-06	-5.412760E-14	-5.527198E-14	-1.085380E-06	 1.161236E-13	 3.497325E-14	 8.664782E-06	-5.905296E-14	-6.461106E-14	-4.283782E-06	 3.860259E-14	-1.918997E-14	 1.241863E-07	 9.444059E-14	-8.301689E-14	-2.008346E-07	 1.434549E-13	 8.870621E-14	 2.145729E-07	-5.156487E-14	 1.240263E-14	-3.748659E-07	-1.624903E-14	-3.789792E-14	 8.410510E-07	-4.164181E-15	-8.028847E-15	-1.018118E-06	-1.569422E-14	-1.940203E-15	 3.077263E-07	-2.473003E-14
0.16137	-1.098375E+00	 3.027692E-14	 2.272871E-13	-9.449051E-02	-1.377306E-14	 5.556858E-14	-1.376220E-02	-2.011431E-14	-1.025813E-13	-1.951932E-03	 4.457776E-14	-4.254987E-14	-3.382382E-04	 5.027375E-14	 1.361565E-13	-1.090470E-04	 6.331005E-14	 8.995210E-14	 1.041105E-05	 4.649662E-14	-1.697090E-14	 1.197934E-05	 1.724900E-13	-1.368987E-13	-9.177236E-06	 3.554702E-14	 1.591951E-13	-2.539987E-06	-1.153701E-13	 1.053537E-14	 1.200266E-05	-3.527799E-14	-1.285043E-13	-2.156351E-06	-1.141468E-13	-1.486505E-13	-3.660707E-06	-3.024383E-14	-8.684608E-14	 2.696866E-06	 1.127967E-14	 7.899889E-14	-1.382307E-06	 6.293798E-14	 1.489390E-13	-9.861235E-07	-1.223684E-13	 4.426273E-14	 3.618302E-07	-1.210254E-13	 2.444648E-14	 9.561777E-07	-1.055976E-13	-2.637632E-14	-1.661624E-06	-1.479269E-14	-5.529057E-14	 1.981627E-06	 5.588437E-14
0.19094	-1.089251E+00	 9.053646E-14	 1.043869E-13	-1.103837E-01	 2.529527E-14	 1.719816E-13	-1.887414E-02	-6.703797E-14	 7.913879E-14	-3.176377E-03	-2.003768E-13	-2.592332E-14	-6.287958E-04	 8.366007E-14	 1.297802E-13	-1.879723E-04	 8.611139E-14	 9.900049E-14	-4.846143E-06	 8.807508E-14	-3.544598E-14	 1.316842E-05	-4.172389E-14	-7.343496E-14	-2.043021E-05	-7.266095E-14	 1.447735E-13	 6.970969E-07	-1.709342E-13	 5.436300E-14	 1.727343E-05	-1.088788E-13	-1.310457E-13	-5.770887E-06	-7.543013E-14	-1.267694E-13	-2.398644E-06	 1.427238E-13	 1.063069E-13	 3.403710E-06	-1.421032E-14	 8.943660E-14	-8.469497E-07	 3.623074E-14	-1.758475E-14	-1.414979E-06	 3.539915E-14	-6.726792E-14	-4.876443E-08	-3.756040E-14	-3.231624E-14	-1.428790E-07	 6.310612E-14	 3.894994E-16	-1.715903E-07	 7.951132E-14	-4.512604E-15	 1.455678E-06	 2.995783E-14
0.21651	-1.080408E+00	-7.307456E-14	-3.937906E-14	-1.236474E-01	 8.526766E-14	-8.474441E-14	-2.370493E-02	 5.278089E-14	 2.103281E-15	-4.517922E-03	-1.029213E-13	 4.803480E-14	-9.936386E-04	-5.580053E-14	-2.897252E-15	-2.897924E-04	-8.720802E-14	-8.348102E-14	-3.113864E-05	-1.790039E-13	 4.779925E-14	 1.136879E-05	-9.982871E-14	-8.930462E-14	-2.684806E-05	-1.526845E-13	 2.137889E-13	-2.301844E-06	-1.426321E-13	-5.167674E-14	 1.994681E-05	-8.725332E-14	-8.429672E-14	-4.382622E-06	 1.491797E-13	-3.124518E-14	-3.350745E-06	 2.782959E-14	 1.747900E-13	 2.678706E-06	 5.487788E-14	 7.011872E-14	 7.002100E-07	-2.267994E-13	-9.382252E-14	-1.141217E-06	-1.263396E-13	 3.209550E-14	-4.789515E-07	-9.996460E-15	 1.102423E-13	 2.802220E-07	 2.675123E-14	 6.019236E-14	-1.354294E-06	-1.105724E-14	 1.932387E-14	 1.952263E-06	-2.376215E-14
0.23936	-1.071919E+00	 6.934425E-14	-2.571495E-14	-1.351490E-01	 3.088908E-14	-2.368134E-13	-2.823056E-02	-4.570050E-14	-1.255368E-13	-5.903671E-03	 3.215816E-14	 1.989096E-14	-1.409007E-03	-2.444479E-14	 9.334534E-14	-4.124725E-04	-1.521588E-13	-6.231929E-14	-6.849184E-05	-1.781609E-13	 1.795363E-13	 4.448377E-06	-1.082593E-13	 1.155401E-13	-3.068162E-05	-1.421945E-13	 1.026840E-13	-6.501399E-06	-2.569836E-14	 9.379703E-14	 2.014124E-05	 2.522110E-15	 7.599047E-14	-2.229779E-06	-7.797973E-15	 3.115941E-14	-3.984948E-06	-9.419674E-14	 2.084509E-14	 1.587509E-06	 4.399961E-14	-1.135092E-13	 1.534129E-06	-2.994961E-14	-9.156445E-14	-6.883535E-07	 1.354756E-14	-1.215548E-14	-3.309130E-07	 4.613837E-14	 3.829010E-14	 4.233440E-07	-2.582366E-14	 4.460640E-14	-1.960193E-06	-5.934541E-14	 1.023732E-14	 1.957448E-06	-1.655576E-14
0.26021	-1.063832E+00	-6.690330E-14	-4.325547E-14	-1.453902E-01	-8.192517E-14	-2.414067E-14	-3.243896E-02	 9.115960E-15	 3.121569E-14	-7.279833E-03	 5.908060E-14	-1.415242E-13	-1.852276E-03	 2.502751E-13	-6.281260E-14	-5.504922E-04	 8.900656E-14	-2.449444E-13	-1.143957E-04	 1.571897E-13	-2.133820E-13	-8.030969E-06	 3.693076E-13	-1.509983E-13	-3.406573E-05	 2.047732E-13	 1.348975E-13	-1.047557E-05	 2.436671E-14	-1.608493E-13	 1.874297E-05	 2.681949E-13	-1.228473E-13	-2.234505E-07	 2.685143E-14	-1.438801E-13	-4.111347E-06	 1.194096E-14	 6.700111E-15	 3.498496E-07	-1.225422E-14	 1.006470E-13	 1.725559E-06	-6.684725E-14	 8.992307E-14	-1.832111E-07	 1.161225E-13	 7.187542E-14	-1.523878E-07	 1.508905E-14	 9.527572E-14	 8.466524E-07	-8.517737E-14	 5.200650E-14	-2.366645E-06	-6.075630E-14	-1.850525E-14	 1.433885E-06	 3.906357E-15
0.27951	-1.056183E+00	-1.446860E-14	-1.978277E-13	-1.546959E-01	-1.345190E-13	-5.913320E-14	-3.633648E-02	-1.023778E-13	 3.031853E-14	-8.610808E-03	-1.218312E-14	 1.972320E-14	-2.304472E-03	-6.734731E-14	-8.512593E-14	-6.980485E-04	 6.490236E-14	 2.323840E-13	-1.665757E-04	-1.560493E-13	-6.327342E-14	-2.547770E-05	 5.598257E-14	 6.873655E-14	-3.793178E-05	-2.247698E-13	 9.620942E-14	-1.385859E-05	-1.278244E-13	 2.728415E-14	 1.628328E-05	 2.246090E-14	-1.275208E-13	 1.204944E-06	-6.122673E-14	-1.313709E-13	-3.781053E-06	 7.948252E-14	-6.905211E-14	-6.453113E-07	-1.146309E-14	 5.839988E-14	 1.506653E-06	-1.290164E-13	 5.503481E-14	 8.385487E-08	-1.852975E-13	-3.562618E-15	 5.069876E-08	-1.307952E-13	 1.645449E-15	 1.257562E-06	-6.887206E-14	 6.108661E-14	-2.451113E-06	-7.697377E-14	 9.686673E-14	 7.993345E-07	-9.800352E-14
0.29756	-1.048966E+00	-3.934566E-14	-1.174100E-13	-1.632758E-01	-1.282827E-13	-1.896917E-13	-3.994078E-02	-3.427879E-13	-1.725437E-13	-9.876676E-03	 3.737643E-14	-8.378591E-14	-2.752167E-03	-1.532888E-13	 9.667017E-14	-8.503417E-04	-1.265124E-13	 4.366954E-14	-2.232117E-04	 1.904086E-14	 1.803877E-13	-4.698774E-05	-6.570739E-16	 7.688655E-14	-4.265419E-05	-6.024534E-14	 9.936757E-14	-1.664145E-05	-2.310558E-13	 1.088298E-13	 1.320322E-05	-2.061991E-13	 4.092178E-14	 1.902094E-06	-5.464754E-14	-6.111156E-14	-3.227479E-06	 1.362365E-14	-2.329027E-14	-1.238711E-06	 1.166176E-13	-5.683973E-14	 1.174414E-06	 8.075045E-14	-1.350935E-13	 1.270029E-07	 1.024837E-14	-1.174948E-13	 1.858215E-07	 8.689522E-14	 2.784310E-15	 1.560136E-06	 7.486166E-14	 3.128387E-14	-2.332349E-06	 6.457958E-14	-7.360379E-14	 2.530065E-07	 8.234515E-14
0.31458	-1.042167E+00	-9.995877E-14	 1.201380E-13	-1.712745E-01	-1.069536E-13	 1.339441E-13	-4.327705E-02	-4.794344E-14	 1.954239E-13	-1.106939E-02	-6.727959E-14	 1.412051E-13	-3.187389E-03	 5.968554E-14	-4.849632E-14	-1.004157E-03	 1.830107E-13	-4.710547E-14	-2.829373E-04	 2.072544E-13	 4.020290E-14	-7.153976E-05	 9.683118E-14	 2.905373E-13	-4.841344E-05	-8.096336E-16	 5.325431E-14	-1.906566E-05	 5.414003E-14	-4.108823E-15	 9.906951E-06	 5.521862E-14	-6.164295E-14	 1.980373E-06	-8.721247E-14	-3.412362E-14	-2.677140E-06	-9.703104E-14	-1.315850E-13	-1.504547E-06	 1.022662E-13	 1.352014E-13	 9.006153E-07	-2.667223E-14	 1.241422E-13	 5.015105E-08	-1.752241E-14	 2.037663E-13	 2.597503E-07	-8.217677E-14	 2.584303E-13	 1.730950E-06	-1.625958E-13	 1.669695E-13	-2.132515E-06	-1.635204E-13	 4.429629E-14	-1.459393E-07	-9.650164E-14
