r	   0/   0	   0/   1	   1/  -1	   1/   0	   1/   1	   2/  -1	   2/   0	   2/   1	   3/  -1	   3/   0	   3/   1	   4/  -1	   4/   0	   4/   1	   5/  -1	   5/   0	   5/   1	   6/  -1	   6/   0	   6/   1	   7/  -1	   7/   0	   7/   1	   8/  -1	   8/   0	   8/   1	   9/  -1	   9/   0	   9/   1	  10/  -1	  10/   0	  10/   1	  11/  -1	  11/   0	  11/   1	  12/  -1	  12/   0	  12/   1	  13/  -1	  13/   0	  13/   1	  14/  -1	  14/   0	  14/   1	  15/  -1	  15/   0	  15/   1	  16/  -1	  16/   0	  16/   1	  17/  -1	  17/   0	  17/   1	  18/  -1	  18/   0	  18/   1	  19/  -1	  19/   0	  19/   1
0.10206	 0.000000E+00	 9.998474E-14	-1.899807E-14	 6.212042E-02	 9.284463E-15	-1.328859E-16	 1.402011E-01	 1.037220E-14	-1.705734E-14	 1.934771E-02	 4.764933E-15	-4.529289E-15	 2.465232E-03	-2.097745E-14	 8.411248E-15	 9.722750E-04	-1.712501E-14	-1.812143E-14	-3.397398E-04	-1.733569E-14	-2.317265E-14	 4.163396E-04	 7.688173E-15	-5.554917E-15	 6.890311E-05	 3.274095E-14	 1.718992E-14	-6.209141E-05	-4.502502E-14	 3.541223E-14	 3.192393E-05	-1.718487E-14	 2.158211E-14	-9.551109E-05	 2.164776E-14	 1.432365E-15	 1.064646E-04	 1.570451E-14	-1.814153E-14	-7.721877E-05	 6.330042E-15	 4.120980E-14	 2.414583E-05	-4.092818E-14	-2.391153E-14	 1.667007E-05	 5.677050E-14	-1.255216E-14	-2.278025E-05	-3.273253E-14	-4.354675E-14	-4.088794E-06	 1.706027E-14	-2.854521E-14	 3.744607E-06	 5.158023E-14	-1.812977E-15	-2.525789E-06	 8.083299E-14
0.14434	 0.000000E+00	 2.323775E-13	-2.626531E-14	 9.593930E-02	-2.154057E-14	-4.491221E-14	 1.500770E-01	 6.571435E-14	-2.048780E-14	 3.194084E-02	 1.756570E-14	-2.521522E-16	 5.129341E-03	-2.407699E-14	 4.351826E-15	 1.715471E-03	 7.554598E-16	-1.429711E-14	-6.319558E-04	-8.862872E-15	-3.276792E-14	 2.433790E-04	 9.191670E-15	-1.884456E-14	 7.795086E-04	-2.361598E-14	-1.733114E-14	-3.448727E-04	-7.166628E-16	 7.858655E-15	-5.094682E-04	 9.873890E-15	 1.878074E-14	 2.886601E-04	 2.869610E-15	 1.742015E-14	 2.509565E-04	 1.946086E-14	-5.411016E-15	-2.336083E-04	-9.408663E-15	 2.144206E-15	-2.741312E-05	 5.113236E-15	 1.510802E-14	 7.838292E-05	 3.091252E-14	-1.856362E-14	 8.720068E-06	 9.684331E-16	-3.865031E-14	-1.220748E-05	-1.474006E-14	-3.984433E-14	 3.104959E-06	 2.337406E-15	 3.126124E-15	 1.774805E-06	 2.501578E-14
0.17678	 0.000000E+00	-1.583746E-14	 6.190294E-14	 1.156719E-01	-7.910756E-14	-9.491930E-15	 1.596266E-01	 1.225734E-14	-4.315067E-14	 4.160447E-02	 1.719744E-14	-1.156337E-14	 8.218012E-03	-1.817922E-15	 3.315641E-15	 2.354204E-03	 2.876400E-15	-1.476062E-14	-6.961511E-04	 2.653157E-14	-1.985421E-14	-4.963978E-05	 4.294948E-16	-3.250271E-14	 1.223320E-03	-2.658944E-14	-1.920252E-14	-2.571351E-04	 1.561497E-14	 4.508226E-15	-1.010615E-03	 1.068950E-15	 6.581495E-16	 3.699805E-04	-1.803653E-14	 2.703744E-14	 4.892952E-04	-7.536756E-15	-3.317997E-16	-2.365217E-04	-1.529347E-14	 1.397727E-14	-1.609799E-04	 2.107135E-14	 2.102908E-14	 4.927150E-05	 2.933815E-14	-1.749314E-14	 4.706031E-05	 2.180419E-14	-2.689777E-14	 1.894627E-06	-1.986320E-14	-2.697538E-14	 5.446528E-06	-2.469759E-14	-4.433698E-15	 9.069920E-06	 4.040035E-15
0.20412	 0.000000E+00	-4.063001E-13	 1.548456E-13	 1.287448E-01	-7.106614E-14	 1.131780E-13	 1.673515E-01	-5.275363E-14	 2.323314E-14	 5.020055E-02	-2.386126E-14	-1.321495E-15	 1.132505E-02	-5.975552E-15	 6.721922E-15	 3.053263E-03	 2.180098E-14	 2.513138E-14	-6.306200E-04	 3.201822E-14	-2.036898E-14	-4.260346E-04	 2.171413E-14	-3.421656E-14	 1.384323E-03	-3.672070E-14	-3.023182E-14	 4.047026E-05	 3.806137E-14	-1.171811E-14	-1.235458E-03	 2.669903E-15	-3.531353E-15	 1.776353E-04	-1.762743E-14	 2.615647E-14	 5.977596E-04	 1.648928E-14	-8.500401E-15	-5.865302E-05	-3.736736E-14	 1.199808E-14	-2.019492E-04	 1.607240E-14	 1.663983E-14	-4.024591E-05	 2.664235E-14	 4.706264E-15	 3.141426E-05	 2.414398E-14	-1.792164E-14	 6.211633E-06	-1.152204E-14	-1.497716E-14	 2.785670E-06	-1.965023E-14	-8.218097E-15	 1.452385E-05	-1.259166E-14
0.22822	 0.000000E+00	-4.567038E-13	 1.769072E-13	 1.359117E-01	-7.534465E-14	 1.969263E-13	 1.728302E-01	-1.126715E-13	 1.019953E-13	 5.684992E-02	-7.045239E-14	 3.227658E-14	 1.404820E-02	-5.090723E-14	 2.961519E-14	 3.764819E-03	-1.768106E-14	 3.776628E-14	-3.903860E-04	 7.142993E-15	 7.484766E-15	-6.868653E-04	-3.913242E-15	-1.841644E-14	 1.189006E-03	-5.787327E-14	-3.589333E-14	 3.252479E-04	 1.860420E-14	-3.131235E-14	-1.094843E-03	-1.726175E-14	-1.684263E-14	-8.602025E-05	-5.126605E-15	 2.557800E-14	 4.949045E-04	 3.201641E-14	-1.496304E-14	 1.015781E-04	-1.944311E-15	 8.518992E-15	-1.344061E-04	-5.645606E-15	-1.987496E-14	-7.626076E-05	 1.855964E-14	-8.665472E-15	 5.657575E-06	 2.366178E-14	 3.558065E-16	 1.298324E-07	 4.216006E-15	-5.710436E-15	-7.206896E-06	 3.952056E-15	-5.711413E-15	 8.644391E-06	-1.975005E-15
0.25000	 0.000000E+00	-3.746923E-13	 7.900109E-14	 1.380588E-01	 5.450661E-15	 7.360377E-14	 1.760323E-01	-7.033221E-14	 3.632321E-14	 6.145086E-02	-2.053727E-14	 2.352679E-14	 1.610853E-02	-4.304398E-14	 2.047913E-14	 4.320495E-03	-3.653673E-14	-8.901869E-15	-1.188707E-04	 1.932293E-14	 4.160383E-14	-7.993551E-04	-2.102638E-14	-8.338967E-15	 9.074462E-04	-2.213338E-14	-2.414360E-14	 4.691435E-04	-1.022566E-14	-1.388153E-14	-8.662954E-04	-5.468367E-14	 7.796864E-15	-2.329948E-04	 1.253788E-14	 5.010177E-14	 3.526836E-04	-2.178798E-14	-1.176215E-14	 1.661002E-04	 1.752960E-14	-1.153248E-14	-6.493992E-05	-2.116171E-14	-1.640947E-14	-7.409158E-05	 2.743700E-15	-1.278549E-14	-7.922586E-06	 1.855052E-14	-1.229358E-14	-2.264927E-06	 9.880778E-15	-9.188286E-15	-1.180897E-05	 1.469729E-14	-2.119874E-15	 1.699648E-06	 3.774950E-15
0.27003	 0.000000E+00	 4.405753E-13	-8.191926E-14	 1.363914E-01	 1.458405E-13	-6.336054E-14	 1.772510E-01	 1.138763E-13	-1.169559E-14	 6.417464E-02	 5.999248E-14	 2.709429E-15	 1.743812E-02	 3.972926E-14	-7.391340E-15	 4.667891E-03	 3.728097E-14	-3.546154E-14	 1.091183E-04	 7.047976E-14	 1.577429E-14	-8.145698E-04	 5.243731E-14	-1.890587E-14	 6.356481E-04	 2.186375E-14	-6.042153E-15	 4.988578E-04	 2.042008E-14	-2.448280E-14	-6.414202E-04	-1.400037E-14	 3.968172E-15	-2.826666E-04	-5.425629E-15	 3.560925E-14	 2.225780E-04	-4.399252E-15	 2.724662E-14	 1.712957E-04	-1.593973E-14	 7.545933E-15	-1.109635E-05	-3.537612E-15	-2.235285E-15	-5.672580E-05	 1.099096E-14	 4.275998E-15	-1.413937E-05	 6.653692E-15	 1.186491E-15	-3.962950E-06	 1.249967E-14	-7.540612E-15	-1.237289E-05	 2.826858E-14	 6.635641E-15	-2.211739E-06	 1.320841E-14
0.28868	 0.000000E+00	 1.356129E-12	-5.455130E-13	 1.322062E-01	 4.318521E-13	-4.264450E-13	 1.770275E-01	 3.723039E-13	-1.795427E-13	 6.541653E-02	 1.285646E-13	-7.358015E-14	 1.812475E-02	 4.931977E-14	-3.430679E-14	 4.819266E-03	 1.394382E-14	-1.301714E-14	 2.722615E-04	 1.168532E-14	-1.203987E-14	-7.755567E-04	 4.851593E-14	-3.387107E-14	 4.052636E-04	-1.975068E-14	-6.678697E-15	 4.542875E-04	-9.745190E-15	-2.035992E-14	-4.572335E-04	-7.759202E-15	-1.834845E-14	-2.710054E-04	-9.447090E-17	 2.057688E-15	 1.264277E-04	 2.446860E-14	 1.776518E-14	 1.457187E-04	-1.865606E-14	 1.938729E-14	 1.911037E-05	-1.535587E-14	 1.850297E-14	-3.576383E-05	-9.047306E-15	-1.095985E-14	-1.271628E-05	 2.573733E-15	-8.545737E-15	-3.921407E-06	 9.312790E-15	 4.875091E-15	-1.152051E-05	 2.675134E-14	 1.165468E-14	-4.352877E-06	 1.198652E-14
0.30619	 0.000000E+00	 4.370818E-13	-2.422769E-13	 1.265724E-01	 3.128743E-14	-2.574933E-13	 1.759048E-01	 2.654366E-14	-1.947655E-13	 6.561187E-02	-1.562999E-14	-9.333204E-14	 1.832368E-02	-6.382246E-14	-3.785611E-14	 4.818351E-03	-7.006339E-14	 1.148338E-14	 3.741077E-04	-5.998303E-14	 2.655107E-14	-7.118727E-04	-3.251120E-14	-1.001650E-14	 2.207266E-04	-5.275880E-14	 9.788667E-15	 3.692974E-04	-8.564795E-14	-2.932484E-15	-3.213837E-04	-4.558904E-14	-1.099442E-14	-2.298072E-04	 7.029247E-15	-3.793518E-15	 6.475204E-05	 1.340419E-14	 2.070664E-14	 1.104830E-04	-7.456677E-16	 5.913742E-15	 3.010602E-05	-2.859202E-14	 5.533178E-15	-1.877022E-05	-4.028857E-14	-1.144205E-14	-7.482228E-06	-2.497763E-14	-1.690155E-14	-1.838829E-06	-1.197836E-14	-1.347177E-14	-9.404734E-06	-4.882801E-15	 1.051366E-14	-4.982090E-06	-2.423442E-15
0.32275	 0.000000E+00	-4.228653E-13	 2.213974E-13	 1.201359E-01	-2.051020E-13	 1.338861E-13	 1.742339E-01	-1.642514E-13	-2.041450E-14	 6.506948E-02	-3.752442E-14	-8.660764E-15	 1.815798E-02	-5.068331E-14	-3.727337E-14	 4.701248E-03	-1.735777E-14	-1.895935E-14	 4.214857E-04	-8.009059E-15	 2.649764E-14	-6.439395E-04	-2.928596E-15	 8.282046E-15	 7.638664E-05	-2.095033E-14	-5.720203E-15	 2.674603E-04	-5.129478E-14	 1.691970E-14	-2.289694E-04	-4.927558E-14	-2.953382E-14	-1.798211E-04	-2.658164E-14	-1.905776E-14	 2.991645E-05	 1.457323E-14	 2.902679E-14	 7.693520E-05	 7.572810E-15	 2.708332E-14	 2.933048E-05	-1.806958E-14	 1.985884E-14	-7.634729E-06	-3.361532E-14	 6.121856E-15	-1.661007E-06	-4.354856E-14	 7.889436E-15	 1.226804E-06	-1.204782E-14	 4.111262E-15	-6.526731E-06	 1.396632E-14	-1.453341E-14	-4.377937E-06	 1.520346E-14
