r	   0/   0	   0/   1	   1/  -1	   1/   0	   1/   1	   2/  -1	   2/   0	   2/   1	   3/  -1	   3/   0	   3/   1	   4/  -1	   4/   0	   4/   1	   5/  -1	   5/   0	   5/   1	   6/  -1	   6/   0	   6/   1	   7/  -1	   7/   0	   7/   1	   8/  -1	   8/   0	   8/   1	   9/  -1	   9/   0	   9/   1	  10/  -1	  10/   0	  10/   1	  11/  -1	  11/   0	  11/   1	  12/  -1	  12/   0	  12/   1	  13/  -1	  13/   0	  13/   1	  14/  -1	  14/   0	  14/   1	  15/  -1	  15/   0	  15/   1	  16/  -1	  16/   0	  16/   1	  17/  -1	  17/   0	  17/   1	  18/  -1	  18/   0	  18/   1	  19/  -1	  19/   0	  19/   1
0.10206	 3.228135E-01	-1.919599E-14	-3.244151E-14	 7.218408E-02	-3.618102E-14	-1.169151E-16	 1.187943E-01	-1.881847E-14	-1.420537E-14	 1.438029E-02	-1.264695E-14	-1.577354E-14	 1.719090E-03	-2.373862E-14	-1.009243E-14	 7.003188E-04	 5.989158E-15	-1.184608E-14	-2.388047E-04	 3.903824E-16	-1.859902E-14	 1.007883E-04	-2.164359E-15	 6.989127E-15	 2.305205E-04	-2.740283E-14	-6.167362E-15	-2.885969E-04	 1.942270E-14	 1.464500E-15	-5.436743E-05	 2.037534E-14	-1.816666E-15	 5.605075E-05	 2.027023E-14	-9.224084E-15	-3.432336E-05	-5.451245E-15	-1.615160E-14	-2.496785E-05	 1.591231E-14	-8.985493E-15	-1.927444E-05	 1.145317E-14	 4.374171E-15	 2.797608E-05	 3.522712E-15	-3.083013E-14	-1.583062E-07	 4.580411E-14	-1.968995E-16	 4.660926E-06	-1.759769E-14	 5.204036E-15	 7.961866E-06	 1.985549E-14	 1.853224E-14	 1.287141E-06	-2.821452E-14
0.14434	 3.437366E-01	-6.240455E-15	 4.395209E-16	 1.056714E-01	-2.015197E-14	-4.924638E-15	 1.320650E-01	 8.211927E-15	 2.826884E-15	 2.364490E-02	 2.092993E-16	 2.872683E-16	 3.153937E-03	-1.804492E-14	-4.512316E-15	 9.734548E-04	 2.512354E-14	 6.161104E-15	-2.379266E-04	 9.172584E-15	-2.099609E-14	-1.984565E-04	 3.078640E-14	-1.326413E-15	 4.813859E-04	-4.139068E-14	-9.849793E-15	-3.921655E-04	 3.665826E-14	-7.105946E-15	-3.532075E-04	 1.686977E-14	-1.469151E-14	 2.924503E-04	-3.502596E-15	-1.408954E-14	 5.338223E-05	 5.341317E-15	-8.366962E-15	-9.578632E-05	-3.908987E-15	-2.659794E-14	-3.709270E-05	 3.986714E-14	-5.484989E-15	 4.347512E-05	-2.580837E-14	-8.378844E-15	-1.455706E-06	-9.948205E-15	-1.723878E-15	-1.511984E-05	-4.696240E-14	-2.234880E-15	-2.318588E-06	-3.069502E-14	 2.130711E-15	-2.855189E-07	-2.680340E-14
0.17678	 3.501208E-01	 3.121358E-14	 3.618838E-14	 1.315666E-01	 1.001312E-15	 2.670516E-14	 1.406592E-01	 5.299031E-15	 2.644223E-14	 3.185475E-02	-2.250778E-14	 2.963188E-14	 4.906719E-03	 6.228804E-15	 1.926440E-14	 1.130340E-03	 1.629081E-14	 1.812955E-14	 8.465254E-06	 3.814798E-14	 1.526205E-14	-4.115207E-04	-2.051245E-15	 3.322665E-15	 2.724787E-04	-1.434885E-14	 8.610006E-15	-2.049680E-04	-9.748023E-15	 1.791964E-14	-4.183525E-04	-3.388766E-14	-1.600815E-14	 2.240730E-04	-2.672971E-14	 1.018227E-14	 1.849902E-04	 4.248638E-15	-1.618248E-14	-1.051099E-04	 3.246777E-14	 8.421111E-15	-9.269164E-05	 1.465815E-14	-3.505295E-14	 4.165313E-05	 2.235879E-14	-1.901174E-14	 2.089496E-05	-2.542392E-14	-1.099411E-14	-1.194666E-05	-3.425184E-14	-9.723550E-15	-1.025078E-05	-5.398191E-15	-1.466120E-14	-7.240525E-06	 1.007604E-14
0.20412	 3.544036E-01	 8.770148E-15	 1.373648E-14	 1.527132E-01	-8.365312E-15	 1.599230E-14	 1.487526E-01	-8.161406E-16	 2.101253E-14	 3.896537E-02	-4.228207E-14	 2.757541E-14	 6.879532E-03	 2.755979E-16	-1.714012E-15	 1.219317E-03	-1.836561E-14	-1.325325E-14	 1.830673E-04	-7.713939E-15	 8.234097E-15	-3.908509E-04	-5.110183E-14	-1.959926E-14	-6.269369E-05	-1.597408E-14	 1.347316E-14	-9.454155E-05	-3.119782E-14	 2.632171E-14	-2.976998E-04	-4.217394E-14	 2.572099E-14	 5.155692E-05	 3.995056E-15	 3.334381E-14	 1.969407E-04	-2.019477E-16	-1.275048E-14	-5.991117E-05	 4.853310E-14	 1.838237E-14	-1.161939E-04	-1.004441E-14	-7.270924E-15	 1.639195E-05	 1.517662E-14	-1.532342E-14	 3.741371E-05	 3.014532E-16	-5.223615E-15	 9.683415E-06	-5.873990E-15	 8.629354E-15	-1.633323E-06	 3.495590E-15	 1.368586E-14	-5.046046E-06	 6.500602E-15
0.22822	 3.579455E-01	-6.772783E-15	-1.139034E-15	 1.702747E-01	-8.708072E-15	-2.094116E-14	 1.562117E-01	-1.434082E-14	-4.958651E-15	 4.532576E-02	-2.854722E-14	 1.131863E-14	 8.890430E-03	-2.641118E-14	 1.817587E-15	 1.350519E-03	-5.263355E-14	-1.367701E-15	 2.058378E-04	-6.657121E-14	 1.718750E-14	-3.287797E-04	-5.189559E-14	 5.387576E-15	-2.365987E-04	-4.413939E-14	 1.936598E-14	-1.021760E-04	-1.438595E-14	 3.078201E-14	-2.230515E-04	-2.677664E-16	 5.142955E-14	-2.370394E-05	 1.661169E-14	 1.822802E-14	 1.725901E-04	 8.306614E-15	-1.157210E-14	-1.948223E-05	 1.230557E-14	-2.697422E-14	-1.126748E-04	 1.264512E-14	-6.120373E-15	-2.121990E-05	-1.109315E-14	 9.346105E-16	 2.520672E-05	-4.070031E-15	 1.564182E-14	 1.795440E-05	-4.448551E-15	 2.887927E-14	 7.836539E-06	-1.382176E-14	 2.748355E-14	 3.538009E-06	-2.013926E-14
0.25000	 3.610182E-01	-6.674602E-15	 8.692467E-15	 1.847032E-01	-2.299434E-14	 6.184695E-15	 1.628189E-01	-2.387636E-14	 1.313015E-14	 5.084291E-02	-3.242450E-15	-2.109376E-14	 1.077748E-02	 2.993109E-14	-7.378165E-15	 1.537560E-03	 9.918203E-15	-3.714097E-14	 1.639614E-04	 2.953320E-14	-3.700177E-14	-2.775074E-04	 4.954111E-14	-2.362120E-14	-3.346114E-04	 4.309564E-14	-1.158123E-14	-1.466361E-04	 1.880619E-14	-5.372259E-15	-1.613482E-04	 6.360920E-14	 7.153357E-15	-5.307548E-05	 3.970988E-14	-2.840179E-14	 1.309599E-04	 2.799731E-14	-1.591915E-14	 7.113790E-06	 1.271048E-14	-3.439799E-14	-9.059778E-05	 2.906888E-14	-5.074318E-15	-4.297193E-05	 2.173887E-14	-4.799718E-15	 5.687436E-06	 9.094155E-15	 1.518439E-14	 1.418093E-05	-3.699265E-15	 2.930975E-14	 1.010509E-05	-1.414795E-14	 8.003472E-15	 7.761563E-06	-6.349117E-15
0.27003	 3.636921E-01	-2.478082E-14	-1.232010E-14	 1.963206E-01	-4.997526E-14	 2.852778E-14	 1.684597E-01	-3.961820E-14	 3.302645E-14	 5.546306E-02	-6.020426E-15	-9.131450E-15	 1.242490E-02	 3.142630E-14	-2.543242E-14	 1.742406E-03	 5.893062E-14	-2.323151E-14	 9.464907E-05	 6.342550E-14	-6.188660E-14	-2.468623E-04	 7.513231E-14	-3.938597E-14	-3.857187E-04	 5.339635E-14	-1.980120E-14	-1.984701E-04	-1.321749E-15	-2.284388E-14	-1.224495E-04	 4.341281E-14	-3.891228E-14	-5.485604E-05	 4.177510E-14	-4.722032E-14	 9.870480E-05	 2.637584E-14	-6.858602E-15	 1.832192E-05	-4.520838E-15	-1.477101E-14	-6.978724E-05	-1.847805E-14	 1.771464E-14	-5.021687E-05	-1.824994E-14	 1.314672E-14	-8.949866E-06	-2.461369E-14	 1.086450E-14	 7.830687E-06	-1.752767E-14	 1.962528E-14	 9.147245E-06	-1.199475E-14	 1.945386E-14	 8.565918E-06	-1.600149E-14
0.28868	 3.660037E-01	-4.540576E-14	-5.718173E-14	 2.054627E-01	-6.236363E-14	-3.733307E-14	 1.731332E-01	-8.400638E-14	-1.918285E-14	 5.920599E-02	-2.722386E-14	-5.168315E-15	 1.378093E-02	-4.304838E-14	 1.005474E-14	 1.936358E-03	 9.687137E-15	 3.097497E-14	 1.478848E-05	 9.875534E-15	 2.613489E-14	-2.417095E-04	-7.346033E-15	 2.027551E-14	-4.104329E-04	-3.197049E-14	 2.547150E-14	-2.417610E-04	-6.998246E-14	 4.011508E-14	-1.020164E-04	-5.179670E-14	-3.529354E-15	-4.709625E-05	-1.087589E-14	-2.045118E-14	 7.692325E-05	 1.733403E-14	 1.822347E-15	 2.232265E-05	-8.200909E-15	-2.881086E-14	-5.199103E-05	 5.522899E-15	-1.933637E-14	-4.887914E-05	-8.552326E-15	-2.569840E-14	-1.764847E-05	 5.410495E-15	-2.085482E-14	 1.763148E-06	 3.036948E-14	-7.111704E-15	 7.011243E-06	 3.645084E-14	-9.390272E-15	 7.977533E-06	 9.330115E-15
0.30619	 3.679937E-01	-4.324541E-14	-1.889828E-14	 2.124883E-01	-4.192683E-14	-3.124168E-14	 1.769256E-01	-5.232285E-14	-1.154129E-14	 6.215532E-02	-1.872319E-14	 3.503806E-16	 1.484484E-02	-3.926435E-15	 1.395134E-14	 2.105148E-03	 4.310579E-14	 2.350625E-15	-6.588316E-05	 6.256750E-14	 4.347825E-14	-2.610778E-04	 1.652255E-14	 4.179869E-14	-4.242897E-04	-1.957785E-15	 4.136435E-14	-2.730734E-04	-4.899331E-14	 4.303619E-14	-9.268312E-05	-3.177370E-14	 1.017251E-14	-3.801110E-05	-1.566438E-14	 3.646326E-15	 6.152759E-05	-9.398122E-16	 3.701530E-15	 2.245266E-05	 5.262522E-15	 1.697587E-14	-3.742509E-05	 4.866190E-15	 1.929418E-14	-4.231435E-05	 8.641140E-15	 1.738474E-14	-2.059814E-05	 1.569716E-14	 2.588044E-14	-2.496065E-06	 8.723255E-15	 1.965563E-14	 4.580959E-06	-2.927484E-15	-5.967756E-15	 6.612511E-06	-1.048850E-14
0.32275	 3.697031E-01	-1.319547E-14	 1.624323E-14	 2.177372E-01	-1.542855E-14	-3.666961E-15	 1.799571E-01	 9.765317E-15	 3.183323E-14	 6.442025E-02	 1.025943E-14	 1.131775E-14	 1.564237E-02	 4.588162E-14	-7.454503E-15	 2.243118E-03	 6.997016E-14	-1.686902E-14	-1.426496E-04	 5.072669E-14	-6.252337E-15	-3.009485E-04	 9.484652E-15	 4.166868E-15	-4.372577E-04	 4.090569E-14	 7.975390E-15	-2.950570E-04	 2.479179E-14	-1.392718E-14	-8.929757E-05	 6.581830E-14	-1.736113E-14	-3.010807E-05	 1.376671E-14	-6.987073E-16	 4.944117E-05	 8.127854E-15	 2.976929E-15	 1.995332E-05	-3.323799E-14	 2.914633E-14	-2.612902E-05	-4.647959E-14	 3.711752E-14	-3.318079E-05	-3.067703E-14	 5.120372E-14	-1.902928E-05	-3.691931E-14	 6.161060E-14	-4.370190E-06	-4.475143E-14	 5.537337E-14	 2.606652E-06	-4.591695E-14	 4.441510E-14	 4.993628E-06	-3.329515E-14
