r	   0/   0	   0/   1	   1/  -1	   1/   0	   1/   1	   2/  -1	   2/   0	   2/   1	   3/  -1	   3/   0	   3/   1	   4/  -1	   4/   0	   4/   1	   5/  -1	   5/   0	   5/   1	   6/  -1	   6/   0	   6/   1	   7/  -1	   7/   0	   7/   1	   8/  -1	   8/   0	   8/   1	   9/  -1	   9/   0	   9/   1	  10/  -1	  10/   0	  10/   1	  11/  -1	  11/   0	  11/   1	  12/  -1	  12/   0	  12/   1	  13/  -1	  13/   0	  13/   1	  14/  -1	  14/   0	  14/   1	  15/  -1	  15/   0	  15/   1	  16/  -1	  16/   0	  16/   1	  17/  -1	  17/   0	  17/   1	  18/  -1	  18/   0	  18/   1	  19/  -1	  19/   0	  19/   1
0.10206	 4.699200E-01	 3.082013E-14	 4.848085E-14	-1.086054E-02	 5.986229E-14	 3.421053E-14	-1.637729E-01	-9.124999E-14	 4.029720E-14	-2.624775E-02	-4.420576E-14	 1.348694E-14	-3.639174E-03	 2.149610E-14	-1.605470E-14	-1.060800E-03	-2.425881E-14	 2.385876E-14	 3.296685E-04	 3.715688E-14	 4.867424E-14	-3.216511E-04	-2.078518E-14	 5.362732E-14	-1.941763E-04	 1.687023E-14	 3.313568E-14	 2.268659E-04	 5.773524E-15	-1.542352E-14	 5.565558E-06	-3.612279E-14	-3.235947E-14	-3.183132E-05	 2.403788E-14	 1.499014E-14	 3.717601E-05	-8.086739E-15	 2.787765E-14	 1.576500E-05	-4.249972E-14	 6.583657E-15	-4.336146E-05	-3.235122E-14	-4.520159E-14	-2.472262E-05	 1.686464E-14	 2.032361E-14	 5.841091E-06	-1.653837E-15	 2.514782E-14	 3.960798E-06	 1.106305E-14	 3.949565E-15	-1.430331E-06	 8.693599E-15	-4.221650E-15	 4.230185E-07	 2.663115E-15
0.14434	 4.549247E-01	 2.994485E-14	-8.590381E-14	-1.107062E-02	 9.651815E-14	 6.427646E-14	-1.619206E-01	-1.173725E-13	 6.197112E-14	-4.191072E-02	-4.275449E-14	 3.105081E-14	-7.693922E-03	 2.139268E-14	-4.264577E-14	-2.058805E-03	-4.507457E-14	-4.212173E-14	 7.250662E-04	-1.125851E-14	 4.771750E-14	 1.537321E-04	-7.124290E-14	 7.254127E-14	-1.251035E-03	 9.489034E-14	 1.371713E-15	 3.939202E-04	-1.369277E-14	 1.988618E-14	 7.639788E-04	-4.800104E-14	 2.688642E-14	-4.696554E-04	 5.062918E-14	 2.847075E-14	-2.179470E-04	 1.803967E-14	 1.959398E-15	 1.884836E-04	-4.324860E-15	 3.557875E-14	 9.219173E-05	-9.354715E-14	-8.838832E-14	-4.470653E-05	 6.298136E-14	-2.146761E-14	-3.455610E-05	 1.523791E-14	 1.380919E-14	-2.311035E-07	 1.809854E-14	 2.724882E-14	-5.628063E-07	 3.057674E-14	 7.994105E-15	-4.290940E-06	 2.008102E-14
0.17678	 4.584081E-01	-4.180137E-14	-1.867349E-13	-1.179617E-02	 9.945925E-14	-1.008491E-13	-1.632625E-01	 7.845614E-14	 5.554839E-15	-5.385268E-02	 9.812767E-14	 3.599556E-14	-1.218951E-02	-1.401115E-14	-4.123168E-14	-2.991607E-03	-4.914228E-14	-7.641761E-14	 1.813083E-04	-8.346585E-14	 2.399648E-15	 8.539107E-04	-2.941001E-14	 8.094430E-14	-1.028355E-03	 2.696807E-14	-6.893907E-14	-3.653928E-04	 3.908079E-14	-2.695425E-14	 8.593413E-04	 4.294047E-14	 9.788296E-14	 2.771649E-05	 5.483402E-14	 6.471976E-14	-4.079366E-04	-3.261332E-14	-2.001014E-14	-9.975395E-05	 1.508533E-15	-8.066903E-14	 1.542061E-04	-2.510766E-14	 1.679011E-14	 8.356640E-05	-2.170745E-14	 2.223632E-15	-9.735229E-06	 5.178058E-14	-6.565441E-15	-9.264359E-06	 2.149932E-14	-1.974984E-14	-7.069498E-07	-1.113375E-14	 2.852943E-14	-7.835116E-06	-1.625997E-14
0.20412	 4.626458E-01	 4.924288E-14	 3.642104E-14	-1.206817E-02	-1.924644E-14	-1.599149E-13	-1.646426E-01	 9.340934E-14	-1.178269E-13	-6.247844E-02	 1.553735E-13	-4.871130E-14	-1.624761E-02	-1.302746E-15	 9.096765E-16	-4.090190E-03	-7.944525E-15	 5.529732E-15	-6.676802E-04	-2.079300E-14	-4.185581E-14	 9.671271E-04	 4.423091E-14	 4.879340E-14	-1.146854E-04	-6.146593E-15	-5.443135E-14	-7.526453E-04	 6.124786E-14	 3.897585E-15	 1.825267E-04	 9.648189E-14	 5.133854E-14	 4.800844E-04	-4.346126E-14	 9.864286E-15	-5.422687E-05	-6.644380E-14	-2.224567E-14	-2.713312E-04	-5.492291E-14	-5.247813E-14	-2.644645E-05	 9.790814E-14	 2.912063E-14	 7.413000E-05	 2.828069E-14	 2.560268E-14	 2.529442E-05	-2.919865E-14	-1.470831E-14	 3.880986E-06	-3.469505E-14	-3.696405E-15	 1.002745E-05	-2.986070E-14	-1.368642E-15	 1.537391E-06	-1.051875E-14
0.22822	 4.647984E-01	 6.853809E-14	-2.821799E-13	-1.334288E-02	 3.210702E-13	-1.979843E-13	-1.647624E-01	 2.483650E-13	-1.116090E-13	-6.792424E-02	 6.418611E-14	-1.152874E-13	-1.924443E-02	 1.869841E-14	-3.247923E-14	-4.854137E-03	 9.557884E-14	 3.890119E-14	-1.297380E-03	 9.391145E-14	-9.753666E-14	 6.901364E-04	 1.912373E-14	-2.168348E-14	 4.477323E-04	 4.212145E-14	-5.881848E-14	-6.441498E-04	 2.130609E-14	 1.189872E-14	-2.358756E-04	 2.973474E-14	-1.197801E-14	 4.549266E-04	-3.781778E-14	-1.975299E-14	 1.577120E-04	 1.044750E-14	-3.009610E-14	-1.972379E-04	-5.999118E-14	 5.220371E-14	-9.409294E-05	 4.400453E-14	 6.235630E-14	 2.718250E-05	 6.143036E-14	-1.196091E-14	 2.131462E-05	 7.719352E-16	-5.943369E-14	 2.118364E-06	-3.651146E-14	-3.230505E-14	 9.285486E-06	-1.979539E-14	-1.127512E-14	 6.570003E-06	 2.555141E-14
0.25000	 4.642369E-01	 1.240803E-14	 1.401766E-13	-1.594936E-02	-4.911714E-14	-1.290644E-14	-1.635876E-01	 7.311258E-14	-4.088916E-14	-7.034410E-02	-5.885339E-14	-5.145281E-15	-2.096733E-02	-6.912031E-14	-4.128150E-14	-5.239364E-03	 7.275220E-14	 8.504623E-14	-1.645140E-03	 3.290212E-14	 2.316258E-14	 3.008238E-04	-1.054617E-13	-3.028774E-14	 7.291359E-04	-3.407333E-14	-6.392977E-14	-3.606694E-04	 5.555490E-14	 4.468045E-14	-4.606663E-04	-8.389340E-14	 7.697086E-15	 2.821996E-04	-9.856665E-15	 4.437848E-14	 2.635550E-04	 4.802010E-14	-4.823026E-14	-8.494993E-05	 2.004336E-14	 7.176409E-15	-1.147970E-04	-8.486258E-15	 2.655934E-14	-1.007298E-05	-3.815609E-14	 8.647263E-15	 1.875326E-05	-1.438299E-15	-2.479876E-14	 3.194177E-06	 3.082172E-14	-4.550408E-14	 3.827154E-06	 4.152996E-14	-1.681951E-14	 4.823641E-06	-1.205661E-14
0.27003	 4.612620E-01	 5.758506E-14	 1.925808E-13	-1.957999E-02	-1.334022E-14	 1.381300E-13	-1.615059E-01	-1.257003E-13	-5.131123E-14	-7.032923E-02	-6.685040E-14	 2.538184E-14	-2.147908E-02	-5.955360E-14	 1.880181E-14	-5.252997E-03	-1.210038E-14	-1.755425E-14	-1.746484E-03	 2.821395E-15	 1.234072E-13	-6.752889E-05	-1.810269E-13	 4.001258E-14	 8.031938E-04	-4.443032E-14	-1.127482E-13	-5.589635E-05	 9.567961E-14	 1.650510E-14	-5.134485E-04	-9.869324E-14	 1.167627E-13	 8.979991E-05	-4.132168E-14	 1.202399E-13	 2.622613E-04	-4.872261E-14	-3.094603E-14	 1.320105E-05	 3.149166E-14	-5.978338E-14	-8.810823E-05	 8.088783E-14	-6.125389E-14	-3.281828E-05	 1.816913E-14	 1.663012E-15	 6.323664E-06	 7.428801E-15	-1.070494E-14	 2.422640E-06	 2.979440E-14	-1.326878E-14	 1.938682E-06	 1.067879E-15	-1.433051E-14	 3.427289E-06	-6.099931E-15
0.28868	 4.565969E-01	-1.137869E-13	 5.697657E-13	-2.360915E-02	-5.477918E-13	 7.448505E-13	-1.589654E-01	-5.417675E-13	 3.354072E-13	-6.867085E-02	-3.116839E-13	 1.358917E-13	-2.108852E-02	-2.337135E-14	 5.163082E-14	-5.002101E-03	-3.717748E-14	-7.232283E-14	-1.675395E-03	-2.775431E-14	-7.564796E-15	-3.477112E-04	-7.710292E-14	 7.115543E-15	 7.523380E-04	 1.430804E-14	-3.472414E-14	 1.873427E-04	 1.209021E-13	-8.604845E-14	-4.589956E-04	 9.575514E-14	 5.338545E-14	-5.299047E-05	-8.141636E-15	 1.019964E-13	 2.043972E-04	-9.769085E-14	-1.262247E-14	 6.883515E-05	-4.767289E-14	-1.700787E-15	-4.722382E-05	 7.122453E-15	-4.971914E-15	-3.560887E-05	 8.905822E-14	 1.735059E-14	-4.029781E-06	 3.988474E-14	 2.351953E-14	-1.231254E-06	-2.198495E-14	-1.254594E-14	-4.850867E-07	-3.613162E-14	-1.277432E-14	 1.748302E-06	-1.264407E-14
0.30619	 4.509493E-01	-1.409106E-13	-1.589264E-14	-2.747441E-02	-2.003383E-13	 2.075501E-13	-1.563045E-01	-1.135498E-13	 1.432017E-13	-6.606424E-02	-5.462134E-14	 1.140815E-13	-2.014237E-02	 8.613922E-15	 9.230462E-14	-4.614546E-03	-3.566284E-14	 9.656322E-14	-1.511823E-03	-1.032034E-13	-5.619143E-14	-5.249950E-04	-4.051947E-14	-9.711745E-14	 6.468425E-04	 1.075258E-14	-4.181512E-14	 3.486234E-04	 1.025551E-13	-4.193004E-14	-3.592042E-04	 1.003285E-13	 2.278896E-14	-1.342119E-04	 6.884433E-14	 6.204776E-14	 1.339619E-04	 1.561326E-14	 5.186147E-14	 8.787875E-05	-1.030923E-13	-5.920364E-14	-1.252993E-05	-3.751406E-14	-2.486312E-15	-2.773911E-05	 4.132778E-15	-3.399386E-15	-8.833788E-06	 1.726892E-14	-7.581174E-14	-4.448779E-06	 5.340798E-15	-4.275355E-14	-2.873060E-06	 4.497369E-14	 4.840091E-14	-2.803110E-07	 6.710227E-15
0.32275	 4.448048E-01	 2.459376E-14	-4.381738E-13	-3.089253E-02	 4.500298E-13	-3.375204E-13	-1.537310E-01	 3.316644E-13	-2.793331E-13	-6.295200E-02	 1.544225E-13	-7.007195E-14	-1.887580E-02	-6.033421E-15	 8.798339E-14	-4.168225E-03	-1.069132E-13	 7.582831E-14	-1.307271E-03	-2.245393E-14	 5.580164E-14	-6.088358E-04	 7.377445E-14	-7.523266E-14	 5.332582E-04	-5.810513E-14	-6.811809E-14	 4.392859E-04	-5.352828E-14	 5.302513E-14	-2.534590E-04	-9.965691E-14	 9.812728E-15	-1.671437E-04	 6.393462E-14	 1.918068E-14	 7.388853E-05	 4.254607E-14	 8.912394E-14	 8.556753E-05	 3.574784E-14	-1.781305E-14	 9.955980E-06	-7.692095E-15	-2.493117E-14	-1.767473E-05	-6.667246E-14	-5.764288E-14	-9.659386E-06	 1.302842E-14	-6.349126E-14	-6.020279E-06	 1.002432E-13	-6.644334E-14	-4.369202E-06	 7.119718E-14	-3.829129E-14	-2.056640E-06	 6.191163E-15
0.33850	 4.385201E-01	 4.793319E-14	-2.332971E-13	-3.369687E-02	 3.059556E-13	-3.935938E-13	-1.513730E-01	 3.803979E-13	-2.842730E-13	-5.965644E-02	 1.290321E-13	-3.023001E-14	-1.746413E-02	-4.797499E-14	-2.911644E-14	-3.711628E-03	-2.875744E-14	 1.155747E-14	-1.090197E-03	 5.183943E-14	 9.656771E-15	-6.153264E-04	 7.448391E-14	-1.863299E-14	 4.364447E-04	-1.589345E-13	-2.136513E-14	 4.782008E-04	-1.103763E-13	 7.386329E-14	-1.606611E-04	-2.525111E-14	 7.552108E-15	-1.689009E-04	-1.017565E-13	-6.338661E-14	 3.149306E-05	 2.633085E-14	 4.220995E-14	 7.428476E-05	 6.837500E-14	 2.427394E-14	 2.144168E-05	-2.430592E-14	 5.611895E-14	-9.812196E-06	-6.089439E-14	 8.485835E-15	-8.952968E-06	-5.237517E-14	-3.350973E-14	-6.244697E-06	 2.163841E-14	-8.702467E-15	-4.753154E-06	 1.817292E-14	-2.097139E-15	-3.154245E-06	 3.506742E-14
0.35355	 4.324571E-01	 8.222027E-14	-9.148038E-14	-3.564724E-02	 9.211907E-14	-1.361886E-13	-1.493243E-01	 1.269777E-13	-1.292732E-13	-5.653538E-02	 9.383795E-14	-6.049343E-14	-1.610896E-02	-1.178291E-14	-6.389376E-14	-3.304649E-03	 4.444944E-14	-2.254609E-14	-8.850887E-04	 3.831260E-14	 1.501989E-14	-5.633978E-04	-1.784845E-14	-1.257730E-13	 3.653970E-04	-5.398177E-14	 1.635036E-14	 4.812152E-04	-3.530882E-14	-7.503238E-15	-8.643558E-05	 4.641183E-14	-6.553919E-14	-1.519715E-04	-4.464972E-14	-2.984976E-14	 5.979186E-06	 4.865193E-14	-6.697376E-14	 6.049905E-05	-3.648219E-14	 5.172403E-15	 2.496862E-05	-8.614438E-14	 4.346974E-14	-5.052712E-06	-2.496144E-14	-2.287762E-14	-8.087912E-06	 1.798437E-14	-3.570565E-15	-5.860994E-06	-3.565728E-14	-1.564639E-15	-4.371180E-06	 2.323599E-15	 3.212955E-14	-3.528791E-06	 5.056313E-15
0.36799	 4.268954E-01	 1.731282E-13	 1.426020E-13	-3.654217E-02	-6.694889E-14	 1.434899E-13	-1.476244E-01	-3.491580E-14	 4.452695E-14	-5.389914E-02	-4.749238E-14	-1.072077E-13	-1.498755E-02	-6.641754E-14	-9.500167E-14	-3.000729E-03	 2.139986E-14	-4.743155E-14	-7.110186E-04	-2.469292E-14	-7.794518E-15	-4.724538E-04	 3.634823E-14	-1.069690E-13	 3.196889E-04	 6.639376E-14	-4.383903E-14	 4.605145E-04	 8.411168E-15	 2.519646E-14	-2.946167E-05	 2.605531E-14	-6.183295E-14	-1.240684E-04	 4.479316E-14	 5.525601E-14	-6.466177E-06	 4.891354E-15	 1.501033E-14	 4.652653E-05	-7.718401E-14	-9.803515E-15	 2.313147E-05	-4.385607E-14	-4.631156E-14	-2.669610E-06	 3.288694E-14	-1.922567E-14	-7.270582E-06	 3.702699E-14	-4.818752E-14	-5.328935E-06	 2.245297E-14	 2.180949E-14	-3.718073E-06	-1.453561E-14	 2.244553E-14	-3.426881E-06	-3.689802E-16
0.38188	 4.219238E-01	 1.026880E-13	 2.409904E-13	-3.640262E-02	-1.837301E-13	 1.933414E-13	-1.462529E-01	-1.592040E-13	 1.054350E-13	-5.186219E-02	-6.947570E-14	 8.313236E-16	-1.416294E-02	-7.168628E-14	-4.691483E-14	-2.810163E-03	-2.100707E-14	-1.325060E-14	-5.713462E-04	-4.241325E-14	-3.854948E-14	-3.585962E-04	-1.280615E-14	-1.991059E-14	 2.952056E-04	 3.993868E-14	-6.760565E-14	 4.265154E-04	 3.540753E-14	 3.938240E-15	 1.396813E-05	 9.077553E-14	-3.961786E-14	-9.057774E-05	 6.960382E-14	 3.798827E-14	-9.975779E-06	 8.596224E-15	-1.066843E-16	 3.328718E-05	-4.204177E-14	 4.107675E-14	 1.790174E-05	 2.105619E-14	 6.223257E-15	-1.856149E-06	 7.624318E-15	-7.080244E-15	-6.373021E-06	 1.444645E-14	 4.245094E-14	-4.754622E-06	-1.490037E-14	 3.101398E-14	-3.089878E-06	 5.691795E-14	-1.110089E-14	-3.140261E-06	 4.410449E-15
