r	   0/   0	   0/   1	   1/  -1	   1/   0	   1/   1	   2/  -1	   2/   0	   2/   1	   3/  -1	   3/   0	   3/   1	   4/  -1	   4/   0	   4/   1	   5/  -1	   5/   0	   5/   1	   6/  -1	   6/   0	   6/   1	   7/  -1	   7/   0	   7/   1	   8/  -1	   8/   0	   8/   1	   9/  -1	   9/   0	   9/   1	  10/  -1	  10/   0	  10/   1	  11/  -1	  11/   0	  11/   1	  12/  -1	  12/   0	  12/   1	  13/  -1	  13/   0	  13/   1	  14/  -1	  14/   0	  14/   1	  15/  -1	  15/   0	  15/   1	  16/  -1	  16/   0	  16/   1	  17/  -1	  17/   0	  17/   1	  18/  -1	  18/   0	  18/   1	  19/  -1	  19/   0	  19/   1
0.10206	 0.000000E+00	 1.160704E-13	-1.782023E-14	 7.306570E-02	 2.297233E-14	-7.549678E-16	 1.583387E-01	 2.273625E-14	-1.895457E-14	 2.589151E-02	 2.019430E-14	-7.343969E-15	 3.748972E-03	-2.879482E-14	 3.815878E-15	 1.242151E-03	-2.111373E-14	-2.993341E-14	-3.192338E-04	-2.341810E-14	-3.206276E-14	 4.603778E-04	 1.698291E-15	-2.985379E-15	 8.596630E-05	 4.049376E-14	 3.015101E-14	-6.528870E-05	-5.375952E-14	 4.947887E-14	 3.111740E-05	-1.511728E-14	 2.897943E-14	-1.023190E-04	 3.136652E-14	 6.774765E-16	 1.135316E-04	 2.217138E-14	-1.492821E-14	-8.245085E-05	 8.159613E-15	 4.974066E-14	 2.533904E-05	-4.990273E-14	-2.550839E-14	 1.832636E-05	 5.323897E-14	-1.605765E-14	-2.491672E-05	-4.031024E-14	-5.356382E-14	-5.078672E-06	 1.977649E-14	-3.045510E-14	 3.910303E-06	 5.846271E-14	 2.686494E-15	-2.879707E-06	 8.844465E-14
0.14434	 0.000000E+00	 2.527116E-13	-3.761820E-14	 1.116897E-01	-8.815656E-15	-5.987854E-14	 1.708744E-01	 8.721840E-14	-3.069777E-14	 4.230009E-02	 3.611904E-14	 1.201822E-15	 7.971534E-03	-2.567224E-14	 3.302303E-15	 2.381195E-03	 1.864395E-15	-3.039247E-14	-5.376796E-04	-1.217771E-14	-4.625976E-14	 2.942773E-04	-3.843104E-15	-2.096539E-14	 8.515204E-04	-3.472859E-14	-1.304753E-14	-3.662491E-04	-1.588213E-14	 9.769937E-15	-5.586304E-04	 1.004405E-14	 1.442574E-14	 3.048784E-04	 1.397286E-14	 2.295002E-14	 2.755925E-04	 3.236765E-14	 1.322105E-14	-2.467858E-04	-6.058933E-15	 2.170775E-14	-3.506004E-05	-5.091005E-15	 2.221482E-14	 8.453679E-05	 1.777308E-14	-2.815758E-14	 1.217566E-05	-5.988232E-15	-5.839343E-14	-1.249743E-05	-7.060216E-15	-5.215319E-14	 3.052635E-06	 1.378460E-14	 1.446583E-15	 1.616816E-06	 3.465847E-14
0.17678	 0.000000E+00	-4.692914E-14	 7.115842E-14	 1.338907E-01	-1.129326E-13	-2.366717E-14	 1.825370E-01	 3.506562E-15	-5.851068E-14	 5.502671E-02	 3.008285E-14	-1.267718E-14	 1.267754E-02	 1.766094E-14	 3.436890E-15	 3.534284E-03	 1.586404E-14	-2.941052E-14	-4.668347E-04	 1.996096E-14	-3.366678E-14	 2.028611E-05	-2.468331E-14	-3.818162E-14	 1.317190E-03	-5.472433E-14	-2.815467E-14	-2.666327E-04	-7.570818E-16	-1.438433E-14	-1.085518E-03	 7.972443E-15	-1.474196E-14	 3.747971E-04	-4.628062E-16	 4.060459E-14	 5.317016E-04	 7.087940E-15	 2.872484E-14	-2.396265E-04	-1.182820E-14	 3.181089E-14	-1.810486E-04	 1.277622E-14	 1.908410E-14	 4.670155E-05	 2.504960E-14	-3.141144E-14	 5.279081E-05	 2.507182E-14	-4.153924E-14	 5.175684E-06	-8.784013E-15	-3.534246E-14	 6.866597E-06	-1.497999E-14	-7.269016E-15	 9.860226E-06	 6.017378E-15
0.20412	 0.000000E+00	-4.633827E-13	 2.023724E-13	 1.483007E-01	-1.234637E-13	 1.390311E-13	 1.918220E-01	-8.198542E-14	 3.413131E-14	 6.624210E-02	-3.615902E-14	-4.428395E-16	 1.740689E-02	-4.556389E-15	 3.883449E-15	 4.843781E-03	 2.391909E-14	 1.785417E-14	-2.168018E-04	 2.094109E-14	-2.044657E-14	-3.252409E-04	 4.844081E-15	-3.399380E-14	 1.478453E-03	-4.427130E-14	-4.135256E-14	 5.411168E-05	 5.257959E-14	-2.949501E-14	-1.305981E-03	 3.482500E-14	-8.237268E-15	 1.566978E-04	 9.342657E-15	 4.470860E-14	 6.397070E-04	 1.759392E-14	 6.566401E-15	-4.107846E-05	-5.390288E-14	 9.812473E-15	-2.183375E-04	 5.016875E-15	 7.467205E-15	-5.331959E-05	 3.606306E-14	 4.411714E-15	 3.017234E-05	 4.258367E-14	-1.390083E-14	 8.325486E-06	-2.183616E-15	-1.585314E-14	 4.480357E-06	-2.187595E-14	-1.218908E-14	 1.606745E-05	-2.124005E-14
0.22822	 0.000000E+00	-4.920635E-13	 2.156626E-13	 1.559704E-01	-1.191273E-13	 2.371026E-13	 1.981887E-01	-1.501999E-13	 1.468855E-13	 7.496961E-02	-1.127427E-13	 6.636989E-14	 2.160373E-02	-8.967539E-14	 5.280555E-14	 6.195941E-03	-4.408424E-14	 5.395754E-14	 2.508961E-04	-5.235309E-15	 2.513450E-14	-5.345391E-04	-1.894268E-15	-1.170757E-14	 1.270286E-03	-4.280799E-14	-4.905911E-14	 3.547875E-04	 4.247913E-14	-4.944859E-14	-1.139648E-03	 7.163755E-15	-2.809915E-14	-1.237859E-04	 8.940497E-15	 2.090100E-14	 5.178990E-04	 2.700956E-14	-2.453117E-14	 1.281127E-04	-1.516038E-14	-2.710423E-15	-1.372685E-04	-8.845197E-15	-1.984241E-14	-8.825011E-05	 2.635042E-14	 4.711479E-15	-2.371345E-07	 3.710264E-14	 1.086614E-14	-8.852833E-07	 1.017059E-14	-1.015698E-14	-7.159081E-06	 6.846025E-15	-1.881772E-14	 9.171055E-06	 6.516112E-15
0.25000	 0.000000E+00	-3.932112E-13	 1.035211E-13	 1.580360E-01	-1.389963E-14	 8.645654E-14	 2.016175E-01	-6.658508E-14	 5.295969E-14	 8.109852E-02	-2.185932E-14	 3.373639E-14	 2.489450E-02	-5.077279E-14	 2.524361E-14	 7.343520E-03	-4.082497E-14	 2.683249E-15	 7.551160E-04	 1.930847E-14	 6.297522E-14	-5.791322E-04	-1.765296E-14	 1.103079E-14	 9.818920E-04	-2.281736E-14	-2.505523E-14	 5.028239E-04	-2.090610E-14	-2.632663E-14	-8.868098E-04	-6.815934E-14	 3.339639E-16	-2.726953E-04	-5.585841E-15	 5.449174E-14	 3.587391E-04	-3.655197E-14	-3.085839E-15	 1.905683E-04	 1.632745E-14	-3.947600E-15	-5.886261E-05	-1.495416E-14	-8.870983E-15	-8.112319E-05	 1.323916E-15	-7.079428E-15	-1.440956E-05	 1.122438E-14	-1.607985E-14	-4.832881E-06	 3.364947E-15	-2.552043E-14	-1.278301E-05	 2.055918E-14	-2.441302E-14	 1.276052E-06	 2.091909E-14
0.27003	 0.000000E+00	 4.891001E-13	-1.171468E-13	 1.559294E-01	 2.164183E-13	-7.299539E-14	 2.025051E-01	 1.729286E-13	-1.685656E-14	 8.485482E-02	 1.104878E-13	-5.162121E-15	 2.718218E-02	 7.252064E-14	-2.004717E-14	 8.190263E-03	 6.319401E-14	-3.757674E-14	 1.193894E-03	 8.266263E-14	 2.497324E-14	-5.236062E-04	 5.325231E-14	-1.087507E-14	 7.111087E-04	 2.108692E-14	-1.340446E-14	 5.308360E-04	 1.376797E-14	-4.607243E-14	-6.444766E-04	-1.420367E-14	-6.715863E-15	-3.166380E-04	-1.524216E-14	 5.879076E-14	 2.178060E-04	-2.812705E-14	 6.730667E-14	 1.896123E-04	-3.561454E-14	 3.925264E-14	-9.802326E-07	-1.841064E-14	 1.092166E-14	-5.876624E-05	 4.533880E-15	 4.972264E-15	-1.934969E-05	 7.147272E-15	-1.582768E-15	-7.029275E-06	 1.697072E-14	-1.190956E-14	-1.378808E-05	 3.927757E-14	-1.192865E-15	-3.056363E-06	 2.878276E-14
0.28868	 0.000000E+00	 1.516864E-12	-7.242023E-13	 1.511372E-01	 6.102350E-13	-5.233849E-13	 2.015501E-01	 4.734757E-13	-2.185214E-13	 8.673996E-02	 2.011530E-13	-7.046731E-14	 2.857997E-02	 8.966166E-14	-1.835035E-14	 8.737795E-03	 3.178831E-14	-9.278576E-16	 1.533800E-03	 1.519226E-14	-1.064982E-14	-4.199513E-04	 3.369254E-14	-4.404778E-14	 4.869385E-04	-3.248083E-14	-2.947351E-14	 4.824579E-04	-1.093065E-14	-5.304031E-14	-4.499579E-04	 1.719625E-14	-4.795458E-14	-2.968490E-04	 3.320929E-14	-9.940245E-15	 1.165235E-04	 4.105568E-14	 2.182815E-14	 1.575322E-04	-2.213424E-14	 2.760723E-14	 2.963311E-05	-2.987234E-14	 2.546541E-14	-3.426073E-05	-1.578791E-14	-7.930976E-16	-1.586358E-05	 8.181436E-15	 2.185787E-15	-6.581864E-06	 2.023278E-14	 8.900167E-15	-1.294472E-05	 3.310911E-14	 6.893649E-15	-5.332919E-06	 1.340488E-14
0.30619	 0.000000E+00	 4.629517E-13	-2.949095E-13	 1.448594E-01	 6.774580E-14	-3.011350E-13	 1.994438E-01	 4.889654E-14	-2.302708E-13	 8.730244E-02	 1.080541E-14	-1.144351E-13	 2.929280E-02	-3.843882E-14	-3.718272E-14	 9.039700E-03	-6.328058E-14	 2.928978E-14	 1.777007E-03	-7.272838E-14	 4.312386E-14	-3.017273E-04	-6.761569E-14	-7.214091E-15	 3.109651E-04	-9.578277E-14	-1.194438E-14	 3.934291E-04	-1.162470E-13	-3.493515E-14	-3.095231E-04	-5.413017E-14	-3.695685E-14	-2.481479E-04	 2.295641E-14	-1.235749E-14	 5.355061E-05	 3.543939E-14	 2.752327E-14	 1.171209E-04	 9.911502E-15	 2.529457E-14	 3.909837E-05	-3.566735E-14	 2.835813E-14	-1.544039E-05	-6.133390E-14	 2.484872E-15	-8.699602E-06	-4.345132E-14	-2.074174E-14	-3.583949E-06	-2.043192E-14	-3.824086E-14	-1.044525E-05	-2.713890E-15	-2.258861E-14	-5.839361E-06	 5.689553E-15
0.32275	 0.000000E+00	-5.034062E-13	 3.176586E-13	 1.378114E-01	-2.735977E-13	 1.898103E-13	 1.966343E-01	-1.847084E-13	-5.939319E-15	 8.693291E-02	-3.700069E-14	-3.015287E-14	 2.948565E-02	-4.188790E-14	-6.475480E-14	 9.144139E-03	-1.926491E-14	-2.275059E-14	 1.931712E-03	-1.276273E-14	 3.341546E-14	-1.912164E-04	-2.493502E-15	 6.214374E-15	 1.750899E-04	-1.836902E-14	-1.920396E-14	 2.879095E-04	-6.318631E-14	-5.690832E-15	-2.166443E-04	-8.136775E-14	-4.138387E-14	-1.925879E-04	-6.328031E-14	-1.195134E-14	 1.944384E-05	-1.040228E-14	 4.820136E-14	 8.008028E-05	 1.590911E-15	 6.201534E-14	 3.615291E-05	-2.472608E-14	 6.125653E-14	-3.788739E-06	-5.061939E-14	 3.479593E-14	-1.486578E-06	-6.271066E-14	 1.711436E-14	 4.969132E-07	-2.047541E-14	-7.021582E-15	-6.965427E-06	 2.538378E-14	-3.639721E-14	-4.918844E-06	 3.638823E-14
