        r	      dnnbi	       dne	       dni	      tbn	        ti	        te	      vfova	      cureq	       feq	     pressure	       iota	        q	       1/D	    curvature	      shear	        eta
  0.0000000E+00	  0.9898321E+00	  0.9999641E+00	  0.9992672E+00	  0.9961449E+00	  0.9980534E+00	  0.9983326E+00	  0.4642526E+00	  0.0000000E+00	  0.1000019E+01	  0.1000000E+01	  0.4589246E+00	  0.2179007E+01	  0.9999609E+00	  0.0000000E+00	  0.0000000E+00	  0.9966705E+00
  0.5000000E-02	  0.9898321E+00	  0.9999641E+00	  0.9992672E+00	  0.9965611E+00	  0.9980534E+00	  0.9983326E+00	  0.4642526E+00	 -0.1245833E-05	  0.1000022E+01	  0.9999100E+00	  0.4589851E+00	  0.2178720E+01	  0.9999409E+00	 -0.8023023E-02	  0.3253481E-03	  0.1000000E+01
  0.1000000E-01	  0.9890066E+00	  0.1000000E+01	  0.9998052E+00	  0.9969896E+00	  0.9960218E+00	  0.9965242E+00	  0.4642526E+00	 -0.4985417E-05	  0.1000033E+01	  0.9996401E+00	  0.4592233E+00	  0.2177590E+01	  0.9998807E+00	 -0.1604604E-01	  0.1400481E-02	  0.1003227E+01
  0.1500000E-01	  0.9888087E+00	  0.9999749E+00	  0.1000000E+01	  0.9974241E+00	  0.9939062E+00	  0.9945768E+00	  0.4642526E+00	 -0.1122499E-04	  0.1000049E+01	  0.9991901E+00	  0.4596282E+00	  0.2175672E+01	  0.9997804E+00	 -0.2406906E-01	  0.3151817E-02	  0.1006396E+01
  0.2000000E-01	  0.9891612E+00	  0.9998888E+00	  0.9998981E+00	  0.9978583E+00	  0.9917077E+00	  0.9924922E+00	  0.4642526E+00	 -0.1997492E-04	  0.1000073E+01	  0.9985601E+00	  0.4601890E+00	  0.2173020E+01	  0.9996400E+00	 -0.3209205E-01	  0.5507731E-02	  0.1009553E+01
  0.2500000E-01	  0.9900015E+00	  0.9997417E+00	  0.9995395E+00	  0.9982865E+00	  0.9894273E+00	  0.9902724E+00	  0.4642526E+00	 -0.3124961E-04	  0.1000103E+01	  0.9977501E+00	  0.4608955E+00	  0.2169689E+01	  0.9994595E+00	 -0.4011499E-01	  0.8402278E-02	  0.1012735E+01
  0.3000000E-01	  0.9913260E+00	  0.9995330E+00	  0.9989378E+00	  0.9987062E+00	  0.9870661E+00	  0.9879190E+00	  0.4642526E+00	 -0.4506740E-04	  0.1000140E+01	  0.9967601E+00	  0.4617381E+00	  0.2165730E+01	  0.9992389E+00	 -0.4813784E-01	  0.1176783E-01	  0.1015956E+01
  0.3500000E-01	  0.9930722E+00	  0.9992627E+00	  0.9981330E+00	  0.9991119E+00	  0.9846252E+00	  0.9854342E+00	  0.4642526E+00	 -0.6145047E-04	  0.1000184E+01	  0.9955899E+00	  0.4627067E+00	  0.2161196E+01	  0.9989781E+00	 -0.5616052E-01	  0.1550204E-01	  0.1019255E+01
  0.4000000E-01	  0.9948825E+00	  0.9989326E+00	  0.9972959E+00	  0.9994827E+00	  0.9821056E+00	  0.9828196E+00	  0.4642526E+00	 -0.8042465E-04	  0.1000234E+01	  0.9942397E+00	  0.4637875E+00	  0.2156160E+01	  0.9986773E+00	 -0.6418296E-01	  0.1947478E-01	  0.1022805E+01
  0.4500000E-01	  0.9964125E+00	  0.9985429E+00	  0.9965677E+00	  0.9997886E+00	  0.9795082E+00	  0.9800772E+00	  0.4642526E+00	 -0.1020192E-03	  0.1000292E+01	  0.9927094E+00	  0.4649647E+00	  0.2150701E+01	  0.9983363E+00	 -0.7220503E-01	  0.2354263E-01	  0.1026751E+01
  0.5000000E-01	  0.9976658E+00	  0.9980875E+00	  0.9958399E+00	  0.9999759E+00	  0.9768344E+00	  0.9772089E+00	  0.4642526E+00	 -0.1262668E-03	  0.1000355E+01	  0.9909990E+00	  0.4662200E+00	  0.2144910E+01	  0.9979552E+00	 -0.8022657E-01	  0.2755329E-01	  0.1030992E+01
  0.5500000E-01	  0.9987099E+00	  0.9975620E+00	  0.9949882E+00	  0.1000000E+01	  0.9740853E+00	  0.9742165E+00	  0.4642526E+00	 -0.1532028E-03	  0.1000426E+01	  0.9891087E+00	  0.4675339E+00	  0.2138882E+01	  0.9975340E+00	 -0.8824739E-01	  0.3137390E-01	  0.1035405E+01
  0.6000000E-01	  0.9995213E+00	  0.9969756E+00	  0.9940741E+00	  0.9998746E+00	  0.9712612E+00	  0.9711020E+00	  0.4642526E+00	 -0.1828655E-03	  0.1000503E+01	  0.9870384E+00	  0.4688870E+00	  0.2132710E+01	  0.9970727E+00	 -0.9626726E-01	  0.3487385E-01	  0.1040046E+01
  0.6500000E-01	  0.1000000E+01	  0.9963371E+00	  0.9931831E+00	  0.9996295E+00	  0.9683625E+00	  0.9678671E+00	  0.4642526E+00	 -0.2152953E-03	  0.1000587E+01	  0.9847885E+00	  0.4702592E+00	  0.2126487E+01	  0.9965714E+00	 -0.1042859E+00	  0.3790238E-01	  0.1044997E+01
  0.7000000E-01	  0.9998306E+00	  0.9956412E+00	  0.9923083E+00	  0.9992995E+00	  0.9653909E+00	  0.9645137E+00	  0.4642526E+00	 -0.2505347E-03	  0.1000678E+01	  0.9823591E+00	  0.4716291E+00	  0.2120310E+01	  0.9960299E+00	 -0.1123030E+00	  0.4030947E-01	  0.1050260E+01
  0.7500000E-01	  0.9987273E+00	  0.9948817E+00	  0.9914695E+00	  0.9989125E+00	  0.9623484E+00	  0.9610433E+00	  0.4642526E+00	 -0.2886277E-03	  0.1000775E+01	  0.9797505E+00	  0.4729751E+00	  0.2114276E+01	  0.9954483E+00	 -0.1203181E+00	  0.4199600E-01	  0.1055867E+01
  0.8000000E-01	  0.9967380E+00	  0.9940623E+00	  0.9908833E+00	  0.9984620E+00	  0.9592354E+00	  0.9574573E+00	  0.4642526E+00	 -0.3296192E-03	  0.1000879E+01	  0.9769632E+00	  0.4742776E+00	  0.2108470E+01	  0.9948267E+00	 -0.1283308E+00	  0.4290152E-01	  0.1062051E+01
  0.8500000E-01	  0.9940233E+00	  0.9931883E+00	  0.9906766E+00	  0.9979323E+00	  0.9560521E+00	  0.9537572E+00	  0.4642526E+00	 -0.3735546E-03	  0.1000989E+01	  0.9739977E+00	  0.4755185E+00	  0.2102968E+01	  0.9941650E+00	 -0.1363406E+00	  0.4303933E-01	  0.1068954E+01
  0.9000000E-01	  0.9908621E+00	  0.9922610E+00	  0.9904187E+00	  0.9973028E+00	  0.9527996E+00	  0.9499458E+00	  0.4642526E+00	 -0.4204791E-03	  0.1001106E+01	  0.9708547E+00	  0.4766853E+00	  0.2097820E+01	  0.9934633E+00	 -0.1443469E+00	  0.4247034E-01	  0.1076119E+01
  0.9500000E-01	  0.9875352E+00	  0.9912793E+00	  0.9897222E+00	  0.9965577E+00	  0.9494792E+00	  0.9460257E+00	  0.4642526E+00	 -0.4704371E-03	  0.1001229E+01	  0.9675349E+00	  0.4777680E+00	  0.2093066E+01	  0.9927216E+00	 -0.1523490E+00	  0.4129520E-01	  0.1083125E+01
  0.1000000E+00	  0.9842131E+00	  0.9902373E+00	  0.9889317E+00	  0.9957051E+00	  0.9460922E+00	  0.9419979E+00	  0.4642526E+00	 -0.5234713E-03	  0.1001359E+01	  0.9640394E+00	  0.4787621E+00	  0.2088720E+01	  0.9919398E+00	 -0.1603460E+00	  0.3968828E-01	  0.1090355E+01
  0.1050000E+00	  0.9809839E+00	  0.9891309E+00	  0.9884080E+00	  0.9947582E+00	  0.9426399E+00	  0.9378636E+00	  0.4642526E+00	 -0.5796221E-03	  0.1001495E+01	  0.9603692E+00	  0.4796681E+00	  0.2084775E+01	  0.9911181E+00	 -0.1683322E+00	  0.3801961E-01	  0.1098218E+01
  0.1100000E+00	  0.9777186E+00	  0.9879690E+00	  0.9878474E+00	  0.9937250E+00	  0.9391231E+00	  0.9336250E+00	  0.4642526E+00	 -0.6389241E-03	  0.1001637E+01	  0.9565259E+00	  0.4804990E+00	  0.2081170E+01	  0.9902565E+00	 -0.1762969E+00	  0.3676102E-01	  0.1106378E+01
  0.1150000E+00	  0.9742856E+00	  0.9867602E+00	  0.9869366E+00	  0.9926125E+00	  0.9355426E+00	  0.9292847E+00	  0.4642526E+00	 -0.7014042E-03	  0.1001785E+01	  0.9525112E+00	  0.4812739E+00	  0.2077819E+01	  0.9893551E+00	 -0.1842311E+00	  0.3641595E-01	  0.1114474E+01
  0.1200000E+00	  0.9707603E+00	  0.9855005E+00	  0.9859887E+00	  0.9914276E+00	  0.9318991E+00	  0.9248438E+00	  0.4642526E+00	 -0.7670802E-03	  0.1001940E+01	  0.9483273E+00	  0.4820230E+00	  0.2074590E+01	  0.9884142E+00	 -0.1921279E+00	  0.3731585E-01	  0.1122867E+01
  0.1250000E+00	  0.9672526E+00	  0.9841838E+00	  0.9853035E+00	  0.9901810E+00	  0.9281935E+00	  0.9203033E+00	  0.4642526E+00	 -0.8359590E-03	  0.1002100E+01	  0.9439764E+00	  0.4827728E+00	  0.2071368E+01	  0.9874338E+00	 -0.1999801E+00	  0.3886322E-01	  0.1131913E+01
  0.1300000E+00	  0.9638020E+00	  0.9828096E+00	  0.9845017E+00	  0.9889012E+00	  0.9244271E+00	  0.9156655E+00	  0.4642526E+00	 -0.9080338E-03	  0.1002265E+01	  0.9394615E+00	  0.4835239E+00	  0.2068150E+01	  0.9864144E+00	 -0.2077793E+00	  0.4024614E-01	  0.1141189E+01
  0.1350000E+00	  0.9604104E+00	  0.9813792E+00	  0.9832317E+00	  0.9876186E+00	  0.9206013E+00	  0.9109328E+00	  0.4642526E+00	 -0.9832815E-03	  0.1002436E+01	  0.9347856E+00	  0.4842697E+00	  0.2064965E+01	  0.9853561E+00	 -0.2155166E+00	  0.4118584E-01	  0.1150284E+01
