theta	phi(  2)	phi(  4)	phi(  6)	phi(  9)	phi( 13)	phi( 18)	phi( 24)	phi( 30)	phi( 37)	phi( 45)	phi( 54)	phi( 64)	phi( 74)	phi( 85)	phi( 97)
   0.00	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000
   3.60	  90.00051	  90.00422	  90.00970	  90.01984	  90.03396	  90.05044	  90.06871	  90.08504	  90.10241	  90.12043	  90.14551	  90.19019	  90.26094	  90.39125	  91.03407
   7.20	  90.00101	  90.00837	  90.01928	  90.03940	  90.06743	  90.10016	  90.13650	  90.16899	  90.20358	  90.23945	  90.28921	  90.37750	  90.51726	  90.77569	  92.24651
  10.80	  90.00150	  90.01242	  90.02859	  90.05841	  90.09995	  90.14849	  90.20246	  90.25081	  90.30240	  90.35602	  90.43033	  90.56205	  90.77047	  91.15159	  93.25165
  14.40	  90.00196	  90.01631	  90.03751	  90.07660	  90.13105	  90.19475	  90.26571	  90.32949	  90.39776	  90.46904	  90.56775	  90.74183	  91.01450	  91.50052	  93.65094
  18.00	  90.00240	  90.01998	  90.04593	  90.09373	  90.16030	  90.23830	  90.32540	  90.40396	  90.48838	  90.57697	  90.69933	  90.91298	  91.24216	  91.79589	  93.43925
  21.60	  90.00281	  90.02339	  90.05375	  90.10958	  90.18732	  90.27856	  90.38068	  90.47313	  90.57288	  90.67805	  90.82266	  91.07148	  91.44249	  92.02853	  93.09816
  25.20	  90.00318	  90.02650	  90.06086	  90.12394	  90.21178	  90.31501	  90.43081	  90.53600	  90.64989	  90.77049	  90.93513	  91.21206	  91.60803	  92.20331	  93.08747
  28.80	  90.00350	  90.02928	  90.06719	  90.13669	  90.23343	  90.34726	  90.47516	  90.59170	  90.71822	  90.85259	  91.03412	  91.33093	  91.74009	  92.31926	  93.38763
  32.40	  90.00379	  90.03170	  90.07269	  90.14770	  90.25209	  90.37499	  90.51328	  90.63957	  90.77693	  90.92303	  91.11789	  91.42763	  91.83958	  92.37997	  93.48140
  36.00	  90.00402	  90.03374	  90.07732	  90.15693	  90.26764	  90.39805	  90.54491	  90.67924	  90.82550	  90.98114	  91.18597	  91.50274	  91.90573	  92.39580	  93.04711
  39.60	  90.00420	  90.03539	  90.08108	  90.16435	  90.28006	  90.41641	  90.56999	  90.71062	  90.86380	  91.02681	  91.23851	  91.55626	  91.94009	  92.37717	  92.44557
  43.20	  90.00433	  90.03666	  90.08395	  90.16997	  90.28941	  90.43015	  90.58863	  90.73383	  90.89198	  91.06023	  91.27572	  91.58836	  91.94653	  92.33272	  92.33338
  46.80	  90.00441	  90.03754	  90.08597	  90.17387	  90.29580	  90.43946	  90.60110	  90.74919	  90.91041	  91.08176	  91.29792	  91.60024	  91.92932	  92.26946	  92.81394
  50.40	  90.00443	  90.03805	  90.08716	  90.17613	  90.29942	  90.44458	  90.60775	  90.75714	  90.91960	  91.09192	  91.30577	  91.59384	  91.89260	  92.19271	  93.18237
  54.00	  90.00441	  90.03820	  90.08757	  90.17686	  90.30046	  90.44586	  90.60904	  90.75825	  90.92019	  91.09145	  91.30032	  91.57141	  91.84028	  92.10616	  92.68579
