r	   0/   0	   0/   1	   1/  -1	   1/   0	   1/   1	   2/  -1	   2/   0	   2/   1	   3/  -1	   3/   0	   3/   1	   4/  -1	   4/   0	   4/   1	   5/  -1	   5/   0	   5/   1	   6/  -1	   6/   0	   6/   1	   7/  -1	   7/   0	   7/   1	   8/  -1	   8/   0	   8/   1	   9/  -1	   9/   0	   9/   1	  10/  -1	  10/   0	  10/   1	  11/  -1	  11/   0	  11/   1	  12/  -1	  12/   0	  12/   1	  13/  -1	  13/   0	  13/   1	  14/  -1	  14/   0	  14/   1	  15/  -1	  15/   0	  15/   1	  16/  -1	  16/   0	  16/   1	  17/  -1	  17/   0	  17/   1	  18/  -1	  18/   0	  18/   1	  19/  -1	  19/   0	  19/   1
0.07217	 0.000000E+00	 8.461915E-15	 4.904137E-15	 5.172304E-02	-6.989699E-15	-7.811322E-16	 2.154385E-03	-4.409110E-16	-2.645892E-17	 1.432219E-04	-3.691755E-16	 2.774027E-16	 2.004092E-05	-6.819773E-16	-1.867040E-16	 1.066262E-08	-4.396759E-17	 2.597254E-16	 2.328774E-06	-4.889905E-17	 2.707449E-16	-2.010983E-06	 5.551667E-16	 5.204880E-16	 1.533353E-06	-9.441320E-16	 3.061311E-16	 1.534566E-06	-3.919906E-16	-6.517911E-17	-3.114537E-06	 5.381603E-16	-3.322341E-17	 1.073642E-06	 1.141797E-16	-4.880721E-17	 1.231146E-07	 8.287590E-18	 2.042193E-16	-1.157850E-06	-3.808051E-16	-3.297816E-16	 1.243988E-07	 4.427430E-16	 6.543164E-17	 8.974761E-08	-1.019493E-16	-1.359838E-17	 1.868168E-07	 1.810548E-16	-2.339311E-16	 7.475209E-08	 8.099925E-16	 1.485246E-16	 4.516567E-09	-1.171551E-16	 1.272043E-16	 7.299813E-09	-3.278681E-16
0.12500	 0.000000E+00	 8.985553E-15	 3.176036E-15	 8.908150E-02	-3.476617E-15	-1.327101E-15	 6.569601E-03	 1.677869E-18	-1.702061E-16	 6.807939E-04	-1.344127E-15	 9.832735E-16	 1.235300E-04	-1.025371E-15	 1.034780E-16	 1.704097E-06	-3.186110E-16	-5.668636E-16	 6.755393E-06	-2.242678E-16	 8.026825E-16	 5.246098E-06	 5.286386E-16	 4.374177E-16	-1.102380E-05	-2.478689E-18	 1.064422E-15	 1.539742E-06	-7.851125E-16	 3.379845E-16	-6.665803E-08	 8.023988E-16	-1.431065E-16	-1.827547E-06	 1.673302E-16	-4.290971E-16	 6.790101E-07	 7.724061E-17	 2.832666E-16	 1.850957E-07	-3.736303E-16	 7.511933E-17	 5.333692E-07	 5.628597E-17	-6.308718E-16	-5.807962E-07	 3.269461E-16	-1.465666E-16	-1.895541E-07	-5.881698E-16	 6.949521E-18	 1.510349E-07	 3.276416E-16	 2.686058E-16	 3.276923E-08	 3.867781E-16	 2.579950E-16	-2.928919E-08	-1.426655E-16
0.16137	 0.000000E+00	 6.634819E-15	-4.353859E-15	 1.143090E-01	 6.452176E-15	-2.638417E-15	 1.110538E-02	 7.271612E-18	-7.962971E-16	 1.393015E-03	-1.569513E-15	 8.336488E-16	 2.867569E-04	-3.120063E-16	 9.347062E-16	 1.777045E-05	 6.272166E-17	-1.023440E-15	 4.018571E-06	-2.741246E-16	 7.408006E-17	 3.307675E-05	-9.411971E-16	-1.158709E-16	-1.953374E-05	 8.686743E-16	 7.679461E-16	-1.976636E-05	 2.944197E-16	 3.800354E-16	 1.181507E-05	 1.873925E-16	 4.587199E-16	 6.264234E-06	-6.501685E-17	-1.123762E-16	-6.019855E-06	-1.820565E-16	-4.322157E-16	-2.341500E-06	 5.207840E-16	 2.156485E-16	 2.861967E-06	 2.637369E-16	 2.026884E-17	 6.667386E-07	-1.165736E-16	-9.907411E-16	-6.383466E-07	-9.498350E-17	-3.625013E-16	-2.487719E-07	-4.017925E-16	 2.645122E-16	-4.932471E-08	-1.853046E-16	 3.043172E-16	-1.441345E-07	 3.801295E-17
0.19094	 0.000000E+00	 2.746983E-15	-5.287841E-15	 1.344532E-01	 7.655531E-15	-2.682583E-15	 1.551303E-02	-1.133779E-15	-1.050744E-15	 2.272860E-03	-1.374979E-15	-3.597076E-16	 4.835564E-04	 3.803989E-16	 8.204375E-16	 5.670092E-05	 1.534126E-15	-4.278027E-16	-3.292758E-06	-6.661744E-16	-1.330332E-15	 4.959634E-05	-5.729284E-16	-3.250491E-16	-5.356056E-06	-7.042072E-17	 8.735649E-16	-3.871030E-05	 7.402630E-16	 4.429099E-17	 6.539859E-06	-6.128643E-17	 7.004446E-16	 1.886075E-05	-3.448641E-16	 1.564752E-16	-4.917939E-06	 4.659133E-16	 6.223671E-16	-7.597291E-06	-1.667466E-16	-7.596106E-16	 9.046374E-07	 1.380701E-15	-2.472548E-16	 1.869292E-06	-2.980125E-16	-2.157154E-16	 3.132799E-07	-5.769474E-16	-2.484053E-16	-6.508456E-08	-1.485317E-16	-1.114472E-16	 7.675915E-08	 1.611409E-16	 1.187352E-16	-8.437777E-08	 2.526804E-16
0.21651	 0.000000E+00	 1.283713E-15	 4.166878E-15	 1.515933E-01	-1.339211E-15	 9.317631E-16	 1.974658E-02	-3.322352E-15	 3.641095E-16	 3.240463E-03	-1.461704E-15	-4.564781E-16	 7.216583E-04	 6.309588E-16	 6.519764E-16	 1.186025E-04	 1.999361E-15	-5.195196E-16	-4.757644E-06	 4.861478E-17	-1.033799E-15	 5.234766E-05	-3.059651E-16	-1.143863E-15	 1.144944E-05	 4.179801E-16	 6.969983E-16	-4.168993E-05	 3.863671E-16	 4.933573E-16	-4.136543E-06	 1.410086E-17	 5.903482E-16	 2.085627E-05	 6.532590E-16	-2.049936E-16	 6.366360E-07	 4.404247E-16	 5.159902E-16	-7.559568E-06	 1.133155E-17	 1.265863E-16	-1.666269E-06	 4.029614E-16	-7.832913E-16	 1.128437E-06	 7.544701E-16	-2.497395E-16	 5.627816E-07	-3.685328E-16	 6.234681E-17	 5.728660E-08	-4.755133E-16	 1.707474E-16	 2.041080E-07	-7.533277E-17	 2.929811E-16	 1.228874E-07	 7.667131E-17
0.23936	 0.000000E+00	 3.302118E-15	 1.442815E-14	 1.666985E-01	-1.128187E-14	 4.645816E-15	 2.375043E-02	-5.048906E-15	 2.170278E-15	 4.238704E-03	-1.897955E-15	 1.206700E-15	 9.864557E-04	-3.832611E-16	 9.492783E-16	 1.976041E-04	 1.108158E-15	-3.806603E-16	 4.409614E-06	 3.908377E-16	-1.165521E-16	 4.953138E-05	-6.123688E-16	-1.827264E-15	 2.472003E-05	 8.121254E-16	 2.000865E-16	-3.653143E-05	 3.264051E-16	 5.628007E-16	-1.281372E-05	-3.305433E-16	 5.169525E-16	 1.804213E-05	 1.250154E-15	-4.440791E-16	 5.062102E-06	 3.596949E-16	-7.626035E-16	-5.670583E-06	 8.645005E-16	-5.498147E-18	-3.065971E-06	-3.082805E-16	-1.025850E-16	 2.471185E-07	 6.479186E-16	 9.249034E-17	 4.924918E-07	 3.676097E-16	-7.552280E-17	 1.584743E-08	-1.453065E-16	-3.654622E-17	 1.524338E-07	-2.799724E-16	 2.266106E-16	 2.151619E-07	-2.327583E-16
0.26021	 0.000000E+00	 5.285683E-15	 2.213510E-14	 1.803250E-01	-2.051334E-14	 7.752830E-15	 2.748583E-02	-5.545918E-15	 3.154515E-15	 5.223982E-03	-2.677671E-15	 1.721074E-15	 1.263601E-03	-1.036677E-15	 6.339827E-16	 2.873059E-04	 8.122710E-16	 2.713366E-16	 2.374598E-05	 1.469483E-16	-1.405275E-16	 4.593078E-05	-1.653276E-17	-1.508481E-15	 3.338500E-05	-6.586712E-16	 3.099119E-17	-2.771461E-05	 4.570396E-16	 3.930461E-16	-1.749587E-05	 1.912846E-16	 9.514893E-16	 1.324022E-05	-1.992510E-16	-2.627933E-16	 7.205942E-06	 7.009160E-16	-9.450595E-16	-3.167088E-06	 5.495215E-16	-2.579826E-16	-3.292053E-06	 2.229061E-16	-4.444244E-16	-5.576903E-07	 3.047108E-16	 9.773945E-17	 2.384761E-07	 6.469293E-17	 1.964959E-16	-2.761592E-08	 3.426669E-17	-6.174774E-17	 8.565260E-08	 5.429207E-18	-1.166007E-16	 2.249502E-07	-1.082332E-16
0.27951	 0.000000E+00	 4.783521E-15	 1.584187E-14	 1.928290E-01	-1.421709E-14	 7.556406E-15	 3.093700E-02	-3.104356E-15	 2.979335E-15	 6.166887E-03	-1.169099E-15	 1.092087E-15	 1.541175E-03	 4.185613E-17	 1.046415E-16	 3.821352E-04	 1.861148E-15	 3.285799E-16	 5.122421E-05	 1.413703E-15	-9.903025E-16	 4.422112E-05	 1.301529E-15	-7.675506E-16	 3.808228E-05	-1.112353E-15	-1.177552E-16	-1.826449E-05	 5.325695E-16	-6.392766E-17	-1.843400E-05	 1.025332E-15	 9.816438E-16	 8.580395E-06	-1.406958E-16	 6.301945E-16	 7.401601E-06	-8.333788E-17	-4.863396E-16	-1.110803E-06	 1.853411E-16	 1.799647E-16	-2.780474E-06	 1.776240E-16	-2.973705E-16	-9.670261E-07	 4.723862E-16	-2.573805E-16	-3.247001E-08	 4.884053E-16	 1.584773E-16	-1.107328E-07	 3.292745E-16	 2.362065E-16	 8.810420E-09	 7.579540E-17	-1.830854E-17	 1.984038E-07	-9.043438E-17
0.29756	 0.000000E+00	 4.559223E-15	-5.154822E-15	 2.044538E-01	 6.466463E-15	 3.625365E-16	 3.410852E-02	 2.424126E-15	 1.338248E-16	 7.051728E-03	 1.484517E-15	-6.634450E-17	 1.811391E-03	 7.698529E-16	-3.449307E-16	 4.780544E-04	 2.488753E-15	-7.251861E-17	 8.440707E-05	 2.346977E-15	-1.462897E-15	 4.555998E-05	 8.495397E-16	-6.522348E-16	 4.010547E-05	-1.114606E-15	-2.670187E-16	-9.774364E-06	-1.529439E-16	-3.691179E-16	-1.679415E-05	 1.222901E-15	 4.667135E-16	 5.040833E-06	 1.101317E-15	 8.638854E-16	 6.498936E-06	-4.245978E-16	 5.022633E-17	 1.681997E-07	-9.093830E-18	 5.042662E-17	-2.037068E-06	-2.949998E-16	-2.823127E-16	-1.021375E-06	 2.296766E-16	-1.890048E-16	-1.933743E-07	 8.595576E-16	 1.173863E-16	-1.813872E-07	 7.806480E-16	 2.528836E-16	-6.569586E-08	 1.822717E-16	 1.885507E-16	 1.465512E-07	-2.558384E-16
0.31458	 0.000000E+00	 3.154276E-15	-1.298668E-14	 2.153721E-01	 1.266785E-14	-4.196620E-15	 3.701770E-02	 2.973311E-15	-2.020980E-15	 7.872951E-03	 6.507909E-16	-1.927140E-15	 2.070232E-03	 1.709773E-16	-1.123991E-15	 5.726404E-04	 1.683230E-15	-4.081790E-17	 1.211083E-04	 1.728289E-15	-1.058580E-15	 5.008525E-05	-4.914375E-16	-7.622917E-17	 4.070290E-05	-2.694313E-15	-4.889572E-16	-2.783638E-06	-8.329165E-16	-3.391897E-16	-1.374860E-05	 4.830374E-16	 1.187275E-16	 2.782838E-06	 1.141147E-15	 8.759517E-16	 5.203615E-06	 9.683951E-17	 5.945240E-16	 7.691515E-07	-2.452813E-16	 2.173134E-16	-1.355977E-06	-5.347600E-16	-4.475218E-16	-8.720470E-07	-2.403387E-16	-2.869681E-16	-2.314865E-07	 2.952206E-16	 5.782123E-18	-2.070817E-07	 4.504016E-16	 5.395067E-17	-1.171687E-07	 1.353237E-16	-1.082132E-17	 8.827654E-08	-2.485426E-16
