R(  2)	Z(  2)	R(  4)	Z(  4)	R(  6)	Z(  6)	R(  9)	Z(  9)	R( 13)	Z( 13)	R( 18)	Z( 18)	R( 24)	Z( 24)	R( 30)	Z( 30)	R( 37)	Z( 37)	R( 45)	Z( 45)	R( 54)	Z( 54)	R( 64)	Z( 64)	R( 74)	Z( 74)	R( 85)	Z( 85)	R( 97)	Z( 97)
 4.504712E+00	 1.558226E-14	 4.597794E+00	 3.736619E-15	 4.657106E+00	 6.313519E-15	 4.722456E+00	 3.048767E-15	 4.788977E+00	 9.086585E-15	 4.855854E+00	-6.924826E-16	 4.923008E+00	 2.402817E-15	 4.981250E+00	 4.043080E-15	 5.041467E+00	 4.998598E-15	 5.102859E+00	 1.069084E-14	 5.164167E+00	 1.720458E-15	 5.222505E+00	 9.476482E-16	 5.270342E+00	 8.377714E-16	 5.312651E+00	 2.570118E-15	 5.348651E+00	 0.000000E+00
 4.504402E+00	 1.619639E-02	 4.597211E+00	 2.772711E-02	 4.656319E+00	 3.532912E-02	 4.721417E+00	 4.392577E-02	 4.787656E+00	 5.278074E-02	 4.854232E+00	 6.164480E-02	 4.921066E+00	 7.044701E-02	 4.979015E+00	 7.798910E-02	 5.038914E+00	 8.570140E-02	 5.099959E+00	 9.348843E-02	 5.160889E+00	 1.013232E-01	 5.218799E+00	 1.093080E-01	 5.266184E+00	 1.170598E-01	 5.307955E+00	 1.257891E-01	 5.343264E+00	 1.371691E-01
 4.503470E+00	 3.233336E-02	 4.595464E+00	 5.535350E-02	 4.653964E+00	 7.053095E-02	 4.718307E+00	 8.769794E-02	 4.783707E+00	 1.053841E-01	 4.849385E+00	 1.230911E-01	 4.915268E+00	 1.406778E-01	 4.972349E+00	 1.557505E-01	 5.031303E+00	 1.711682E-01	 5.091327E+00	 1.867419E-01	 5.151143E+00	 2.024215E-01	 5.207804E+00	 2.184208E-01	 5.253859E+00	 2.339620E-01	 5.294022E+00	 2.514723E-01	 5.327190E+00	 2.739803E-01
 4.501919E+00	 4.835120E-02	 4.592564E+00	 8.277706E-02	 4.650057E+00	 1.054778E-01	 4.713155E+00	 1.311614E-01	 4.777169E+00	 1.576294E-01	 4.841369E+00	 1.841361E-01	 4.905690E+00	 2.104709E-01	 4.961354E+00	 2.330493E-01	 5.018773E+00	 2.561541E-01	 5.077146E+00	 2.795054E-01	 5.135177E+00	 3.030327E-01	 5.189843E+00	 3.270676E-01	 5.233757E+00	 3.504211E-01	 5.271279E+00	 3.767332E-01	 5.300784E+00	 4.100967E-01
 4.499754E+00	 6.419023E-02	 4.588524E+00	 1.098949E-01	 4.644624E+00	 1.400419E-01	 4.705998E+00	 1.741601E-01	 4.768102E+00	 2.093339E-01	 4.830269E+00	 2.445738E-01	 4.892454E+00	 2.796007E-01	 4.946187E+00	 3.096446E-01	 5.001526E+00	 3.404030E-01	 5.057679E+00	 3.715060E-01	 5.113326E+00	 4.028615E-01	 5.165345E+00	 4.349097E-01	 5.206408E+00	 4.660413E-01	 5.240375E+00	 5.010856E-01	 5.264854E+00	 5.452435E-01
 4.496983E+00	 7.979135E-02	 4.583365E+00	 1.366050E-01	 4.637692E+00	 1.740952E-01	 4.696887E+00	 2.165383E-01	 4.756584E+00	 2.603158E-01	 4.816201E+00	 3.041992E-01	 4.875716E+00	 3.478415E-01	 4.927049E+00	 3.852948E-01	 4.979818E+00	 4.236586E-01	 5.033246E+00	 4.624727E-01	 5.085988E+00	 5.016183E-01	 5.134801E+00	 5.416266E-01	 5.172432E+00	 5.804669E-01	 5.202166E+00	 6.241348E-01	 5.220737E+00	 6.792479E-01
 4.493619E+00	 9.509571E-02	 4.577108E+00	 1.628064E-01	 4.629300E+00	 2.075092E-01	 4.685887E+00	 2.581409E-01	 4.742716E+00	 3.103947E-01	 4.799302E+00	 3.628077E-01	 4.855663E+00	 4.149670E-01	 4.904177E+00	 4.597582E-01	 4.953949E+00	 5.056676E-01	 5.004223E+00	 5.521462E-01	 5.053628E+00	 5.990472E-01	 5.098797E+00	 6.469832E-01	 5.132593E+00	 6.935029E-01	 5.157723E+00	 7.457722E-01	 5.170108E+00	 8.120179E-01
 4.489676E+00	 1.100432E-01	 4.569783E+00	 1.883971E-01	 4.619501E+00	 2.401539E-01	 4.673083E+00	 2.988107E-01	 4.726620E+00	 3.593861E-01	 4.779742E+00	 4.201878E-01	 4.832517E+00	 4.807410E-01	 4.877852E+00	 5.327818E-01	 4.924271E+00	 5.861661E-01	 4.971051E+00	 6.402633E-01	 5.016807E+00	 6.949041E-01	 5.058054E+00	 7.507937E-01	 5.087823E+00	 8.050548E-01	 5.108249E+00	 8.660457E-01	 5.114514E+00	 9.434110E-01
 4.485169E+00	 1.245709E-01	 4.561432E+00	 2.132726E-01	 4.608365E+00	 2.718976E-01	 4.658582E+00	 3.383861E-01	 4.708442E+00	 4.070966E-01	 4.757713E+00	 4.761144E-01	 4.806530E+00	 5.449101E-01	 4.848386E+00	 6.040911E-01	 4.891174E+00	 6.648639E-01	 4.934221E+00	 7.265263E-01	 4.976146E+00	 7.889002E-01	 5.013368E+00	 8.528030E-01	 5.039084E+00	 9.149127E-01	 5.054815E+00	 9.847767E-01	 5.054858E+00	 1.073021E+00
 4.480111E+00	 1.386147E-01	 4.552106E+00	 2.373280E-01	 4.595980E+00	 3.026102E-01	 4.642507E+00	 3.767042E-01	 4.688348E+00	 4.533276E-01	 4.733427E+00	 5.303550E-01	 4.777972E+00	 6.072100E-01	 4.816107E+00	 6.733961E-01	 4.855054E+00	 7.414452E-01	 4.894210E+00	 8.105934E-01	 4.932220E+00	 8.806643E-01	 4.965408E+00	 9.525905E-01	 4.987080E+00	 1.022573E+00	 4.997986E+00	 1.101276E+00	 4.991106E+00	 1.200004E+00
