r	   0/   0	   0/   1	   1/  -1	   1/   0	   1/   1	   2/  -1	   2/   0	   2/   1	   3/  -1	   3/   0	   3/   1	   4/  -1	   4/   0	   4/   1	   5/  -1	   5/   0	   5/   1	   6/  -1	   6/   0	   6/   1	   7/  -1	   7/   0	   7/   1	   8/  -1	   8/   0	   8/   1	   9/  -1	   9/   0	   9/   1	  10/  -1	  10/   0	  10/   1	  11/  -1	  11/   0	  11/   1	  12/  -1	  12/   0	  12/   1	  13/  -1	  13/   0	  13/   1	  14/  -1	  14/   0	  14/   1	  15/  -1	  15/   0	  15/   1	  16/  -1	  16/   0	  16/   1	  17/  -1	  17/   0	  17/   1	  18/  -1	  18/   0	  18/   1	  19/  -1	  19/   0	  19/   1
0.07217	-1.465796E+00	 2.602974E-14	 3.771303E-14	 9.425507E-02	 3.010916E-14	-2.788625E-14	 7.268081E-03	-5.463311E-14	-1.103282E-14	 7.244503E-04	 1.300051E-14	 5.805637E-15	-5.087659E-05	-2.649026E-15	-7.486942E-14	 5.337932E-05	 5.629898E-14	 3.264954E-14	-2.766424E-05	 3.071586E-14	-6.378968E-14	-5.593113E-06	 2.698771E-14	 5.130543E-14	-1.823768E-05	-3.249667E-15	 1.296565E-14	-4.411537E-06	-4.855828E-14	 5.059231E-14	 1.616186E-05	 1.592702E-15	-7.148854E-14	-7.049253E-06	 4.394587E-14	 2.655360E-14	-6.445643E-06	-5.805184E-14	 5.252775E-14	 7.602092E-06	-4.576645E-14	 3.140188E-14	 2.238219E-06	 7.699466E-15	-4.795833E-14	-3.864662E-07	-1.369659E-15	-1.036101E-14	-1.491375E-06	 4.175414E-14	-2.242927E-14	 1.906357E-07	-2.371040E-14	-6.859581E-15	-2.029852E-06	 2.349435E-17	-1.431389E-14	 2.645985E-06	 1.016046E-14
0.12500	-1.484699E+00	-6.493499E-15	 1.478936E-13	 1.371216E-01	-6.062010E-14	-5.490713E-14	 1.445254E-02	-6.938426E-14	-8.672178E-16	 1.630988E-03	-8.535412E-14	-2.283643E-14	 6.247058E-05	 4.073044E-15	-5.888128E-14	 1.719247E-04	 3.241897E-14	-1.169089E-14	-3.101317E-05	 3.681602E-14	-6.163550E-14	-3.881581E-05	 1.791590E-14	-2.301655E-14	-3.233314E-05	 6.624077E-14	 9.563351E-14	 1.216093E-05	-1.803363E-13	 3.225221E-14	 1.484786E-05	-9.365568E-15	-1.380013E-13	-1.977311E-05	 6.974028E-14	 1.005552E-13	-5.921769E-06	-1.077150E-13	 3.099304E-14	 9.241657E-06	-3.504635E-14	 8.747452E-14	 6.165168E-07	-6.739330E-14	 9.889738E-15	 5.443252E-07	-3.293201E-15	-2.124380E-14	-2.629202E-07	 6.372166E-14	-1.633648E-14	 3.198391E-06	 3.690156E-14	 1.618323E-14	-5.649791E-06	-1.120435E-15	-1.476950E-14	 4.947335E-06	 1.764456E-14
0.16137	-1.503810E+00	-3.843015E-15	 1.329946E-13	 1.690642E-01	-3.508113E-14	 2.182440E-15	 2.159143E-02	-9.090377E-14	-6.870945E-16	 2.786812E-03	-7.031389E-14	 9.547611E-15	 2.961747E-04	 6.072828E-15	-9.108735E-14	 3.031233E-04	-4.043899E-14	-1.586175E-14	 1.209425E-05	-7.989529E-14	 3.100563E-15	-6.610177E-05	-7.261903E-14	-6.017900E-14	-3.505262E-05	 3.044261E-14	 9.949395E-14	 2.998517E-05	-7.775999E-14	 9.186343E-14	-4.276181E-06	 2.600609E-14	-1.089213E-13	-2.522143E-05	 7.551720E-14	 3.575440E-14	 4.820935E-06	 1.522372E-14	 3.587518E-14	 4.952766E-06	-3.319505E-14	 5.964447E-14	-5.354346E-06	-5.629476E-14	 5.071232E-14	-1.478840E-07	-2.214764E-14	-3.772002E-14	 2.246952E-06	 2.079756E-14	 9.787852E-15	 2.766291E-06	 4.387738E-14	 2.485848E-14	-3.652923E-06	 1.233330E-14	-3.905067E-14	 4.306668E-06	 2.626430E-14
0.19094	-1.522943E+00	 3.372345E-14	-5.856465E-15	 1.960159E-01	-2.234451E-14	 1.402067E-14	 2.852332E-02	-8.975109E-14	-3.509948E-14	 4.135016E-03	 3.346931E-14	 3.593207E-14	 6.275787E-04	-3.933291E-14	-3.269284E-14	 4.381783E-04	-8.637858E-15	 4.658430E-14	 6.946586E-05	-1.098123E-13	 3.433438E-14	-6.805639E-05	-5.739784E-14	 4.176204E-14	-3.004066E-05	 1.744709E-14	 3.697442E-14	 3.858685E-05	-2.662032E-14	 4.013548E-14	-1.121812E-05	 8.282563E-14	-4.829194E-14	-2.851931E-05	 3.678554E-14	-1.335776E-13	 3.445994E-06	 8.472798E-14	 9.035964E-14	 5.187994E-06	-1.504989E-13	 9.677774E-14	-3.994563E-06	-9.518458E-14	-2.184729E-14	-2.789120E-06	 2.834378E-14	-2.657633E-14	 3.471538E-07	 2.008544E-14	-1.117241E-14	 2.532248E-06	-1.632458E-14	-1.803951E-14	-2.022810E-06	-1.208147E-14	-4.729711E-14	 2.902110E-06	 2.425008E-14
0.21651	-1.541980E+00	-2.138822E-14	-1.096979E-14	 2.199520E-01	-5.232344E-14	 7.267431E-15	 3.519178E-02	-3.893981E-14	-5.872036E-14	 5.597689E-03	 3.296311E-14	 4.147589E-14	 1.041525E-03	-1.515464E-13	 5.699414E-14	 5.838738E-04	 6.655365E-14	 3.604455E-14	 1.337342E-04	-2.510977E-14	 5.804432E-14	-5.477635E-05	 5.828932E-14	 1.154686E-13	-2.449518E-05	-6.336264E-14	 9.419728E-14	 4.615772E-05	-7.258993E-14	-5.759393E-14	-5.821589E-06	-2.261239E-14	-7.906285E-14	-3.140166E-05	 7.159894E-14	-3.512927E-14	-2.894848E-06	 7.132454E-15	-8.950885E-16	 6.783655E-06	-1.171742E-13	 1.290163E-13	-7.956144E-07	-9.767060E-14	-2.686471E-14	-5.379753E-06	 2.885920E-14	-8.130165E-14	-1.078075E-06	 1.339219E-13	-5.815227E-14	 3.815349E-06	 3.780286E-14	 1.600026E-14	-5.009636E-06	-2.839914E-14	 5.756898E-14	 2.598612E-06	-3.776025E-14
0.23936	-1.560803E+00	-8.039059E-15	-9.045861E-15	 2.418727E-01	-7.171150E-16	-4.166461E-14	 4.153705E-02	-7.302212E-15	 6.271854E-14	 7.097338E-03	-5.196926E-14	 5.397972E-14	 1.503841E-03	-4.577083E-14	-1.646608E-14	 7.397578E-04	 2.804426E-15	-2.524644E-15	 2.060157E-04	 5.262104E-14	-3.824104E-14	-2.789190E-05	-5.707928E-14	 3.167138E-14	-1.623293E-05	-1.163128E-13	-3.566764E-15	 5.070556E-05	-2.399502E-14	-5.535683E-14	 2.539766E-06	 5.024358E-14	-4.077313E-14	-3.014063E-05	 9.099176E-14	 1.329780E-14	-7.366348E-06	 1.197382E-14	 1.988336E-14	 6.666062E-06	-5.434258E-14	 7.883428E-14	 2.020938E-06	-4.461906E-14	 1.179582E-13	-6.573772E-06	-3.957715E-14	-4.892337E-14	-1.235849E-06	 6.877824E-14	-6.908781E-14	 3.493642E-06	 2.833825E-14	 2.379133E-14	-6.348622E-06	-6.520203E-14	 9.176439E-14	 9.461208E-07	-1.017059E-13
0.26021	-1.579308E+00	 5.080000E-15	-6.274557E-14	 2.623726E-01	 5.469729E-14	-5.399085E-14	 4.751284E-02	 1.541820E-14	 7.702437E-14	 8.571071E-03	-1.447980E-13	 5.943455E-14	 1.986774E-03	 8.168646E-14	-8.259491E-14	 9.025800E-04	 1.697367E-14	-4.592047E-14	 2.824160E-04	 7.891797E-14	-3.109139E-14	 8.301977E-06	-1.139470E-13	 8.868271E-15	-2.586809E-06	 1.404025E-13	-7.982527E-14	 5.517072E-05	 1.422690E-14	-9.354205E-15	 1.100659E-05	 1.068401E-13	 1.337481E-14	-2.669536E-05	-1.013121E-14	 6.926225E-16	-1.023746E-05	-4.067324E-14	-3.858386E-14	 5.574896E-06	-1.048880E-13	 9.469911E-15	 4.659351E-06	-2.701512E-14	 5.954028E-14	-5.581665E-06	-6.733587E-15	-4.375668E-14	-2.648753E-06	-7.182129E-15	-7.656408E-14	 4.609908E-06	-2.007216E-14	-3.145747E-14	-6.771028E-06	-3.927525E-14	 7.946233E-15	-2.539158E-06	-6.484209E-15
0.27951	-1.597416E+00	-9.110186E-14	-1.702483E-13	 2.818354E-01	 5.351574E-14	 7.089549E-14	 5.309540E-02	-6.139418E-14	-9.322081E-14	 9.972827E-03	 3.720598E-14	 6.568735E-14	 2.467141E-03	 7.820239E-15	-8.696939E-14	 1.068120E-03	 1.483287E-13	-2.065867E-14	 3.606948E-04	 1.697014E-14	 1.792626E-14	 5.060702E-05	 4.776577E-14	-1.481748E-14	 1.634369E-05	 1.924978E-13	 1.084944E-13	 6.088774E-05	-6.352994E-15	-6.374108E-14	 1.908981E-05	-1.322724E-14	 5.061235E-14	-2.178771E-05	-8.568534E-14	 7.701600E-14	-1.150942E-05	 3.536797E-14	-7.257979E-14	 3.802688E-06	-7.319141E-14	-6.462688E-14	 6.688907E-06	 5.489968E-14	-4.941867E-14	-4.148557E-06	 5.631917E-14	-3.431342E-14	-3.068572E-06	 1.894658E-14	 9.638440E-15	 5.467542E-06	 2.612126E-14	 2.756877E-14	-6.209949E-06	 8.824983E-14	 2.185404E-14	-5.498454E-06	 1.307850E-13
0.29756	-1.615077E+00	 5.118550E-14	-4.058572E-14	 3.005169E-01	 3.656058E-15	 1.020073E-13	 5.828241E-02	-4.196935E-14	 4.982652E-14	 1.127452E-02	 4.300855E-14	 2.897091E-14	 2.927995E-03	-1.806523E-14	-6.697662E-14	 1.231949E-03	 9.718436E-14	-1.358442E-14	 4.396635E-04	-4.505916E-14	 6.211667E-14	 9.728289E-05	-3.465186E-14	-3.039662E-14	 3.982233E-05	-1.030143E-14	 1.388573E-13	 6.823880E-05	-1.862080E-14	 1.186756E-14	 2.671001E-05	-7.707988E-14	 3.150807E-14	-1.593043E-05	 3.245583E-14	 7.576251E-14	-1.120566E-05	 1.224961E-14	 2.603419E-15	 1.948437E-06	-2.122000E-14	-2.652481E-15	 7.893104E-06	-4.561281E-15	-1.771220E-14	-2.919779E-06	 1.713982E-14	 1.411657E-14	-2.873642E-06	 1.739941E-14	 6.659273E-14	 6.185527E-06	 5.133284E-15	 9.993673E-14	-5.035529E-06	 5.034086E-15	 7.146926E-14	-7.411558E-06	-1.241937E-14
0.31458	-1.632277E+00	 1.251885E-13	 7.560181E-14	 3.185868E-01	 5.779916E-15	 1.624718E-15	 6.309002E-02	 1.657680E-14	 8.088497E-14	 1.246529E-02	-3.316119E-14	 6.149445E-14	 3.359790E-03	-5.764845E-14	-6.524403E-14	 1.390788E-03	 6.988900E-14	-2.784111E-14	 5.188190E-04	-6.955271E-14	 1.883230E-13	 1.475139E-04	-2.157039E-13	 8.683695E-16	 6.709967E-05	-3.256869E-14	-3.921682E-14	 7.717459E-05	 9.929509E-14	 7.734469E-14	 3.391008E-05	-1.754820E-14	-8.830880E-14	-9.445576E-06	 1.165542E-13	-6.351505E-14	-9.446391E-06	-5.257359E-14	-1.084987E-13	 4.998302E-07	-5.756790E-14	 7.025577E-15	 8.343020E-06	 6.437144E-16	-1.354564E-14	-2.151618E-06	-3.444271E-14	-1.625932E-14	-2.488470E-06	 1.652927E-14	-1.397384E-14	 6.696674E-06	 3.603227E-14	-8.274386E-15	-3.611702E-06	-2.473870E-14	-2.102091E-14	-8.220908E-06	-8.421840E-14
