r	   0/   0	   0/   1	   1/  -1	   1/   0	   1/   1	   2/  -1	   2/   0	   2/   1	   3/  -1	   3/   0	   3/   1	   4/  -1	   4/   0	   4/   1	   5/  -1	   5/   0	   5/   1	   6/  -1	   6/   0	   6/   1	   7/  -1	   7/   0	   7/   1	   8/  -1	   8/   0	   8/   1	   9/  -1	   9/   0	   9/   1	  10/  -1	  10/   0	  10/   1	  11/  -1	  11/   0	  11/   1	  12/  -1	  12/   0	  12/   1	  13/  -1	  13/   0	  13/   1	  14/  -1	  14/   0	  14/   1	  15/  -1	  15/   0	  15/   1	  16/  -1	  16/   0	  16/   1	  17/  -1	  17/   0	  17/   1	  18/  -1	  18/   0	  18/   1	  19/  -1	  19/   0	  19/   1
0.07217	-6.872206E-01	-8.790110E-15	-2.344743E-14	-3.275218E-02	-5.413178E-14	-2.349934E-15	-2.405327E-03	 6.204388E-15	-8.341030E-15	-2.157741E-04	-1.023010E-14	-5.593727E-16	 3.005341E-05	 2.118023E-15	 1.754252E-14	 1.032356E-06	-1.452342E-14	-5.142536E-15	 4.883880E-06	-6.540757E-15	-1.158536E-14	-2.365210E-06	-7.622226E-16	-3.251721E-14	 4.315713E-06	 1.596806E-14	 2.974223E-15	 3.443037E-06	-4.710194E-15	-2.611976E-14	-3.305132E-06	-5.536642E-15	 3.541013E-14	-4.700951E-07	-1.217191E-14	-1.651825E-14	-5.698461E-07	 1.427312E-14	-3.888506E-15	-1.471455E-06	 1.374646E-14	 1.359735E-14	 6.818921E-07	-1.983817E-14	 3.385155E-14	 3.921268E-07	 1.276422E-14	 2.484197E-14	 2.762283E-07	-8.269434E-15	 1.718178E-14	 4.486652E-07	 1.500460E-14	-6.741188E-17	 1.005595E-08	-1.884231E-15	 2.385367E-15	-3.663363E-07	 4.210479E-15
0.12500	-6.800940E-01	-1.884323E-14	-1.181911E-14	-5.570628E-02	 2.731398E-14	 2.666800E-14	-7.279128E-03	 4.213158E-14	 2.020790E-14	-9.907353E-04	 8.149313E-16	 3.499583E-16	-7.042866E-05	-3.713527E-15	 5.081182E-14	-5.435716E-05	-4.016113E-14	-1.748739E-14	 1.788754E-05	-2.722288E-14	 6.671772E-14	 9.987802E-06	-2.628971E-14	-1.300128E-14	 1.341345E-05	-1.189685E-14	-2.031436E-14	 9.430671E-07	 4.979381E-14	-1.821042E-14	-1.095246E-05	 4.808778E-15	 2.634730E-14	 6.477662E-06	-2.485387E-14	-7.810949E-15	 6.440296E-06	 4.020727E-14	-4.800210E-14	-5.352076E-06	 3.181138E-14	-4.332484E-14	-3.150003E-06	 1.557545E-14	 9.481274E-15	-1.264726E-07	-1.396647E-14	-1.102768E-14	 1.121577E-06	-2.929814E-14	 5.406195E-15	-4.313620E-07	 4.683821E-15	 9.064441E-15	 1.747869E-06	 2.240409E-15	 1.337086E-14	-1.854342E-06	-1.465356E-14
0.16137	-6.729166E-01	 1.971947E-14	-1.177192E-13	-7.078182E-02	 3.406258E-14	 1.203774E-14	-1.194356E-02	 3.390257E-14	-1.398777E-14	-2.020923E-03	 8.361692E-14	 2.659518E-14	-3.048276E-04	 5.115510E-15	 7.310235E-15	-1.451883E-04	 7.956253E-15	 3.899985E-14	-6.312439E-06	-1.124201E-14	-7.673630E-15	 2.759186E-05	 3.254773E-15	 3.144254E-14	 1.835587E-05	-3.562445E-14	-6.560888E-14	-9.717994E-06	 1.099985E-13	-8.921517E-15	-1.395008E-06	 1.398447E-14	 8.704544E-14	 1.071133E-05	-2.596590E-14	-7.738523E-14	-3.363390E-07	 5.738467E-14	 5.131480E-15	-2.436087E-06	 1.430103E-14	-4.146909E-14	 1.870142E-06	 5.011555E-14	-2.477041E-14	-5.586575E-07	 1.759297E-14	 2.946314E-14	-1.157566E-06	-3.107999E-14	 9.848699E-15	-2.084109E-06	-4.402591E-14	-2.039509E-14	 2.760987E-06	-7.425519E-15	 2.226089E-15	-2.163663E-06	-5.382125E-15
0.19094	-6.658616E-01	-2.368157E-14	-6.709325E-16	-8.248445E-02	 6.071945E-15	-2.706760E-14	-1.634105E-02	 5.861770E-14	 1.259792E-14	-3.224121E-03	-9.382651E-15	-2.600655E-14	-6.372796E-04	 5.093590E-15	 7.555597E-14	-2.593090E-04	 3.969201E-14	-1.494248E-14	-5.029977E-05	 9.502672E-14	 1.217084E-14	 2.355764E-05	 6.990040E-14	 1.141299E-14	 1.497802E-05	 2.485840E-14	-2.521404E-14	-1.169571E-05	-4.540828E-14	-7.264221E-14	 5.611597E-06	-3.761986E-14	-5.030401E-15	 1.144530E-05	-4.374563E-14	 4.868639E-14	-1.787184E-06	-7.439097E-14	-4.644663E-14	-1.422115E-06	 1.848441E-14	-2.094709E-14	 2.407455E-06	 4.993892E-15	-2.441577E-14	 8.569860E-07	 5.655918E-15	-3.483267E-15	-9.797027E-07	 1.096633E-14	-1.760203E-14	-3.375397E-07	 1.003846E-15	 3.147551E-15	-2.460579E-07	-1.218535E-14	 3.782233E-14	-1.410985E-06	-2.500708E-14
0.21651	-6.589804E-01	-3.998646E-16	 2.274690E-15	-9.216577E-02	 1.985441E-14	 1.792131E-14	-2.047347E-02	 1.997833E-14	 1.327795E-14	-4.534733E-03	-3.613715E-15	 9.493712E-17	-1.059618E-03	 3.303462E-14	-5.673624E-14	-4.024861E-04	-1.335984E-14	-2.875700E-14	-1.053999E-04	 1.051694E-14	-5.336668E-14	 8.830565E-06	-7.571514E-15	-5.864565E-14	 8.785588E-06	-2.983928E-14	-1.630630E-14	-1.643406E-05	 5.827949E-14	 3.997363E-14	 3.960301E-06	-3.806760E-14	 5.418956E-14	 1.372836E-05	-2.760048E-15	 6.060167E-14	 1.731018E-06	 1.306401E-14	-2.740915E-14	-2.183554E-06	 1.134917E-13	-6.782607E-14	 9.194210E-07	 9.041849E-14	 3.449926E-14	 1.853565E-06	-1.786488E-14	 2.872675E-14	 8.309907E-07	-2.646131E-14	 3.440847E-14	-1.696795E-06	 1.160237E-14	 2.216622E-14	 1.381675E-06	 2.035666E-14	 1.366242E-14	-1.106874E-06	 1.018127E-15
0.23936	-6.523245E-01	 2.899344E-14	 1.279663E-14	-1.004858E-01	 3.390906E-14	-1.607938E-14	-2.433588E-02	 2.189447E-14	 2.964960E-14	-5.890923E-03	-5.933090E-16	-3.809819E-14	-1.541665E-03	 8.838216E-14	-4.034617E-15	-5.725356E-04	-2.368042E-14	-2.288833E-14	-1.750134E-04	 3.159874E-15	-2.127286E-14	-1.733477E-05	-3.018110E-14	-6.046070E-14	-1.301074E-07	 8.773495E-14	-7.261987E-14	-2.035773E-05	 1.190177E-14	 4.429222E-15	-3.381942E-07	 6.051192E-14	 2.096095E-14	 1.299681E-05	-4.990917E-14	-2.297636E-14	 3.854901E-06	-9.065094E-15	 2.074681E-14	-2.007160E-06	-4.211246E-15	-3.560825E-14	-3.118478E-08	 2.470745E-16	-1.510399E-14	 2.832789E-06	-9.022290E-15	 4.740238E-14	 4.478734E-07	-9.286090E-14	 2.181423E-14	-7.802124E-07	-5.637979E-14	-3.516639E-14	 2.076303E-06	 4.032044E-16	-7.042123E-14	-1.199449E-06	 3.535650E-14
0.26021	-6.459355E-01	-1.863167E-14	-8.946278E-16	-1.078326E-01	-2.804334E-14	 4.278002E-14	-2.792657E-02	-6.159933E-15	-8.369604E-14	-7.245294E-03	 5.212900E-14	-1.215176E-14	-2.058231E-03	-4.317681E-14	 1.029402E-14	-7.633432E-04	 2.605703E-14	 2.887785E-14	-2.559528E-04	-3.345587E-14	 5.066325E-14	-5.271142E-05	 8.838792E-14	 4.170657E-14	-1.385755E-05	 1.788833E-14	 8.182624E-14	-2.537419E-05	 1.591765E-14	 4.690942E-14	-5.354368E-06	-1.071429E-13	 1.753864E-14	 1.086176E-05	-3.127493E-14	 1.240167E-14	 4.937395E-06	-5.565127E-15	-5.213741E-14	-1.678802E-06	 5.200485E-14	-4.818172E-14	-1.113181E-06	 4.644552E-14	-8.847740E-14	 2.491261E-06	 4.118570E-14	-1.802504E-14	 1.153836E-06	 4.189549E-14	 3.040618E-14	-1.034081E-06	 3.859975E-14	 8.733255E-15	 2.569809E-06	 6.565096E-14	-1.968139E-14	 1.974602E-07	 6.709436E-14
0.27951	-6.398431E-01	 1.806596E-14	 5.469422E-14	-1.144589E-01	-1.243181E-14	-1.747066E-15	-3.125395E-02	 2.833526E-15	 2.524544E-14	-8.564312E-03	 5.144648E-14	-3.112797E-14	-2.588122E-03	-1.068405E-14	 5.622815E-14	-9.680862E-04	-5.473768E-14	 2.364714E-14	-3.452659E-04	-2.739694E-14	-1.280603E-14	-9.496537E-05	-2.796173E-14	-2.975344E-14	-3.228651E-05	-1.294869E-13	-1.298435E-14	-3.231385E-05	-5.857133E-14	-2.863304E-14	-1.093518E-05	 1.501903E-14	-2.227264E-14	 7.684536E-06	 3.295704E-14	-8.619392E-15	 5.085989E-06	 5.249293E-14	 8.126541E-14	-1.175788E-06	 4.529706E-14	 4.027261E-14	-2.046140E-06	-5.177125E-15	 4.902790E-14	 1.733620E-06	-2.394320E-14	 5.873072E-14	 1.301148E-06	-2.756136E-14	 4.203618E-14	-1.266205E-06	-1.408240E-14	 2.925749E-14	 2.609714E-06	-2.999779E-14	 2.256828E-14	 1.532721E-06	-6.108845E-14
0.29756	-6.340617E-01	 7.532291E-14	 9.128233E-14	-1.205365E-01	-3.498700E-15	-1.426683E-14	-3.433448E-02	 3.792149E-14	 4.505647E-14	-9.827254E-03	-8.268981E-14	 4.750388E-15	-3.115101E-03	-2.386680E-14	 1.211030E-14	-1.180055E-03	-7.783673E-14	 1.503868E-15	-4.403430E-04	-2.675649E-14	 2.535163E-15	-1.423577E-04	-5.034328E-14	 2.701101E-14	-5.477637E-05	-3.725082E-14	-6.783927E-14	-4.135877E-05	 3.669272E-14	 5.536976E-14	-1.708682E-05	-1.750252E-15	-2.179888E-14	 3.720973E-06	 3.366072E-14	-4.595133E-14	 4.336557E-06	-6.163262E-14	-2.229015E-14	-7.444329E-07	 1.780196E-15	 2.873247E-14	-2.698155E-06	-4.028014E-14	 8.236765E-15	 9.802519E-07	-3.417264E-14	-2.197432E-14	 1.059436E-06	-9.537169E-15	-4.608819E-14	-1.572711E-06	-3.592643E-14	-5.329097E-14	 2.302710E-06	-7.555667E-14	-4.241144E-14	 2.476300E-06	-8.258823E-14
0.31458	-6.285935E-01	-1.157576E-13	-8.543888E-14	-1.261853E-01	-3.477854E-15	-7.339223E-14	-3.719061E-02	-1.448603E-14	-1.019270E-13	-1.102472E-02	 5.201257E-14	-3.123819E-14	-3.628728E-03	 2.119797E-14	 3.168405E-14	-1.393925E-03	 9.473634E-15	 6.203774E-15	-5.391072E-04	 5.508188E-14	-5.150391E-14	-1.936749E-04	 8.460656E-14	-3.467044E-14	-8.063122E-05	 5.854430E-14	-4.813492E-14	-5.236565E-05	-7.248543E-15	-9.582039E-14	-2.381941E-05	 6.322229E-14	-2.537263E-14	-8.918061E-07	-4.716747E-14	-2.408036E-14	 2.736962E-06	 5.434392E-14	 5.720106E-15	-5.957205E-07	 1.276534E-14	-3.198878E-14	-3.067378E-06	 4.297515E-14	-3.450713E-15	 3.929511E-07	 1.892320E-14	-4.686354E-15	 6.968914E-07	-7.515235E-15	-2.977194E-14	-1.893638E-06	 2.859968E-14	-5.134893E-14	 1.772837E-06	 7.297551E-14	-3.769764E-14	 2.940550E-06	 9.565738E-14
0.33072	-6.234210E-01	 1.611973E-16	-2.250735E-15	-1.314829E-01	-2.689039E-14	 3.599318E-14	-3.984679E-02	-2.445408E-16	 2.255354E-14	-1.215606E-02	-2.323349E-14	-2.524690E-14	-4.124073E-03	 2.491142E-14	-1.387165E-15	-1.606394E-03	-3.075341E-14	-9.453173E-15	-6.401824E-04	 2.849035E-14	-9.151294E-14	-2.481241E-04	 9.653182E-14	 9.395589E-15	-1.092996E-04	-1.063000E-14	 6.356418E-14	-6.514283E-05	-5.565941E-14	 5.735753E-14	-3.114400E-05	-7.427054E-14	 1.012063E-13	-6.050716E-06	-3.446824E-14	 1.036554E-13	 3.671232E-07	-2.160393E-14	 9.566925E-14	-8.806908E-07	 3.677783E-14	 5.306133E-14	-3.277068E-06	-2.862997E-14	 2.521012E-14	 3.521182E-08	 8.553823E-15	 2.611070E-14	 3.690348E-07	-1.197214E-15	 4.939932E-14	-2.139709E-06	-4.754089E-14	 6.936948E-14	 1.187208E-06	-4.149750E-14	 6.869908E-14	 2.987965E-06	-1.519769E-14
0.34611	-6.185189E-01	 1.740662E-14	-3.208690E-14	-1.364814E-01	-3.374817E-16	 8.173038E-14	-4.232794E-02	-2.999859E-14	 9.113733E-15	-1.322635E-02	-3.520309E-14	 1.226492E-13	-4.600420E-03	-9.581240E-16	-6.160548E-15	-1.816129E-03	 7.479137E-14	-1.008199E-13	-7.428867E-04	 2.430548E-14	 5.647039E-14	-3.051591E-04	-5.296428E-14	-1.102222E-13	-1.403540E-04	 2.152366E-14	-3.007315E-15	-7.960659E-05	-6.903610E-14	 4.866597E-14	-3.916795E-05	-8.431061E-14	-2.080110E-14	-1.167667E-05	 2.888499E-14	 7.993491E-14	-2.619814E-06	-3.744338E-14	 1.852790E-15	-1.645603E-06	-3.215332E-14	-2.601423E-14	-3.499533E-06	-8.923360E-15	 1.602391E-14	-1.522348E-07	-5.185605E-14	 4.165298E-14	 1.375499E-07	-1.138343E-14	-9.260304E-15	-2.274251E-06	 6.834624E-14	-5.195210E-14	 6.688192E-07	 8.020260E-14	-4.186934E-14	 2.781400E-06	 3.549097E-14
0.36084	-6.138620E-01	-3.205738E-14	-5.857336E-14	-1.412186E-01	 6.146520E-14	-5.938530E-14	-4.465701E-02	 1.456369E-13	-2.094394E-14	-1.424258E-02	 7.610610E-14	-6.851992E-14	-5.059031E-03	 6.859600E-14	-4.218606E-14	-2.022862E-03	 6.674249E-14	-1.604103E-15	-8.468614E-04	 4.496799E-14	-6.071580E-14	-3.643136E-04	 7.694848E-14	 3.317613E-14	-1.734354E-04	-5.488218E-14	-1.102651E-13	-9.573295E-05	 1.251220E-14	-1.379871E-15	-4.804938E-05	 3.317870E-14	-5.227054E-14	-1.774715E-05	 7.710211E-14	-9.048652E-14	-6.074419E-06	 3.075467E-14	-1.697774E-14	-2.855262E-06	-1.095090E-14	-5.014381E-14	-3.864344E-06	-1.870403E-14	-2.352621E-14	-2.744761E-07	 2.403817E-14	-2.779013E-15	-9.245460E-09	 3.464998E-14	 1.838521E-14	-2.313168E-06	 3.598474E-15	 4.266623E-14	 2.689670E-07	-1.961897E-14	 4.406146E-14	 2.480543E-06	-2.486988E-14
0.37500	-6.094282E-01	 2.523942E-14	 1.990820E-14	-1.457245E-01	 2.864759E-14	 1.399856E-14	-4.685357E-02	 2.562995E-15	 1.174713E-13	-1.521125E-02	 1.545533E-14	 2.881129E-16	-5.501569E-03	-2.692606E-14	 6.219740E-14	-2.226608E-03	-1.959094E-14	 6.972803E-14	-9.517558E-04	-7.843676E-14	 3.795139E-14	-4.251127E-04	 2.768471E-14	-2.545647E-14	-2.082134E-04	 4.044375E-14	 2.807498E-14	-1.134827E-04	-1.021098E-14	-6.152436E-14	-5.792250E-05	 4.648168E-14	 4.421740E-14	-2.429137E-05	 3.666358E-14	 4.625461E-14	-9.907879E-06	 7.325038E-14	-1.749262E-14	-4.451907E-06	 7.021009E-14	-7.965432E-14	-4.431035E-06	 6.049725E-14	-1.134852E-13	-4.218827E-07	 6.883467E-14	-9.047726E-14	-1.109084E-07	 6.207759E-14	-3.903467E-14	-2.292333E-06	 2.685304E-14	-1.808470E-14	-1.468759E-08	-8.799362E-15	-1.026427E-14	 2.185393E-06	-6.490889E-15
0.38864	-6.051994E-01	-2.636407E-14	 1.387011E-15	-1.500248E-01	-4.020255E-14	 5.069089E-14	-4.893432E-02	-5.774557E-14	 2.023186E-14	-1.613812E-02	-8.271296E-14	 2.859853E-14	-5.929702E-03	-4.844308E-14	-3.132756E-14	-2.427424E-03	-3.442359E-14	-2.956214E-14	-1.057176E-03	 4.049281E-15	-1.095428E-13	-4.870998E-04	 1.908228E-14	 3.973136E-14	-2.444002E-04	 3.825048E-15	-5.917961E-14	-1.327794E-04	 6.942203E-14	 3.547516E-14	-6.886033E-05	-1.111989E-15	 3.414132E-14	-3.136425E-05	-5.942818E-14	 4.118927E-14	-1.409993E-05	-1.263248E-13	 1.619540E-14	-6.394675E-06	-4.850400E-14	 3.904557E-14	-5.213830E-06	-1.472466E-15	 7.453105E-14	-6.447830E-07	-1.072087E-14	 1.138310E-13	-2.067170E-07	-7.323211E-14	 9.630459E-14	-2.246301E-06	-9.672807E-14	 2.552238E-14	-2.043651E-07	-6.894439E-14	-4.778558E-14	 1.938554E-06	-3.803358E-14
0.40182	-6.011581E-01	 4.816575E-14	 6.912152E-14	-1.541398E-01	 4.033918E-14	 5.037146E-14	-5.091306E-02	 1.148770E-14	 4.244657E-14	-1.702809E-02	 4.365714E-14	 1.122019E-13	-6.344946E-03	-1.841089E-14	 1.671939E-13	-2.625346E-03	-1.507519E-14	 1.197009E-13	-1.162715E-03	-4.232921E-14	 1.550937E-13	-5.498648E-04	-8.034322E-14	 1.371074E-13	-2.817477E-04	-4.798624E-14	 7.921921E-14	-1.535181E-04	-5.470866E-14	 1.328815E-13	-8.088649E-05	-7.641509E-14	 6.828766E-14	-3.902724E-05	-1.725729E-14	 1.033074E-13	-1.867226E-05	 4.094128E-14	 4.890479E-14	-8.664902E-06	 4.569616E-14	-2.028917E-14	-6.210241E-06	 3.661740E-14	-2.459159E-14	-9.656164E-07	 1.608814E-14	-3.975597E-14	-3.246900E-07	-1.638846E-15	-7.513411E-14	-2.200215E-06	-2.318877E-14	-8.278866E-14	-3.243534E-07	-4.054763E-14	-5.357640E-14	 1.749639E-06	-4.866021E-14
0.41458	-5.972883E-01	-1.745837E-15	-3.482415E-14	-1.580862E-01	-4.368474E-14	-7.534502E-14	-5.280174E-02	-3.850954E-14	-8.698240E-14	-1.788562E-02	 1.608522E-14	-1.121460E-13	-6.748788E-03	 5.398360E-14	-3.795773E-14	-2.820473E-03	 1.822401E-14	 1.164402E-14	-1.268044E-03	-2.748558E-14	 2.641617E-15	-6.130733E-04	 9.370943E-15	 4.123553E-14	-3.200438E-04	-6.759346E-15	 1.338363E-13	-1.755873E-04	-5.296992E-14	 8.630836E-14	-9.400632E-05	-4.113161E-15	 1.744710E-13	-4.734143E-05	-3.359557E-14	 4.011318E-14	-2.366073E-05	 1.983856E-14	 2.227805E-14	-1.125661E-05	-1.193751E-14	-1.091001E-14	-7.417729E-06	-4.982548E-14	-4.120390E-14	-1.396283E-06	-9.105453E-14	-4.285380E-14	-4.824553E-07	-1.047610E-13	-8.084243E-15	-2.170928E-06	-8.144284E-14	 4.553024E-14	-3.964397E-07	-3.083959E-14	 7.714403E-14	 1.616138E-06	 5.627587E-15
0.42696	-5.935751E-01	-6.331273E-14	 1.004510E-14	-1.618779E-01	 4.343886E-14	 7.939765E-14	-5.461056E-02	 9.827604E-14	 8.418358E-14	-1.871466E-02	 4.672926E-14	-1.591742E-14	-7.142568E-03	 4.914480E-14	 2.295428E-14	-3.012910E-03	-2.962906E-14	-7.580977E-14	-1.372892E-03	-1.131717E-14	-8.596577E-14	-6.764548E-04	-7.311452E-14	-7.656669E-14	-3.591039E-04	-9.303942E-14	-6.132450E-14	-1.988740E-04	-9.784332E-14	 2.732742E-14	-1.082105E-04	-1.105188E-13	-6.447348E-14	-5.635911E-05	-2.260248E-14	 3.897501E-14	-2.910559E-05	 1.151565E-14	 2.148854E-14	-1.417432E-05	-9.114455E-14	 2.656669E-14	-8.840798E-06	-1.123087E-14	 1.406106E-14	-1.942564E-06	 4.242138E-14	-1.925646E-14	-6.899300E-07	 5.265428E-14	-3.945396E-14	-2.169696E-06	 9.310637E-14	-4.482149E-14	-4.377376E-07	 1.059480E-13	-3.430938E-14	 1.533070E-06	 8.499702E-14
0.43899	-5.900056E-01	 5.149715E-15	-2.078094E-14	-1.655271E-01	-1.415176E-13	-6.300143E-14	-5.634841E-02	-5.114232E-14	-8.085453E-14	-1.951872E-02	-4.939410E-14	 7.504263E-14	-7.527514E-03	-1.550732E-13	 7.495963E-15	-3.202788E-03	-8.363569E-14	 5.377549E-14	-1.477062E-03	-7.901840E-14	-4.717811E-14	-7.398050E-04	 5.621890E-14	 1.414456E-14	-3.987745E-04	 4.883580E-14	 6.591009E-15	-2.232674E-04	 1.309080E-13	-1.192642E-13	-1.234758E-04	 1.171170E-13	 1.560539E-14	-6.612082E-05	 3.366145E-14	-7.744074E-14	-3.504870E-05	 4.759594E-14	-1.199031E-13	-1.743367E-05	 1.198293E-13	-9.396913E-14	-1.049036E-05	 8.545370E-14	-3.396841E-14	-2.609101E-06	 3.443876E-14	-1.257316E-14	-9.516163E-07	 2.922102E-14	-1.353819E-14	-2.201463E-06	-8.617665E-16	-2.884196E-14	-4.599380E-07	-3.982372E-14	-4.652487E-14	 1.494791E-06	-5.505731E-14
0.45069	-5.865679E-01	 2.469402E-15	-8.946240E-15	-1.690443E-01	 1.755822E-14	-4.385181E-14	-5.802323E-02	-6.615943E-14	 1.126316E-14	-2.030115E-02	 1.130473E-14	-4.100316E-14	-7.904881E-03	 5.479699E-14	-8.990077E-14	-3.390325E-03	 5.323020E-14	-1.313461E-13	-1.580450E-03	 2.563874E-14	-4.111987E-14	-8.029986E-04	-7.979594E-15	-1.829841E-14	-4.389482E-04	-1.605432E-14	-9.297434E-14	-2.486690E-04	-2.834171E-14	 6.462454E-14	-1.397661E-04	-9.489766E-14	-5.379714E-14	-7.665412E-05	-4.422097E-14	-3.017672E-14	-4.153424E-05	 4.511479E-14	-3.222933E-14	-2.106299E-05	 8.608198E-14	-1.996758E-14	-1.238585E-05	 6.366634E-14	-4.477746E-15	-3.400352E-06	 1.253508E-14	-1.414935E-14	-1.269153E-06	-1.476266E-14	-2.495583E-15	-2.266823E-06	-8.148315E-15	 4.754365E-14	-4.683677E-07	 6.031521E-15	 9.740499E-14	 1.496800E-06	 1.643410E-14
