r	   0/   0	   0/   1	   1/  -1	   1/   0	   1/   1	   2/  -1	   2/   0	   2/   1	   3/  -1	   3/   0	   3/   1	   4/  -1	   4/   0	   4/   1	   5/  -1	   5/   0	   5/   1	   6/  -1	   6/   0	   6/   1	   7/  -1	   7/   0	   7/   1	   8/  -1	   8/   0	   8/   1	   9/  -1	   9/   0	   9/   1	  10/  -1	  10/   0	  10/   1	  11/  -1	  11/   0	  11/   1	  12/  -1	  12/   0	  12/   1	  13/  -1	  13/   0	  13/   1	  14/  -1	  14/   0	  14/   1	  15/  -1	  15/   0	  15/   1	  16/  -1	  16/   0	  16/   1	  17/  -1	  17/   0	  17/   1	  18/  -1	  18/   0	  18/   1	  19/  -1	  19/   0	  19/   1
0.10206	 7.031587E+00	 8.537784E-14	-5.281268E-13	-2.068573E-01	 3.796137E-13	-6.442457E-14	-3.670804E+00	 2.048397E-13	 7.910715E-14	-5.793724E-01	 2.242623E-13	 3.831851E-14	-3.709922E-02	-4.117441E-13	-8.141236E-14	-3.536884E-02	-1.797704E-13	-2.799565E-13	-8.911909E-03	 6.486595E-13	 2.303985E-13	 9.769261E-04	-7.839741E-15	-2.649886E-14	 1.735321E-03	-9.244859E-13	 1.013389E-14	 6.157026E-03	-4.056208E-13	-7.561227E-13	-8.914839E-04	 1.343546E-12	 5.040302E-13	-5.435057E-03	 2.790456E-13	 3.903302E-13	 1.069651E-04	-1.158117E-12	-1.541877E-13	 2.937660E-03	-3.062324E-13	-2.351422E-13	 9.113503E-04	 2.383426E-13	-4.674392E-14	-7.077016E-04	 4.834375E-13	 7.147594E-14	-5.009166E-04	-1.627787E-13	 2.972170E-13	 1.363915E-05	-2.510455E-14	 1.512818E-13	 1.242082E-04	 1.947635E-14	-6.613643E-14	-1.221297E-05	 4.841586E-14
0.14434	 6.918749E+00	 3.019232E-13	-4.640536E-13	-2.112231E-01	 2.092431E-13	-2.573733E-13	-3.541406E+00	-4.803043E-14	-6.208416E-13	-9.249585E-01	 5.646776E-13	 1.651189E-13	-1.247805E-01	 1.974207E-13	 5.270461E-13	-3.604292E-02	-6.988662E-13	-4.290031E-13	-3.194023E-03	-1.559119E-13	 1.061152E-13	 1.631938E-02	 1.478393E-14	 4.561251E-13	-1.571306E-02	 6.630657E-13	 2.756056E-13	-1.428048E-02	-8.363176E-13	-3.301677E-13	 2.021071E-02	-1.352867E-12	-4.262756E-13	 1.150511E-02	 1.674335E-12	 5.774462E-13	-1.234148E-02	 1.477638E-12	-2.463147E-13	-7.872442E-03	-1.052294E-12	-1.113896E-13	 3.136878E-03	-1.073239E-12	 6.392670E-13	 3.534611E-03	 3.749728E-14	-1.020118E-13	 2.733074E-04	 3.296459E-13	-6.708941E-13	-6.402950E-04	 7.525070E-14	-4.476960E-13	-6.639094E-05	 2.003051E-13	 1.696267E-13	 1.268652E-04	-1.400202E-13
0.17678	 7.082943E+00	-3.320031E-13	-3.436083E-13	-2.647373E-01	-1.543311E-13	 4.924876E-14	-3.502987E+00	 3.874899E-13	 1.593129E-13	-1.161637E+00	 1.552890E-13	-5.917596E-13	-2.388085E-01	 2.519626E-13	 7.697430E-13	-4.582872E-02	-4.325386E-13	 9.240243E-13	-9.884882E-03	-1.045173E-12	 1.119989E-13	 2.219884E-02	-8.975025E-14	-4.851260E-14	 1.226773E-03	 9.439770E-13	-1.593187E-12	-2.388485E-02	 1.993750E-12	 5.946041E-13	 1.624231E-04	-2.772901E-12	 1.007602E-12	 1.772635E-02	-9.788445E-13	-2.578767E-13	 4.189222E-03	 2.692452E-12	-9.279348E-13	-7.817095E-03	 6.339662E-13	-1.211055E-12	-5.009641E-03	-3.442229E-13	 9.410210E-13	 1.309718E-03	-8.143223E-13	 1.216114E-12	 2.185410E-03	-2.714340E-13	-5.417422E-13	 4.205558E-04	 1.520622E-13	-1.028137E-12	-2.319979E-04	 2.827088E-13	-3.513618E-14	-1.621139E-05	 2.199885E-13
0.20412	 7.274915E+00	-5.645762E-13	-9.963863E-13	-3.142910E-01	 2.674771E-13	-2.200867E-13	-3.482420E+00	 5.806239E-13	 8.426141E-13	-1.344147E+00	 4.320073E-14	 1.149632E-13	-3.462828E-01	-2.025133E-13	 1.072875E-13	-6.873708E-02	 2.813907E-13	 9.883813E-13	-1.868770E-02	-3.837527E-13	 3.552256E-13	 1.459427E-02	-3.623657E-15	-6.170853E-13	 1.706170E-02	 1.735348E-13	-1.528063E-12	-8.022231E-03	 1.581877E-12	-3.639833E-13	-1.422075E-02	-4.932710E-13	 1.711416E-12	 2.789721E-03	-2.777237E-12	-5.103924E-14	 1.190555E-02	 9.888518E-13	-1.582229E-13	 2.743000E-03	 1.805764E-12	-9.950866E-13	-5.214511E-03	 8.974447E-13	-8.578010E-13	-3.002005E-03	-8.001692E-13	 8.782153E-13	 4.917572E-04	-1.081107E-12	 1.150075E-12	 7.962769E-04	-3.657351E-13	 1.443229E-13	 1.365398E-04	 1.131623E-13	-2.568998E-13	 7.047322E-05	 1.827178E-13
0.22822	 7.448533E+00	-3.256218E-13	-9.087245E-13	-3.922383E-01	 9.389514E-13	-2.186927E-13	-3.460675E+00	 3.692872E-13	-4.683913E-14	-1.467038E+00	-8.418101E-14	-5.037065E-14	-4.308788E-01	 4.334937E-14	 1.793119E-13	-9.041704E-02	 2.312181E-14	-2.411082E-13	-2.502283E-02	 3.672403E-13	 7.534621E-14	 3.643216E-03	 8.541838E-14	-5.167423E-13	 2.043643E-02	 2.609147E-13	 1.033398E-13	 5.547523E-03	 1.890054E-13	 2.295312E-13	-1.332521E-02	 4.441181E-13	 2.810461E-13	-5.283555E-03	-1.670063E-12	-3.344471E-13	 8.825217E-03	-8.412960E-13	 6.326932E-13	 5.734926E-03	 1.878633E-12	 9.616070E-13	-2.150472E-03	 4.975224E-13	-1.189351E-12	-2.751159E-03	-4.530846E-13	-7.751027E-13	-3.302378E-04	-7.536344E-13	 6.307946E-13	 3.604263E-04	-2.972971E-14	 7.536065E-13	-6.039289E-05	 8.635477E-14	-1.675193E-13	-1.394805E-04	 1.408715E-13
0.25000	 7.590159E+00	 3.287535E-13	 3.058069E-12	-5.067146E-01	-1.592036E-12	 1.510085E-12	-3.437017E+00	-1.083685E-12	 1.987373E-13	-1.532184E+00	-1.633053E-12	-4.583087E-14	-4.868953E-01	-5.852380E-13	-1.049927E-13	-1.083804E-01	-1.942936E-13	-1.564376E-13	-2.823164E-02	-2.575702E-13	 1.167598E-13	-4.510213E-03	 8.945219E-13	-7.018504E-13	 1.818684E-02	 9.997044E-14	 3.156111E-13	 1.424210E-02	 4.007859E-16	 9.109842E-13	-8.147054E-03	 5.885632E-13	-3.918777E-13	-9.720808E-03	-5.869895E-13	-5.948335E-13	 4.182785E-03	-1.778109E-12	-4.993362E-13	 7.364019E-03	 1.588351E-12	 1.207006E-12	 9.131540E-04	 4.721362E-13	-9.499578E-14	-2.588857E-03	-1.137952E-13	-5.920007E-13	-1.430919E-03	-8.474979E-14	-3.144149E-13	 1.267358E-04	 5.178277E-15	 2.074336E-13	 3.172586E-04	 1.036918E-13	 5.500656E-14	-1.254867E-05	 7.794441E-14
0.27003	 7.698382E+00	 8.890414E-14	-8.130533E-13	-6.532666E-01	 1.255019E-12	-7.174126E-13	-3.414495E+00	 1.013834E-12	-3.338009E-14	-1.549545E+00	-5.574791E-13	 5.024611E-13	-5.141326E-01	-4.009576E-13	 6.297698E-13	-1.195496E-01	-1.649064E-13	 1.251963E-13	-2.866717E-02	-4.437179E-13	 5.252906E-15	-9.751336E-03	 6.804171E-13	-1.388365E-13	 1.331311E-02	-3.772793E-13	-8.286496E-13	 1.865941E-02	-5.392631E-13	 3.130181E-13	-1.328350E-03	 3.410581E-13	 4.742504E-13	-1.023718E-02	 2.997934E-13	-3.042779E-13	-5.185156E-04	-1.239125E-12	-6.376482E-13	 6.149378E-03	 1.993334E-13	-6.419448E-13	 3.053568E-03	 1.485484E-12	 3.642557E-13	-9.529635E-04	 1.659849E-13	 5.921662E-13	-1.526750E-03	-1.684047E-13	-4.508243E-14	-5.128928E-04	 3.570864E-14	-4.062080E-13	 6.837488E-05	 1.830314E-13	-2.513161E-13	 4.102584E-05	-3.004294E-13
0.28868	 7.778275E+00	 3.340847E-13	-1.808307E-12	-8.217454E-01	 2.308188E-12	 6.463771E-14	-3.396363E+00	 1.667994E-13	-5.677782E-13	-1.531466E+00	-4.519698E-14	-1.522864E-14	-5.169677E-01	 8.545431E-14	 5.939647E-13	-1.234283E-01	 1.175332E-15	 1.359487E-13	-2.686521E-02	-4.942578E-13	-2.676900E-13	-1.232842E-02	-6.801229E-14	 1.636291E-13	 7.878570E-03	-1.899357E-13	-4.376960E-13	 1.959230E-02	-1.528536E-13	-4.606053E-13	 4.786514E-03	 1.594434E-13	 5.395914E-13	-7.965934E-03	 3.853518E-13	 7.699693E-13	-3.444361E-03	-2.305932E-13	-3.378748E-13	 3.739413E-03	-8.883870E-13	-7.959574E-13	 3.545633E-03	 6.795520E-13	 3.805501E-14	 5.009043E-04	 3.287547E-13	 7.466353E-13	-8.639159E-04	-2.221917E-13	 1.664733E-13	-6.210662E-04	 9.067896E-14	-2.762407E-13	-1.750113E-04	 3.359538E-15	-3.603216E-13	-9.198657E-05	-1.594035E-13
0.30619	 7.838149E+00	 8.144412E-13	 9.102517E-12	-9.990453E-01	-8.399249E-12	 2.942989E-12	-3.384532E+00	-2.756196E-12	-4.386394E-13	-1.490905E+00	-2.850715E-13	-9.104087E-13	-5.026146E-01	 2.294252E-13	 2.297483E-13	-1.217802E-01	-1.813017E-13	-5.605370E-13	-2.398264E-02	 1.892692E-13	-2.782415E-13	-1.292647E-02	-1.269662E-13	 2.151465E-13	 3.211840E-03	-5.837181E-13	 1.103141E-13	 1.836803E-02	 1.292530E-13	-4.065938E-13	 9.150188E-03	 8.007515E-13	 7.616806E-14	-4.556895E-03	-5.829073E-13	 4.840152E-13	-4.425705E-03	 1.212698E-13	 4.746051E-13	 1.511582E-03	-4.971702E-13	-4.120438E-13	 3.030227E-03	-3.624640E-13	-1.303086E-13	 1.294358E-03	 3.829305E-13	-1.258188E-13	-1.316634E-04	 1.660927E-13	 8.378710E-13	-4.035752E-04	-6.606153E-13	-1.916141E-13	-2.208890E-04	 1.473418E-14	-1.581142E-13	-1.748237E-04	-3.865849E-14
0.32275	 7.887373E+00	-7.093662E-13	-6.308608E-12	-1.171140E+00	 5.261507E-12	-1.441124E-12	-3.379294E+00	 1.104131E-12	-2.381200E-13	-1.440601E+00	 7.126578E-13	 1.010269E-13	-4.796252E-01	 6.254216E-13	 4.848275E-13	-1.176373E-01	 1.616534E-13	 3.074657E-13	-2.143910E-02	 1.557279E-13	-8.479966E-13	-1.247090E-02	 4.138703E-13	-1.312542E-13	-1.310618E-04	-6.548903E-14	 2.932027E-13	 1.622519E-02	-8.295043E-13	 3.872053E-14	 1.170078E-02	 1.617566E-13	-1.034805E-13	-1.182860E-03	-2.500013E-14	 2.790631E-13	-4.004682E-03	-1.780408E-13	 6.293573E-13	 6.328988E-05	-1.516807E-13	 7.704241E-14	 2.177965E-03	 2.424211E-13	-8.401569E-13	 1.508613E-03	 5.668271E-13	-1.538011E-13	 3.841779E-04	-1.938066E-13	-3.165739E-13	-1.040865E-04	-1.389449E-13	 6.058962E-13	-1.383660E-04	-1.365544E-13	 2.643068E-14	-1.760083E-04	 3.187025E-13
