r	   0/   0	   0/   1	   1/  -1	   1/   0	   1/   1	   2/  -1	   2/   0	   2/   1	   3/  -1	   3/   0	   3/   1	   4/  -1	   4/   0	   4/   1	   5/  -1	   5/   0	   5/   1	   6/  -1	   6/   0	   6/   1	   7/  -1	   7/   0	   7/   1	   8/  -1	   8/   0	   8/   1	   9/  -1	   9/   0	   9/   1	  10/  -1	  10/   0	  10/   1	  11/  -1	  11/   0	  11/   1	  12/  -1	  12/   0	  12/   1	  13/  -1	  13/   0	  13/   1	  14/  -1	  14/   0	  14/   1	  15/  -1	  15/   0	  15/   1	  16/  -1	  16/   0	  16/   1	  17/  -1	  17/   0	  17/   1	  18/  -1	  18/   0	  18/   1	  19/  -1	  19/   0	  19/   1
0.10206	 5.979883E+00	-2.103171E-13	 2.138458E-13	 1.304629E+00	-2.440940E-13	 1.779483E-13	 3.285571E+00	 4.560452E-14	 4.694981E-13	 5.773675E-01	-3.814247E-13	 1.636146E-13	 6.766647E-02	-2.947426E-13	 3.365954E-13	 3.361058E-02	 2.944164E-13	 3.407700E-13	 1.513009E-03	 3.300553E-13	-2.964394E-13	-1.404920E-02	 4.128423E-13	 9.907151E-14	 3.557684E-03	-5.897864E-13	-3.507792E-13	-1.459165E-03	 6.534334E-13	 2.511238E-13	-4.720474E-03	 5.101145E-13	-9.644199E-14	-3.319219E-03	 2.019970E-13	-4.190363E-13	-5.016483E-03	 1.200388E-12	-6.639066E-13	 2.658138E-03	-7.825647E-13	-1.003386E-12	 5.450305E-03	-9.890552E-13	-4.021621E-13	 1.111800E-03	 2.066934E-13	-4.174890E-13	-3.629774E-04	 5.457856E-13	 3.452563E-13	-7.305261E-04	 5.083688E-13	 9.740805E-13	-5.213525E-04	-1.423198E-13	 1.013750E-12	-1.418734E-04	-2.545344E-13
0.14434	 6.373473E+00	 1.524706E-13	-6.792169E-15	 1.927970E+00	 1.848418E-13	 3.694153E-13	 3.587021E+00	 4.297257E-13	 4.640760E-13	 8.914931E-01	 1.872819E-13	 3.285962E-13	 1.432630E-01	-3.567302E-13	 2.730811E-14	 3.416902E-02	 4.573161E-13	 5.222778E-14	 6.081534E-03	 5.011550E-13	-4.520303E-13	-2.419101E-02	 9.707376E-13	-1.006679E-13	-2.100438E-03	-5.142528E-13	 4.811089E-14	 2.229092E-03	 4.111357E-15	-5.332741E-13	-9.611265E-03	 1.383760E-12	 3.163515E-13	-4.842405E-03	 7.684340E-15	-1.057704E-12	 2.004551E-03	 1.024425E-12	-4.260993E-13	 3.112939E-03	 2.034764E-13	-2.776669E-13	 1.161321E-03	-1.329128E-12	-2.859369E-13	-3.503834E-04	-6.748903E-13	 6.795118E-14	 5.824060E-04	-2.908781E-13	 8.462111E-13	 1.369673E-04	 3.012116E-13	 9.251183E-13	-4.745926E-04	 1.485181E-13	 7.493161E-13	-3.168086E-04	-2.886454E-13
0.17678	 6.498213E+00	 1.286538E-13	-1.219403E-13	 2.425807E+00	 8.448290E-14	 1.866363E-13	 3.755875E+00	 4.188520E-13	 1.552411E-13	 1.158562E+00	 5.192263E-13	 2.101279E-13	 2.393367E-01	 2.374802E-13	 5.609283E-14	 4.165839E-02	 5.524325E-13	-6.425688E-13	 1.091974E-02	 1.138177E-12	-3.660726E-13	-2.418290E-02	 6.207762E-13	-3.178441E-13	-1.334391E-02	 2.116365E-13	 7.977642E-13	-1.080812E-03	-1.804686E-12	-9.660322E-13	-7.235995E-03	 4.656478E-13	-1.943830E-13	-7.576371E-03	 1.480571E-13	-1.180076E-13	 2.557280E-03	-7.094872E-13	-7.023203E-13	 6.192835E-03	 4.316867E-13	 2.915559E-13	-2.299677E-04	-1.359808E-12	-8.885009E-14	-3.384121E-03	-1.059928E-12	 2.868678E-13	-3.242613E-04	-8.584174E-13	 1.094667E-12	 9.314186E-04	-3.004687E-13	 6.896954E-13	 3.150091E-04	 2.516377E-13	-6.281313E-14	-4.066999E-05	 1.754797E-13
0.20412	 6.584275E+00	 4.955894E-14	 1.680951E-13	 2.838745E+00	 1.294953E-14	 2.041124E-13	 3.911912E+00	 2.354060E-13	 4.416261E-14	 1.391443E+00	 2.862708E-13	-1.331951E-13	 3.433849E-01	 6.984992E-13	-1.360538E-13	 6.044931E-02	 2.393837E-13	-7.197350E-13	 1.288590E-02	 8.089834E-13	-5.027977E-13	-1.929326E-02	 2.602314E-14	-1.323785E-13	-1.934030E-02	-1.591937E-13	 3.887645E-13	-8.534247E-03	-1.353171E-12	-3.138906E-14	-6.294341E-03	-1.066934E-12	-5.998263E-13	-8.834888E-03	 6.567069E-13	 6.387065E-13	-8.328848E-04	-3.432619E-13	-1.206985E-12	 6.750071E-03	 5.463698E-13	-6.218797E-13	 1.671216E-03	 8.771929E-14	 1.786596E-13	-3.681901E-03	-5.093396E-13	 1.667079E-13	-2.131464E-03	-6.710575E-13	 1.004364E-12	 1.064359E-04	-5.477199E-13	 9.164939E-13	 5.088505E-04	-3.254550E-13	 1.626727E-13	 2.843614E-04	 4.550747E-14
0.22822	 6.657566E+00	 2.901810E-13	 1.558689E-13	 3.190207E+00	 1.754463E-13	 1.756345E-13	 4.058578E+00	 2.104796E-13	-6.110956E-14	 1.600679E+00	 3.584006E-13	-3.226480E-13	 4.482843E-01	 6.766479E-13	-7.039751E-13	 8.713180E-02	 7.488769E-14	-4.436844E-13	 1.444386E-02	 2.634791E-13	-7.329772E-13	-1.665828E-02	-2.851538E-13	-1.098117E-13	-2.098567E-02	 2.892876E-14	-4.726494E-13	-1.267469E-02	 1.388715E-14	 2.001411E-13	-7.516585E-03	-7.069651E-13	-4.652003E-14	-9.970861E-03	 3.946731E-13	 3.025562E-13	-3.702013E-03	 8.793304E-13	-5.118033E-13	 5.125464E-03	-7.508916E-14	-1.059487E-12	 3.092078E-03	 5.855897E-13	 5.398792E-13	-2.235899E-03	-4.296425E-13	 6.746385E-13	-2.800063E-03	-1.245237E-12	 9.025794E-13	-1.060161E-03	-9.199861E-13	 7.568966E-13	-7.134648E-05	-5.817344E-13	 1.938652E-13	 8.259105E-05	-2.971709E-13
0.25000	 6.722917E+00	 1.273771E-13	-1.223825E-14	 3.487332E+00	 5.578663E-14	 4.070541E-14	 4.191813E+00	 1.113328E-13	-2.527423E-13	 1.785601E+00	 4.526568E-13	-1.349635E-13	 5.485654E-01	 9.728840E-14	-2.739647E-13	 1.193042E-01	 3.282206E-13	 1.789289E-13	 1.808134E-02	 2.218711E-13	 2.112882E-13	-1.549895E-02	-3.078220E-14	 5.008365E-13	-2.189624E-02	 4.079552E-13	 4.403295E-13	-1.561423E-02	 7.894469E-14	 4.202724E-14	-8.709702E-03	-7.377047E-13	 7.364142E-14	-9.669849E-03	-4.337726E-13	-3.255665E-13	-5.517067E-03	 7.633546E-13	-3.682961E-13	 2.362636E-03	-4.173290E-13	-8.156451E-13	 3.032349E-03	 5.915815E-14	 6.244828E-14	-9.013005E-04	-2.516794E-13	 7.353214E-13	-2.514091E-03	-9.746278E-13	 7.086865E-13	-1.663092E-03	-4.548717E-13	 3.954559E-13	-6.707281E-04	 2.449877E-13	 5.024565E-14	-2.738151E-04	 3.801235E-13
0.27003	 6.781271E+00	 1.000494E-13	 9.511341E-14	 3.734203E+00	 1.312449E-13	-4.301677E-14	 4.308540E+00	 1.286854E-13	 8.567943E-14	 1.945552E+00	 4.484229E-13	-3.293846E-14	 6.400968E-01	-3.113142E-13	 4.048629E-13	 1.533182E-01	-2.176338E-13	 6.610302E-13	 2.377242E-02	-2.557060E-13	 7.408879E-13	-1.470453E-02	-4.693578E-13	 6.545187E-13	-2.249920E-02	-7.837597E-13	 1.044484E-12	-1.788051E-02	-4.084420E-13	 9.325628E-14	-1.022952E-02	-7.279255E-13	-4.293599E-14	-9.286323E-03	-3.838340E-13	-5.144820E-13	-6.178969E-03	 8.539203E-13	-2.037138E-13	 3.083871E-04	 4.269159E-13	-2.281992E-14	 2.279283E-03	-1.262264E-13	 2.210050E-13	-2.882867E-04	 1.242252E-13	 7.704186E-13	-2.104912E-03	-9.511924E-14	 9.462248E-13	-1.926711E-03	-1.779152E-14	 6.198629E-13	-1.122934E-03	 2.866768E-13	 2.688192E-13	-5.899163E-04	 2.104857E-13
0.28868	 6.832871E+00	 6.695354E-13	 7.156286E-13	 3.935035E+00	 4.526479E-13	-6.047414E-14	 4.407464E+00	 5.515772E-13	 7.575056E-13	 2.080921E+00	-7.525500E-14	-5.203368E-14	 7.206057E-01	-2.329460E-13	 5.591931E-13	 1.865162E-01	-9.900514E-13	 5.886019E-13	 3.083819E-02	-4.796311E-13	 5.376357E-13	-1.397160E-02	-9.470218E-13	 4.197171E-13	-2.309984E-02	-8.885288E-13	 3.270782E-16	-1.971394E-02	-2.298263E-13	 2.734548E-13	-1.188718E-02	-2.269170E-13	-4.850354E-13	-9.217633E-03	 2.525452E-13	-6.054889E-13	-6.345255E-03	 1.512514E-14	-4.502469E-14	-1.050486E-03	 2.642042E-13	 4.318740E-13	 1.393399E-03	-7.823424E-13	 4.788642E-13	-6.500263E-05	-6.253138E-13	 4.779076E-13	-1.700058E-03	-6.413063E-13	 3.372996E-13	-1.946210E-03	-6.680908E-13	-6.640516E-14	-1.423105E-03	-6.943522E-13	-3.404659E-13	-8.903068E-04	-8.195872E-13
0.30619	 6.878058E+00	-3.261967E-13	-2.414961E-13	 4.094808E+00	 5.836057E-14	-6.005017E-13	 4.489020E+00	 1.837080E-13	-3.202362E-13	 2.193360E+00	 3.258374E-14	-2.720793E-13	 7.893988E-01	 1.541131E-13	 1.869351E-14	 2.173113E-01	 4.820211E-14	 2.739554E-13	 3.865486E-02	 3.908556E-13	 1.603405E-13	-1.319846E-02	 4.136762E-13	 1.120803E-13	-2.388639E-02	 5.736198E-13	-5.554758E-13	-2.138307E-02	 6.010072E-13	-2.300017E-13	-1.362148E-02	 3.575345E-13	-6.931861E-13	-9.538310E-03	 4.908221E-13	-8.333832E-13	-6.411232E-03	 2.791159E-14	-5.877634E-13	-1.928052E-03	 6.495926E-14	-2.322565E-13	 5.644849E-04	-2.915912E-13	-5.551238E-14	-9.581923E-05	-4.534387E-13	-2.436321E-13	-1.365302E-03	-3.396496E-13	-4.235462E-13	-1.781608E-03	-6.393902E-14	-6.506521E-13	-1.508265E-03	 1.862150E-13	-6.591156E-13	-1.077991E-03	 3.140589E-13
0.32275	 6.917515E+00	-7.751129E-13	-7.572096E-13	 4.219390E+00	-2.384698E-13	-4.906191E-13	 4.555155E+00	-1.037609E-13	-7.064483E-13	 2.285743E+00	 2.217430E-13	-4.948345E-13	 8.471693E-01	 6.512184E-13	-2.437543E-13	 2.450937E-01	 7.908384E-13	-9.178304E-14	 4.682656E-02	 9.667060E-13	-2.733219E-13	-1.232027E-02	 1.290718E-12	-7.405387E-14	-2.493009E-02	 6.719681E-13	 1.579517E-13	-2.309265E-02	 3.038286E-13	-1.266880E-13	-1.544040E-02	 3.849605E-13	 5.108988E-13	-1.023729E-02	-1.987637E-13	 4.511790E-13	-6.615378E-03	 2.347681E-13	 2.583331E-13	-2.569699E-03	 1.048760E-13	 3.134760E-13	-1.524155E-04	-3.453073E-13	 5.413905E-13	-2.621108E-04	-1.716165E-13	 3.719957E-13	-1.125422E-03	 1.993180E-15	 3.721965E-13	-1.530013E-03	 7.440920E-14	 4.778443E-13	-1.416215E-03	 2.971233E-13	 5.978313E-13	-1.116342E-03	 4.822692E-13
0.33850	 6.952210E+00	 1.809323E-13	-5.169033E-14	 4.315139E+00	-1.655823E-13	 6.725197E-13	 4.608777E+00	-9.356431E-14	 8.165314E-14	 2.361722E+00	-4.452449E-13	 2.604159E-13	 8.955781E-01	 2.620584E-13	-1.760387E-14	 2.699897E-01	 3.893520E-13	-3.924403E-13	 5.519019E-02	 3.160518E-13	 1.248886E-13	-1.125643E-02	 2.433904E-13	-1.637909E-13	-2.620603E-02	-2.265033E-13	 6.162859E-13	-2.497192E-02	-5.277039E-13	 6.770036E-13	-1.739128E-02	-5.282506E-13	 8.493074E-13	-1.127949E-02	-7.215080E-13	 1.409269E-12	-7.059731E-03	-6.840175E-13	 5.485620E-13	-3.159014E-03	-3.775864E-13	 5.178943E-13	-7.923245E-04	-8.227656E-13	 5.902646E-13	-4.962847E-04	-4.696001E-13	 4.995426E-13	-9.706657E-04	 3.164305E-14	 2.855706E-13	-1.259179E-03	 2.063759E-13	 3.215731E-13	-1.215731E-03	 2.067112E-13	 5.691338E-13	-1.029312E-03	 4.640026E-14
0.35355	 6.983139E+00	 1.015591E-13	-2.962063E-13	 4.388001E+00	 1.904326E-13	 7.364387E-14	 4.652873E+00	 5.097204E-13	-3.677424E-13	 2.424910E+00	 9.977573E-15	-2.532912E-13	 9.365651E-01	 4.441887E-13	-5.198497E-13	 2.924534E-01	 6.921026E-13	-5.957254E-13	 6.369142E-02	 8.262393E-14	-3.967120E-13	-9.937128E-03	 6.141391E-15	-5.068025E-13	-2.763008E-02	-4.201910E-13	-5.299449E-13	-2.707344E-02	-4.046080E-13	 3.714963E-14	-1.953133E-02	-2.223809E-13	-5.780933E-13	-1.263827E-02	-1.165906E-13	-1.233168E-13	-7.763307E-03	-3.065370E-13	-1.926177E-13	-3.791502E-03	-4.063911E-13	-4.219532E-13	-1.404756E-03	-2.353740E-13	-3.076684E-14	-7.784664E-04	-6.189578E-14	 1.780334E-13	-8.940911E-04	 3.747754E-13	-5.107026E-15	-1.012308E-03	 6.684415E-13	-4.053865E-14	-9.692058E-04	 5.677616E-13	 1.219704E-13	-8.610246E-04	 1.367257E-13
