r	   0/   0	   0/   1	   1/  -1	   1/   0	   1/   1	   2/  -1	   2/   0	   2/   1	   3/  -1	   3/   0	   3/   1	   4/  -1	   4/   0	   4/   1	   5/  -1	   5/   0	   5/   1	   6/  -1	   6/   0	   6/   1	   7/  -1	   7/   0	   7/   1	   8/  -1	   8/   0	   8/   1	   9/  -1	   9/   0	   9/   1	  10/  -1	  10/   0	  10/   1	  11/  -1	  11/   0	  11/   1	  12/  -1	  12/   0	  12/   1	  13/  -1	  13/   0	  13/   1	  14/  -1	  14/   0	  14/   1	  15/  -1	  15/   0	  15/   1	  16/  -1	  16/   0	  16/   1	  17/  -1	  17/   0	  17/   1	  18/  -1	  18/   0	  18/   1	  19/  -1	  19/   0	  19/   1
0.10206	 0.000000E+00	 9.821599E-14	 1.504849E-13	 4.319525E-01	-5.945021E-14	 6.386997E-14	 1.648975E+00	-9.420443E-15	 1.034876E-13	 3.673108E-01	-8.920796E-14	 2.156023E-14	 5.157638E-02	 8.667580E-14	 1.287014E-13	 3.136083E-02	-1.746831E-13	 1.873167E-14	 9.315676E-03	-4.685235E-13	-7.293601E-14	-3.796776E-03	 4.739192E-13	 2.923543E-14	-6.802313E-03	 9.512972E-13	-2.313647E-13	 1.058592E-03	-1.860285E-13	 1.373680E-13	 8.685887E-03	-1.432079E-12	 7.649651E-14	-1.265370E-03	 4.241821E-13	-6.737210E-14	-6.818895E-03	 1.839146E-12	-2.038881E-13	-9.968551E-04	-1.553140E-13	 5.769250E-13	 1.431849E-03	-8.899277E-13	 4.159133E-14	 1.167832E-03	-5.334069E-13	-5.463982E-13	 4.911657E-04	 1.490206E-13	-5.843751E-13	-9.740352E-05	 1.957257E-13	-5.649448E-14	-1.444503E-04	 6.496644E-14	 2.090047E-13	 2.289608E-05	-4.943830E-14
0.14434	 0.000000E+00	 1.242491E-13	-1.017257E-13	 6.778522E-01	 2.132261E-13	 1.267351E-13	 1.715622E+00	 3.731541E-14	 1.503690E-13	 5.700316E-01	-8.234126E-14	 6.706554E-14	 1.225757E-01	-3.635839E-14	 3.535183E-14	 4.711072E-02	-2.451574E-13	-3.775784E-14	 1.335533E-02	-5.304608E-13	 2.700844E-15	-5.456142E-03	 2.162132E-13	-2.915195E-13	-2.830604E-03	 9.250237E-13	-3.025709E-13	 2.637575E-03	 3.094089E-13	 2.479520E-13	 5.349706E-04	-1.088311E-12	 4.773222E-13	-3.019976E-03	-7.588054E-13	-4.579751E-13	-1.720413E-04	 1.389866E-12	-4.023096E-13	 1.400118E-03	 7.833802E-13	 4.310559E-13	-9.754469E-04	-2.882363E-13	-1.097236E-14	-7.069730E-04	-8.392758E-13	-1.391803E-13	 4.671086E-04	-4.098784E-13	-1.091284E-13	 3.447370E-04	 2.207619E-14	 4.038233E-15	-9.158584E-05	 1.037718E-13	 7.563971E-14	-9.514183E-05	 6.263609E-15
0.17678	 0.000000E+00	 1.736303E-14	-3.342599E-13	 8.100510E-01	 1.494480E-13	 1.065216E-13	 1.771253E+00	-4.631110E-14	 3.721378E-14	 7.219081E-01	 1.349299E-13	 1.819848E-13	 2.015413E-01	 2.230416E-13	 1.325047E-13	 7.026981E-02	-1.262500E-13	 1.695232E-14	 1.847098E-02	-3.356892E-13	 1.137177E-14	-5.829890E-03	-1.709253E-13	-1.471397E-13	-5.836017E-05	 2.019864E-13	-3.035850E-13	 6.847930E-03	 2.679961E-13	 2.834282E-13	-3.578120E-03	-4.834154E-13	 4.242884E-13	-8.741019E-03	-8.984961E-13	-4.525912E-13	 9.934718E-04	 2.555711E-13	-2.161010E-13	 5.227590E-03	 9.154413E-13	 2.942111E-13	 2.814813E-04	 6.620516E-13	-5.531785E-13	-1.989796E-03	-3.560395E-13	-3.103121E-13	-7.324628E-04	-5.785089E-13	 3.781872E-13	 1.983107E-04	-3.226701E-13	 4.812237E-13	 8.218186E-05	-1.831718E-13	 1.146251E-13	-8.306608E-05	-1.790074E-14
0.20412	 0.000000E+00	 2.842788E-13	-4.890225E-13	 9.005185E-01	-4.364029E-14	-1.272503E-13	 1.814524E+00	-2.269110E-14	-1.535561E-13	 8.496996E-01	 1.955531E-14	-1.237929E-13	 2.808323E-01	 1.352141E-13	-2.812748E-14	 9.793781E-02	 1.923421E-13	 1.194838E-13	 2.649300E-02	-1.506388E-13	 1.965220E-14	-5.605732E-03	 1.272753E-13	 2.126911E-13	-4.694639E-04	-1.667101E-13	-1.197767E-13	 1.013490E-02	 2.288749E-13	 2.707291E-13	-1.670580E-03	 3.405095E-14	 2.933880E-13	-1.122170E-02	-3.681691E-13	-3.393044E-13	-2.440098E-03	-1.343102E-13	-1.432164E-13	 5.135907E-03	 4.708877E-13	 2.964607E-13	 2.678147E-03	 7.987302E-13	-6.140245E-13	-8.678414E-04	 2.014659E-13	-6.629433E-13	-1.260553E-03	-1.450127E-13	 1.187668E-13	-3.783383E-04	-2.304544E-13	 6.529199E-13	-7.198858E-05	-3.554909E-13	 4.259023E-13	-1.628429E-04	-3.716688E-13
0.22822	 0.000000E+00	 1.751313E-13	-9.702392E-15	 9.523192E-01	-1.052210E-13	-1.151070E-13	 1.840083E+00	-1.380725E-13	-9.664266E-14	 9.491432E-01	-1.620828E-13	-1.101380E-14	 3.530095E-01	-2.726688E-13	-2.890073E-13	 1.287168E-01	 7.130011E-15	-2.363333E-13	 3.790610E-02	-2.027049E-14	-4.666647E-14	-2.767857E-03	 1.737916E-13	 9.264752E-14	-2.585067E-03	 2.330813E-13	 2.200743E-13	 9.278718E-03	 6.659841E-14	 2.074079E-13	 1.653964E-03	 1.910676E-13	 2.922828E-13	-9.177298E-03	-8.608305E-14	-3.602792E-14	-5.154474E-03	-4.796492E-13	-1.418754E-15	 2.494509E-03	-4.794631E-14	 4.010803E-13	 3.217837E-03	 3.063925E-13	 2.390593E-14	 4.964450E-04	 1.477313E-14	-3.165547E-13	-8.271471E-04	-1.189926E-13	-1.849512E-13	-4.994394E-04	-7.655899E-15	 1.943137E-13	-1.527950E-04	 1.149321E-14	 2.577401E-13	-2.228643E-04	-1.961832E-13
0.25000	 0.000000E+00	 4.131128E-13	-3.492218E-13	 9.703827E-01	 9.156488E-13	-5.019073E-13	 1.847454E+00	 7.063660E-13	 1.459730E-13	 1.021004E+00	 1.598161E-13	 9.018830E-14	 4.128773E-01	 2.021088E-13	 1.565976E-13	 1.577347E-01	-9.979591E-14	 2.074655E-15	 5.033185E-02	 2.568628E-14	-7.279545E-15	 2.192711E-03	-4.793413E-14	 5.914785E-14	-3.564941E-03	 5.088256E-14	 9.864089E-14	 6.948525E-03	-1.732447E-13	-2.812370E-14	 3.208926E-03	-2.070959E-14	 8.570792E-14	-6.592579E-03	 9.015619E-15	-2.205239E-13	-5.824684E-03	-1.015489E-13	-3.767299E-13	 4.876782E-04	-2.642289E-14	-1.608024E-13	 2.684396E-03	 3.416927E-13	-5.692488E-14	 1.088266E-03	 2.742348E-13	-5.082197E-14	-3.616481E-04	 1.344461E-14	-4.640281E-14	-4.388412E-04	-4.599852E-14	-3.800245E-14	-1.612606E-04	 9.442680E-14	 2.153052E-14	-1.914301E-04	 4.753351E-14
0.27003	 0.000000E+00	 2.318874E-14	-6.012956E-13	 9.620625E-01	 7.245031E-13	-2.878149E-13	 1.838645E+00	 3.055867E-13	-8.793239E-14	 1.068116E+00	 2.370713E-13	-1.569067E-13	 4.588875E-01	 3.102218E-13	 2.132099E-13	 1.825648E-01	-7.407498E-14	 9.209396E-14	 6.203291E-02	 1.023794E-14	 1.889545E-13	 7.833137E-03	 6.083280E-14	 9.739870E-14	-3.389967E-03	 1.010318E-13	 9.466953E-14	 4.514645E-03	 1.932367E-15	 1.101893E-13	 3.451560E-03	 1.646892E-13	 1.485875E-13	-4.380368E-03	 2.513190E-13	 1.260921E-13	-5.448463E-03	 9.016499E-14	-2.007266E-13	-9.039918E-04	-8.910705E-14	-2.700696E-13	 1.780778E-03	 1.582905E-13	-3.003231E-13	 1.275419E-03	 2.246017E-13	-1.283758E-13	 9.250815E-05	 4.539189E-14	 8.161285E-14	-2.652169E-04	-5.705076E-14	-9.566689E-15	-1.705882E-04	 2.875161E-14	-1.965586E-13	-2.035258E-04	 7.565266E-14
0.28868	 0.000000E+00	 8.099989E-13	-1.507182E-13	 9.350560E-01	 2.282702E-14	-7.851332E-14	 1.817299E+00	-5.962054E-14	-3.275445E-13	 1.094801E+00	 1.811692E-13	-1.656588E-13	 4.916427E-01	 4.854638E-14	-2.312525E-13	 2.022129E-01	 1.222117E-13	-1.021905E-13	 7.212385E-02	-2.345125E-15	-1.125618E-13	 1.333350E-02	 3.284406E-13	 5.613409E-14	-2.423118E-03	 3.805668E-13	-3.980275E-14	 2.416338E-03	 3.842696E-13	 1.421186E-13	 2.795674E-03	 9.135266E-14	 2.076718E-13	-2.897299E-03	 4.068374E-13	 2.946544E-13	-4.603793E-03	 7.574000E-14	 2.588418E-13	-1.598109E-03	-2.076366E-13	-1.958298E-15	 8.837096E-04	-3.856832E-14	-2.199556E-13	 1.067169E-03	-8.962443E-14	-1.969737E-13	 3.311797E-04	-2.693012E-13	 4.202509E-14	-4.022849E-05	-2.970943E-13	 1.225836E-13	-7.102990E-05	-1.036023E-13	 1.060140E-13	-1.614908E-04	 9.066050E-14
0.30619	 0.000000E+00	-1.505398E-12	 9.042294E-13	 8.970894E-01	-5.219609E-13	 5.493812E-13	 1.788153E+00	 1.417411E-15	 2.316890E-13	 1.106555E+00	 5.113561E-14	 4.005485E-13	 5.135241E-01	 1.414152E-13	 3.951840E-14	 2.169870E-01	 2.453743E-13	-1.511314E-13	 8.040084E-02	 1.094780E-13	-1.970203E-13	 1.830013E-02	 2.339831E-13	-1.904068E-13	-1.025661E-03	 1.556257E-13	-6.256906E-14	 7.880966E-04	 3.545145E-14	-6.667560E-14	 1.660775E-03	-1.151401E-13	 1.239078E-13	-2.172280E-03	 7.648832E-14	 6.240278E-14	-3.767461E-03	 2.063551E-13	 1.094149E-13	-1.809499E-03	-1.340948E-14	 5.742551E-14	 2.178262E-04	-5.623740E-14	-1.921385E-13	 7.010212E-04	-9.814148E-14	-2.410708E-13	 3.442416E-04	-1.337906E-13	 4.541189E-15	 9.795706E-05	-1.518470E-13	 2.765231E-13	 5.086296E-05	-1.246852E-13	 3.032802E-13	-6.652176E-05	-3.005543E-14
0.32275	 0.000000E+00	 1.674950E-12	-3.478608E-13	 8.556039E-01	 1.218149E-13	-1.686591E-13	 1.756449E+00	-5.912292E-15	-1.742591E-13	 1.109493E+00	-1.733536E-13	-2.191522E-13	 5.281147E-01	 1.872154E-13	-1.053694E-13	 2.282310E-01	 1.731406E-14	-2.152593E-13	 8.726701E-02	 1.312003E-13	-1.331585E-13	 2.271741E-02	 2.537178E-14	-9.879251E-15	 5.671099E-04	-1.189075E-13	 8.033833E-14	-3.929436E-04	-1.704776E-13	 6.800725E-14	 3.549083E-04	-8.976568E-14	 9.410986E-14	-2.045710E-03	-3.242276E-14	-9.347670E-15	-3.171160E-03	 2.571992E-13	-1.340292E-13	-1.800510E-03	 1.362678E-13	-1.361280E-13	-2.169829E-04	-1.111218E-13	-2.542944E-13	 3.356893E-04	-6.369037E-14	-2.689147E-13	 2.292626E-04	 1.723965E-14	-1.997134E-13	 1.327192E-04	 5.039632E-14	-5.572020E-14	 1.341457E-04	 4.153836E-14	 1.406955E-14	 3.239307E-05	 6.974442E-14
