theta	phi(  2)	phi(  4)	phi(  6)	phi(  9)	phi( 13)	phi( 18)	phi( 24)	phi( 30)	phi( 37)	phi( 45)	phi( 54)	phi( 64)	phi( 74)	phi( 85)	phi( 97)
   0.00	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000
   3.60	  90.00090	  90.00708	  90.01616	  90.03336	  90.05822	  90.08849	  90.12321	  90.15692	  90.19540	  90.23867	  90.29628	  90.38915	  90.52740	  90.71834	  91.39029
   7.20	  90.00178	  90.01406	  90.03207	  90.06615	  90.11538	  90.17538	  90.24438	  90.31158	  90.38863	  90.47576	  90.59226	  90.78016	  91.06005	  91.44538	  92.68221
  10.80	  90.00264	  90.02081	  90.04746	  90.09779	  90.17041	  90.25898	  90.36112	  90.46096	  90.57594	  90.70670	  90.88173	  91.16240	  91.57176	  92.10801	  93.54807
  14.40	  90.00346	  90.02725	  90.06207	  90.12768	  90.22218	  90.33751	  90.47078	  90.60141	  90.75232	  90.92451	  91.15372	  91.51165	  92.00154	  92.60882	  94.13892
  18.00	  90.00422	  90.03325	  90.07565	  90.15526	  90.26967	  90.40926	  90.57067	  90.72897	  90.91181	  91.12000	  91.39229	  91.79845	  92.32171	  92.96936	  94.46413
  21.60	  90.00493	  90.03875	  90.08799	  90.18006	  90.31199	  90.47273	  90.65834	  90.83998	  91.04897	  91.28509	  91.58648	  92.01780	  92.55660	  93.23425	  94.60312
  25.20	  90.00555	  90.04364	  90.09888	  90.20168	  90.34849	  90.52683	  90.73210	  90.93214	  91.16087	  91.41687	  91.73656	  92.18112	  92.72547	  93.40744	  94.62932
  28.80	  90.00610	  90.04788	  90.10820	  90.21988	  90.37873	  90.57095	  90.79124	  91.00481	  91.24748	  91.51701	  91.84799	  92.29804	  92.83398	  93.49220	  94.58932
  32.40	  90.00655	  90.05140	  90.11585	  90.23452	  90.40257	  90.60505	  90.83597	  91.05874	  91.31059	  91.58884	  91.92596	  92.37387	  92.88538	  93.50633	  94.49539
  36.00	  90.00690	  90.05418	  90.12178	  90.24558	  90.42011	  90.62949	  90.86714	  91.09544	  91.35257	  91.63561	  91.97419	  92.41146	  92.88653	  93.47162	  94.35490
  39.60	  90.00716	  90.05621	  90.12603	  90.25319	  90.43168	  90.64494	  90.88596	  91.11667	  91.37577	  91.66002	  91.99531	  92.41382	  92.84821	  93.40357	  94.18426
  43.20	  90.00731	  90.05751	  90.12864	  90.25755	  90.43777	  90.65227	  90.89378	  91.12426	  91.38236	  91.66442	  91.99175	  92.38572	  92.78095	  93.31021	  93.99287
  46.80	  90.00737	  90.05811	  90.12973	  90.25897	  90.43894	  90.65243	  90.89201	  91.11996	  91.37440	  91.65105	  91.96636	  92.33295	  92.69240	  93.19598	  93.79058
  50.40	  90.00734	  90.05804	  90.12943	  90.25773	  90.43579	  90.64642	  90.88201	  91.10543	  91.35384	  91.62221	  91.92240	  92.26092	  92.58775	  93.06456	  93.58972
