r	phip	iota	I	g	pr
0.07217	-1.177122E+01	 2.804130E-01	 9.300637E-03	 2.759257E+01	 1.185990E+06
0.12500	-1.177122E+01	 2.914261E-01	 2.932583E-02	 2.761984E+01	 1.148237E+06
0.16137	-1.177122E+01	 2.950770E-01	 5.001418E-02	 2.764519E+01	 1.111442E+06
0.19094	-1.177122E+01	 2.970031E-01	 7.119774E-02	 2.766893E+01	 1.075870E+06
0.21651	-1.177122E+01	 2.982075E-01	 9.282018E-02	 2.769090E+01	 1.041818E+06
0.23936	-1.177122E+01	 2.991116E-01	 1.148505E-01	 2.771111E+01	 1.009314E+06
0.26021	-1.177122E+01	 2.998168E-01	 1.372130E-01	 2.772978E+01	 9.782024E+05
0.27951	-1.177122E+01	 3.002949E-01	 1.597853E-01	 2.774698E+01	 9.484793E+05
0.29756	-1.177122E+01	 3.006991E-01	 1.825493E-01	 2.776279E+01	 9.201216E+05
0.31458	-1.177122E+01	 3.010732E-01	 2.054691E-01	 2.777715E+01	 8.932449E+05
0.33072	-1.177122E+01	 3.014105E-01	 2.285038E-01	 2.779033E+01	 8.675837E+05
0.34611	-1.177122E+01	 3.016430E-01	 2.515760E-01	 2.780256E+01	 8.429228E+05
0.36084	-1.177122E+01	 3.017810E-01	 2.746681E-01	 2.781395E+01	 8.191525E+05
0.37500	-1.177122E+01	 3.018717E-01	 2.978051E-01	 2.782456E+01	 7.962218E+05
0.38864	-1.177122E+01	 3.019131E-01	 3.209739E-01	 2.783436E+01	 7.741861E+05
0.40182	-1.177122E+01	 3.019192E-01	 3.441802E-01	 2.784339E+01	 7.530003E+05
0.41458	-1.177122E+01	 3.018831E-01	 3.674099E-01	 2.785170E+01	 7.326296E+05
0.42696	-1.177122E+01	 3.018124E-01	 3.906660E-01	 2.785934E+01	 7.130176E+05
0.43899	-1.177122E+01	 3.017075E-01	 4.139439E-01	 2.786635E+01	 6.941297E+05
0.45069	-1.177122E+01	 3.015670E-01	 4.372369E-01	 2.787276E+01	 6.759496E+05
0.46211	-1.177122E+01	 3.013843E-01	 4.605322E-01	 2.787864E+01	 6.583866E+05
0.47324	-1.177122E+01	 3.011609E-01	 4.838266E-01	 2.788399E+01	 6.414506E+05
0.48412	-1.177122E+01	 3.008932E-01	 5.071116E-01	 2.788891E+01	 6.250322E+05
0.49476	-1.177122E+01	 3.005789E-01	 5.303771E-01	 2.789341E+01	 6.091309E+05
0.50518	-1.177122E+01	 3.002282E-01	 5.536350E-01	 2.789754E+01	 5.936776E+05
0.51539	-1.177122E+01	 2.998469E-01	 5.768906E-01	 2.790130E+01	 5.786599E+05
0.52540	-1.177122E+01	 2.994202E-01	 6.001105E-01	 2.790475E+01	 5.640567E+05
0.53522	-1.177122E+01	 2.989441E-01	 6.232767E-01	 2.790788E+01	 5.498540E+05
0.54486	-1.177122E+01	 2.984297E-01	 6.463993E-01	 2.791070E+01	 5.360624E+05
0.55434	-1.177122E+01	 2.978888E-01	 6.694929E-01	 2.791322E+01	 5.226679E+05
0.56366	-1.177122E+01	 2.973198E-01	 6.925473E-01	 2.791545E+01	 5.096645E+05
0.57282	-1.177122E+01	 2.967191E-01	 7.155489E-01	 2.791740E+01	 4.970321E+05
0.58184	-1.177122E+01	 2.960814E-01	 7.384801E-01	 2.791911E+01	 4.847515E+05
0.59073	-1.177122E+01	 2.954099E-01	 7.613411E-01	 2.792058E+01	 4.728096E+05
0.59948	-1.177122E+01	 2.947110E-01	 7.841414E-01	 2.792183E+01	 4.611850E+05
0.60810	-1.177122E+01	 2.939850E-01	 8.068744E-01	 2.792287E+01	 4.498837E+05
0.61661	-1.177122E+01	 2.932317E-01	 8.295332E-01	 2.792370E+01	 4.388946E+05
0.62500	-1.177122E+01	 2.924455E-01	 8.520953E-01	 2.792433E+01	 4.282170E+05
0.63328	-1.177122E+01	 2.916402E-01	 8.745924E-01	 2.792476E+01	 4.178463E+05
0.64145	-1.177122E+01	 2.908150E-01	 8.970198E-01	 2.792500E+01	 4.077738E+05
0.64952	-1.177122E+01	 2.899655E-01	 9.193709E-01	 2.792505E+01	 3.979973E+05
0.65749	-1.177122E+01	 2.890418E-01	 9.415013E-01	 2.792498E+01	 3.884956E+05
0.66536	-1.177122E+01	 2.880490E-01	 9.634351E-01	 2.792478E+01	 3.792693E+05
0.67315	-1.177122E+01	 2.869244E-01	 9.849754E-01	 2.792452E+01	 3.703017E+05
0.68084	-1.177122E+01	 2.856590E-01	 1.006090E+00	 2.792422E+01	 3.615946E+05
0.68845	-1.177122E+01	 2.842181E-01	 1.026651E+00	 2.792392E+01	 3.531331E+05
0.69597	-1.177122E+01	 2.826032E-01	 1.046644E+00	 2.792364E+01	 3.449006E+05
0.70341	-1.177122E+01	 2.808029E-01	 1.066005E+00	 2.792340E+01	 3.368946E+05
0.71078	-1.177122E+01	 2.788111E-01	 1.084685E+00	 2.792324E+01	 3.290961E+05
0.71807	-1.177122E+01	 2.766315E-01	 1.102665E+00	 2.792315E+01	 3.215072E+05
0.72529	-1.177122E+01	 2.742669E-01	 1.119924E+00	 2.792316E+01	 3.141119E+05
0.73243	-1.177122E+01	 2.717188E-01	 1.136433E+00	 2.792328E+01	 3.069099E+05
0.73951	-1.177122E+01	 2.689941E-01	 1.152183E+00	 2.792350E+01	 2.998952E+05
0.74652	-1.177122E+01	 2.661076E-01	 1.167201E+00	 2.792383E+01	 2.930653E+05
0.75346	-1.177122E+01	 2.630588E-01	 1.181448E+00	 2.792427E+01	 2.864213E+05
0.76035	-1.177122E+01	 2.598693E-01	 1.194985E+00	 2.792481E+01	 2.799541E+05
0.76716	-1.177122E+01	 2.565362E-01	 1.207770E+00	 2.792546E+01	 2.736652E+05
0.77392	-1.177122E+01	 2.530834E-01	 1.219878E+00	 2.792621E+01	 2.675404E+05
0.78062	-1.177122E+01	 2.495150E-01	 1.231304E+00	 2.792705E+01	 2.615757E+05
0.78727	-1.177122E+01	 2.458422E-01	 1.242076E+00	 2.792799E+01	 2.557615E+05
0.79386	-1.177122E+01	 2.420810E-01	 1.252250E+00	 2.792901E+01	 2.500831E+05
0.80039	-1.177122E+01	 2.382359E-01	 1.261827E+00	 2.793011E+01	 2.445413E+05
0.80687	-1.177122E+01	 2.343312E-01	 1.270914E+00	 2.793128E+01	 2.391120E+05
0.81330	-1.177122E+01	 2.303598E-01	 1.279459E+00	 2.793253E+01	 2.337979E+05
0.81968	-1.177122E+01	 2.263490E-01	 1.287595E+00	 2.793384E+01	 2.285735E+05
0.82601	-1.177122E+01	 2.223026E-01	 1.295330E+00	 2.793520E+01	 2.234317E+05
0.83229	-1.177122E+01	 2.182341E-01	 1.302737E+00	 2.793661E+01	 2.183535E+05
0.83853	-1.177122E+01	 2.141386E-01	 1.309780E+00	 2.793810E+01	 2.133153E+05
0.84471	-1.177122E+01	 2.100534E-01	 1.316642E+00	 2.793964E+01	 2.082725E+05
0.85086	-1.177122E+01	 2.060045E-01	 1.323433E+00	 2.794121E+01	 2.032191E+05
0.85696	-1.177122E+01	 2.020130E-01	 1.330224E+00	 2.794284E+01	 1.981148E+05
0.86301	-1.177122E+01	 1.981444E-01	 1.337361E+00	 2.794446E+01	 1.928846E+05
0.86903	-1.177122E+01	 1.944062E-01	 1.344851E+00	 2.794614E+01	 1.874836E+05
0.87500	-1.177122E+01	 1.908237E-01	 1.352827E+00	 2.794785E+01	 1.818614E+05
0.88093	-1.177122E+01	 1.874195E-01	 1.361396E+00	 2.794967E+01	 1.759000E+05
0.88682	-1.177122E+01	 1.842432E-01	 1.370856E+00	 2.795157E+01	 1.695079E+05
0.89268	-1.177122E+01	 1.812882E-01	 1.381124E+00	 2.795362E+01	 1.626270E+05
0.89849	-1.177122E+01	 1.786043E-01	 1.392517E+00	 2.795580E+01	 1.551496E+05
0.90427	-1.177122E+01	 1.762106E-01	 1.405157E+00	 2.795816E+01	 1.469813E+05
0.91001	-1.177122E+01	 1.741129E-01	 1.419129E+00	 2.796071E+01	 1.380591E+05
0.91572	-1.177122E+01	 1.723023E-01	 1.434475E+00	 2.796344E+01	 1.283590E+05
0.92139	-1.177122E+01	 1.707349E-01	 1.451042E+00	 2.796639E+01	 1.179082E+05
