r	   0/   0	   0/   1	   1/  -1	   1/   0	   1/   1	   2/  -1	   2/   0	   2/   1	   3/  -1	   3/   0	   3/   1	   4/  -1	   4/   0	   4/   1	   5/  -1	   5/   0	   5/   1	   6/  -1	   6/   0	   6/   1	   7/  -1	   7/   0	   7/   1	   8/  -1	   8/   0	   8/   1	   9/  -1	   9/   0	   9/   1	  10/  -1	  10/   0	  10/   1	  11/  -1	  11/   0	  11/   1	  12/  -1	  12/   0	  12/   1	  13/  -1	  13/   0	  13/   1	  14/  -1	  14/   0	  14/   1	  15/  -1	  15/   0	  15/   1	  16/  -1	  16/   0	  16/   1	  17/  -1	  17/   0	  17/   1	  18/  -1	  18/   0	  18/   1	  19/  -1	  19/   0	  19/   1
0.07217	 0.000000E+00	-6.194335E-16	-1.508576E-15	 1.862521E-01	-7.726746E-15	 1.611337E-15	 8.212844E-03	-6.185073E-16	 1.435873E-15	 4.794916E-04	 6.131754E-16	 4.303882E-16	 2.327686E-04	-7.455249E-16	-5.994598E-18	 3.727763E-05	-1.403321E-15	 2.037837E-16	-4.849598E-05	 2.308740E-15	 1.154553E-15	-3.739665E-05	 2.792201E-15	-4.546441E-16	 1.998979E-05	-3.453642E-15	-5.672466E-16	 4.683380E-05	-3.494833E-15	 6.485921E-16	-3.177823E-05	 4.071838E-15	 2.065942E-15	-4.254487E-05	 3.510113E-15	-9.987558E-16	 1.597771E-05	-3.983111E-15	 3.003586E-16	 1.857742E-05	-2.872517E-15	-1.229577E-15	-2.432628E-07	 1.258816E-15	-2.694080E-15	-2.126799E-06	 1.467237E-15	-2.602045E-16	-1.194443E-06	 1.228152E-16	 1.124797E-15	-3.518897E-07	 6.934860E-17	 7.097777E-16	-1.242958E-08	 4.131950E-17	 7.394324E-18	-6.013282E-08	-9.437073E-17
0.12500	 0.000000E+00	-8.834968E-15	-3.564883E-16	 3.206205E-01	-4.884298E-15	 4.669026E-15	 2.528979E-02	-2.484617E-15	 1.112263E-15	 2.424603E-03	 2.919570E-15	 3.537286E-15	 7.238115E-04	-6.962254E-16	 1.606470E-15	 1.702194E-04	-5.566669E-15	-2.481473E-15	-1.221276E-04	 4.753863E-15	 8.892819E-16	-6.578898E-05	 8.060111E-15	-2.694944E-15	-2.735931E-05	 1.600778E-15	 2.350928E-15	 4.633025E-05	-1.140050E-14	-3.801945E-16	 1.527260E-05	 9.044949E-16	-2.252236E-15	-4.943633E-05	 1.413997E-14	-1.022335E-15	-1.677546E-05	 2.387930E-16	 7.853065E-16	 1.675002E-05	-7.846100E-15	 8.801816E-16	 1.189660E-05	-3.263807E-15	-2.657639E-15	 3.396090E-06	 1.768959E-15	-2.103006E-15	-2.108233E-06	 2.513861E-15	 8.545214E-16	-2.126571E-06	 1.345763E-16	 2.406855E-15	-3.468461E-07	-4.023607E-16	 1.704518E-15	 1.891492E-07	-2.279978E-16
0.16137	 0.000000E+00	-6.573707E-15	 2.090669E-15	 4.110521E-01	-2.185896E-15	 7.484764E-15	 4.312354E-02	-3.434181E-15	 7.266058E-16	 5.276953E-03	 1.109856E-15	 1.997617E-16	 1.309781E-03	 1.119602E-15	 2.052835E-15	 3.620921E-04	-5.004832E-15	-1.080135E-15	-1.795112E-04	 1.914323E-15	-4.703179E-15	-1.441185E-05	 7.578065E-15	-3.173491E-15	 1.908251E-05	 3.912635E-15	 5.609637E-16	-6.382852E-05	-3.890146E-15	 7.145501E-15	-3.976552E-05	-1.226973E-14	-5.168607E-15	 3.008722E-05	 7.961704E-15	-4.072028E-15	 2.574120E-05	 9.424795E-15	 2.604550E-15	-1.580011E-05	-3.811419E-15	-2.100097E-16	-1.447447E-05	-5.691570E-15	 8.604002E-16	 5.523850E-06	-4.781065E-15	 2.362991E-15	 5.467268E-06	 6.095167E-16	 9.187858E-16	-2.222540E-07	 1.367407E-15	 1.078946E-16	-1.018341E-06	 2.703999E-16	 7.901047E-17	 2.747191E-07	-1.950202E-17
0.19094	 0.000000E+00	-4.492645E-15	 6.135037E-15	 4.829498E-01	-4.154645E-15	 4.477772E-15	 6.057140E-02	-1.775856E-15	 4.027250E-15	 8.918169E-03	-1.028849E-15	-2.007972E-15	 2.072534E-03	 6.744578E-16	-1.673374E-15	 5.947204E-04	 1.045236E-15	 1.440430E-15	-1.792686E-04	-1.553925E-15	-2.146031E-15	-1.633598E-05	 3.097105E-15	-7.692918E-16	 1.040240E-04	-2.645595E-15	-2.003706E-15	-6.626766E-05	 2.100645E-15	 3.865835E-15	-1.330904E-04	-8.650160E-15	 1.016776E-16	 1.168232E-05	-5.145132E-15	-2.997109E-15	 7.390798E-05	 8.485730E-15	 3.274765E-15	 5.085538E-06	 2.711552E-15	-4.015665E-15	-2.946108E-05	-2.686181E-15	-3.080935E-15	-9.941437E-06	-5.301142E-15	 5.292614E-15	 3.545760E-06	-2.523337E-15	 4.291786E-15	 2.783001E-06	-2.538402E-16	-6.166289E-16	 1.730648E-07	 5.540889E-16	-2.682115E-15	 4.133451E-07	 9.972769E-16
0.21651	 0.000000E+00	-3.361227E-15	 6.895955E-15	 5.438517E-01	-1.532181E-15	-1.748206E-15	 7.752025E-02	-1.828526E-15	 1.855595E-15	 1.304933E-02	-1.269772E-15	-1.127230E-15	 3.048063E-03	 1.070404E-15	-2.868174E-15	 8.899640E-04	 1.614461E-15	-7.141520E-16	-1.280020E-04	 1.024396E-15	 3.741544E-15	-4.584202E-05	-9.979856E-16	 4.997130E-16	 1.425142E-04	-2.430897E-15	 1.613982E-15	-1.651382E-05	-9.706739E-16	-1.436138E-15	-1.561548E-04	 2.550755E-17	-4.048886E-16	-3.588461E-05	-6.207016E-15	-1.969319E-15	 6.718609E-05	 1.459459E-15	 2.798982E-15	 2.882349E-05	 7.113505E-15	-2.507988E-15	-1.752537E-05	 3.122768E-16	-6.691083E-15	-1.621529E-05	-2.221456E-15	 1.045832E-15	-3.092334E-06	-2.122746E-15	 5.147222E-15	 9.070241E-07	-1.820691E-15	 2.479604E-15	-3.186460E-07	-1.217641E-15	-9.926144E-16	-1.962547E-07	-2.730931E-16
0.23936	 0.000000E+00	-5.196252E-15	 5.036575E-15	 5.972606E-01	-4.869445E-16	-1.271380E-15	 9.375869E-02	-1.924156E-15	 1.112695E-15	 1.743153E-02	-3.022808E-15	-3.847017E-15	 4.191017E-03	 2.616031E-15	-1.091920E-15	 1.241268E-03	-2.468301E-15	-1.562166E-15	-2.332812E-05	 5.924411E-16	 2.530993E-15	-6.423279E-05	 1.225755E-15	 4.960439E-16	 1.471809E-04	-1.524257E-15	 2.347701E-15	 3.321296E-05	-9.276674E-16	 1.639471E-15	-1.426232E-04	 1.590188E-15	-7.812655E-16	-7.089039E-05	-4.090044E-15	-3.093821E-15	 4.644858E-05	-2.596002E-15	-9.000582E-17	 4.121166E-05	 6.390769E-15	 2.615401E-15	-5.523307E-06	 4.435068E-16	-1.454384E-15	-1.745552E-05	-2.518908E-15	-8.744943E-17	-7.097143E-06	-2.295298E-15	 2.753873E-15	-3.182182E-07	-2.112316E-15	 2.791402E-15	-6.578148E-07	-1.764061E-15	 1.098304E-15	-1.277285E-06	-8.178856E-16
0.26021	 0.000000E+00	 9.871209E-17	 1.446988E-15	 6.451956E-01	 7.126946E-16	 3.103057E-15	 1.091180E-01	 1.779263E-15	-1.539210E-15	 2.186838E-02	 2.007696E-15	-1.348063E-15	 5.444861E-03	 3.436368E-16	-1.932589E-17	 1.635445E-03	-2.655179E-15	-7.981200E-16	 1.206016E-04	-2.036226E-15	 3.026753E-15	-6.037697E-05	 3.195137E-15	 5.775565E-16	 1.362644E-04	-1.892523E-15	-2.477959E-16	 7.127618E-05	-2.259902E-15	 3.851882E-15	-1.104906E-04	 9.394387E-16	-2.208105E-16	-8.784380E-05	 1.610597E-17	-2.912196E-15	 2.072931E-05	-4.540157E-15	-4.097236E-15	 4.180371E-05	 3.576970E-15	 8.099423E-16	 6.353589E-06	 2.498516E-15	 2.537126E-15	-1.295485E-05	-3.073103E-15	 2.090067E-15	-9.612165E-06	-2.590330E-15	 1.142298E-15	-3.070548E-06	-3.776595E-16	 6.082705E-16	-1.611163E-06	 5.389240E-17	 5.177378E-16	-1.730876E-06	-5.926740E-16
0.27951	 0.000000E+00	 1.230544E-14	 3.026605E-15	 6.889593E-01	-9.562806E-16	 2.758289E-16	 1.235070E-01	 7.054117E-15	-6.465442E-15	 2.621516E-02	 6.254934E-15	 8.784090E-16	 6.752252E-03	-9.062773E-16	-3.893537E-16	 2.057022E-03	 2.377336E-17	 1.254582E-15	 2.910931E-04	-2.362075E-15	 3.026089E-15	-3.271326E-05	 2.878363E-15	 3.677610E-15	 1.213335E-04	-1.386486E-15	-4.248736E-16	 9.452453E-05	-2.009685E-15	 1.430984E-15	-7.316068E-05	-1.356306E-16	 1.298470E-15	-8.751875E-05	 2.947493E-15	-1.338347E-15	-3.831204E-07	-2.612727E-15	-3.463005E-15	 3.417242E-05	-1.115722E-15	-3.004823E-15	 1.283435E-05	 2.678060E-15	 1.293585E-15	-6.732167E-06	-1.206589E-15	 3.203418E-15	-8.720761E-06	-1.748117E-15	 1.265918E-15	-4.576579E-06	 6.763989E-16	-9.915629E-16	-2.900504E-06	 1.644239E-15	-1.527930E-15	-2.635568E-06	 6.046106E-16
0.29756	 0.000000E+00	 1.127865E-14	-3.930530E-15	 7.294513E-01	 6.092264E-15	-4.131469E-15	 1.369028E-01	 1.115797E-14	-5.828008E-15	 3.037734E-02	 5.849631E-15	-7.987195E-16	 8.066086E-03	 1.441784E-15	 5.016595E-16	 2.491278E-03	 2.847173E-16	 6.987956E-16	 4.771385E-04	 7.451998E-16	 2.895566E-15	 1.593916E-05	 1.830596E-15	 3.105035E-15	 1.097353E-04	 1.485718E-17	 1.841334E-15	 1.049933E-04	-7.343571E-16	-1.061092E-15	-3.920525E-05	 2.923273E-15	 8.617621E-16	-7.572507E-05	 1.381862E-15	 6.821801E-16	-1.297023E-05	 3.225055E-16	-6.351195E-16	 2.397979E-05	-2.368440E-15	-2.547462E-15	 1.402808E-05	-1.934320E-16	-1.003853E-15	-1.999382E-06	-2.757759E-16	 1.993144E-15	-6.323417E-06	-6.323818E-16	 2.130567E-15	-4.429014E-06	 1.699041E-16	 1.641816E-16	-3.411856E-06	 9.890304E-16	-1.378371E-15	-3.320679E-06	 9.845955E-16
0.31458	 0.000000E+00	 7.601615E-16	 6.852474E-15	 7.673175E-01	-4.150015E-15	 3.418283E-15	 1.493400E-01	 4.518628E-15	 3.467590E-15	 3.430720E-02	 3.056029E-15	 2.744926E-18	 9.355347E-03	 1.168887E-15	 2.196654E-15	 2.927617E-03	-9.647437E-16	 9.996135E-16	 6.702650E-04	 3.713172E-15	 8.305126E-16	 8.073625E-05	 2.253444E-15	 2.488596E-15	 1.052080E-04	 2.561080E-16	 1.053044E-15	 1.067522E-04	-1.203226E-15	-2.228531E-16	-1.242136E-05	 3.127370E-15	-1.161360E-15	-5.863514E-05	 2.356131E-15	 4.118493E-16	-1.745185E-05	 4.053134E-16	 1.353468E-15	 1.500219E-05	-1.731148E-15	-1.314740E-15	 1.196265E-05	-1.635273E-15	-1.708472E-15	 4.292378E-07	-7.661407E-16	 7.047369E-16	-3.950237E-06	-4.183588E-16	 1.836801E-15	-3.346988E-06	 7.205709E-17	 1.177393E-15	-3.086447E-06	 4.108247E-16	 3.935998E-16	-3.451841E-06	 2.157992E-16
